DateTime,AddedIPs,RemovedIPs
1518219642,8,3
1518221570,3,7
1518223481,3,1
1518225397,6,2
1518227302,3,1
1518229474,2,2
1518231383,2,1
1518233325,4,2
1518235255,2,4
1518237173,3,0
1518241232,1,1
1518243134,0,2
1518245048,2,0
1518246993,1,2
1518251059,1,1
1518252980,1,0
1518257770,0,3
1518259618,1,1
1518261628,1,1
1518263898,3,0
1518265701,1,2
1518267706,3,0
1518269566,1,2
1518271722,1,3
1518273646,2,22
1518275847,3,5
1518277947,0,1
1518279884,6,5
1518281779,3,4
1518283719,1,4
1518285670,0,6
1518287840,4,4
1518289717,2,3
1518291649,0,2
1518293567,3,7
1518295490,3,2
1518297398,1,3
1518299814,3,8
1518301707,3,84
1518303675,4,5
1518305995,5,7
1518307999,0,4
1518309885,2,3
1518311822,3,6
1518313724,3,3
1518315904,2,2
1518317800,7,2
1518319733,3,3
1518322850,2,6
1518324757,2,0
1518326913,0,1
1518329805,1,2
1518331966,0,1
1518335805,1,1
1518339914,0,1
1518341804,1,0
1518343753,1,0
1518345640,0,1
1518347577,0,1
1518349482,2,2
1518351586,1,0
1518354975,5,4
1518356922,4,2
1518358819,0,1
1518360754,0,3
1518363047,3,1
1518366019,3,4
1518367928,5,5
1518369746,3,1
1518371560,1,0
1518373773,2,5
1518375675,4,2
1518377788,3,0
1518379954,5,3
1518382133,6,4
1518384038,2,2
1518385948,5,2
1518387868,0,2
1518391311,6,6
1518393521,7,2
1518395547,1,0
1518397395,3,3
1518399368,5,3
1518401285,2,1
1518403466,5,4
1518405393,5,6
1518407301,1,2
1518409254,0,1
1518411154,1,2
1518413327,6,0
1518415267,4,0
1518417420,2,1
1518419300,1,0
1518421489,1,0
1518425535,1,0
1518427462,0,1
1518429377,0,1
1518431303,2,0
1518433468,1,0
1518435426,1,0
1518437305,0,3
1518439232,0,2
1518441158,2,4
1518443076,3,3
1518445009,7,2
1518446927,4,0
1518449065,5,3
1518450989,5,1
1518452912,2,3
1518455066,4,4
1518456978,6,4
1518458931,5,0
1518460946,3,6
1518462763,3,2
1518464686,3,2
1518466592,3,5
1518469508,12,5
1518471645,5,6
1518473580,3,2
1518475453,1,2
1518477412,3,4
1518479571,2,5
1518481457,1,2
1518484598,6,6
1518486744,7,4
1518488650,4,2
1518490546,4,5
1518492765,5,3
1518494694,249,1
1518496635,39,1
1518498521,2,4
1518500465,2,6
1518502369,2,3
1518504272,0,1
1518506187,2,2
1518508380,2,0
1518510263,1,1
1518512213,1,0
1518514106,1,0
1518517943,2,2
1518520149,2,0
1518522416,3,1
1518524437,5,0
1518526248,0,1
1518528058,2,1
1518530342,2,6
1518532145,4,6
1518534231,5,3
1518536424,4,6
1518538358,5,4
1518540272,5,2
1518542211,6,4
1518544124,3,6
1518546034,4,3
1518547951,3,5
1518549875,3,3
1518551801,5,5
1518553714,3,2
1518556781,9,12
1518558751,1,4
1518560755,3,2
1518562588,4,1
1518565110,6,2
1518567803,9,2
1518569987,1,4
1518571990,3,6
1518573898,2,5
1518575792,1,4
1518577824,3,4
1518579636,1,4
1518581756,5,287
1518583689,2,2
1518585626,2,2
1518587559,2,1
1518589417,0,2
1518591677,5,1
1518593811,1,2
1518595694,0,2
1518597887,1,0
1518599808,0,1
1518601731,1,1
1518605570,1,2
1518607464,1,2
1518609400,0,2
1518611297,1,5
1518614452,3,2
1518616642,3,2
1518618495,3,4
1518620350,2,6
1518622328,4,3
1518624341,6,6
1518626251,9,6
1518628253,4,6
1518630261,2,2
1518632422,4,6
1518634339,3,3
1518636198,4,3
1518638015,5,3
1518640177,10,5
1518642074,8,7
1518644158,8,3
1518646355,6,2
1518648939,3,6
1518650917,3,6
1518653011,4,4
1518655017,3,6
1518656915,4,0
1518659080,1,3
1518661252,1,3
1518663158,2,1
1518665322,6,1
1518667268,4,3
1518669422,1,0
1518671323,2,2
1518673489,41,1
1518675402,4,1
1518677569,4,4
1518679472,1,2
1518681402,1,0
1518683292,0,1
1518686209,1,0
1518688130,1,1
1518690278,2,0
1518692201,0,1
