DateTime,AddedIPs,RemovedIPs
1518087404,1,2
1518091290,0,2
1518093330,1,0
1518097457,2,1
1518099316,0,2
1518101315,1,4
1518103300,4,0
1518105130,1,1
1518107312,0,2
1518109301,1,2
1518111188,2,2
1518113077,0,1
1518114983,2,2
1518116889,1,3
1518118778,2,3
1518120731,2,3
1518122543,0,4
1518124608,0,1
1518126724,0,3
1518128924,2,1
1518130968,2,0
1518132914,4,0
1518134945,2,2
1518136849,0,1
1518138985,1,0
1518140909,0,2
1518143004,1,1
1518144973,0,1
1518149076,1,1
1518151025,0,2
1518152909,1,0
1518155097,1,0
1518157051,2,0
1518158921,1,0
1518160841,1,3
1518162747,0,1
1518164684,1,0
1518166587,2,1
1518168503,0,1
1518170476,0,3
1518172363,0,1
1518178127,1,1
1518180024,2,1
1518181829,3,0
1518183854,0,1
1518185798,3,0
1518187965,2,2
1518190117,0,1
1518192116,1,2
1518194182,1,0
1518196123,1,1
1518198013,1,1
1518199940,1,1
1518202101,0,1
1518204036,1,1
1518205942,1,1
1518207880,1,3
1518209778,2,0
1518211722,2,0
1518213870,2,0
1518215776,2,2
1518217964,3,2
1518220119,2,3
1518222052,1,0
1518223944,0,1
1518225886,2,1
1518227780,2,1
1518229970,2,1
1518235967,1,2
1518237886,2,1
1518239994,0,2
1518241954,0,2
1518244004,1,5
1518246079,0,1
1518249854,0,1
1518251730,1,0
1518253946,0,1
1518256146,1,0
1518258024,1,0
1518259961,1,0
1518261860,0,1
1518265703,0,3
1518267707,1,2
1518269568,1,1
1518271725,1,3
1518273647,1,3
1518275854,0,1
1518277949,1,2
1518279886,1,1
1518285679,1,0
1518287842,1,2
1518289719,1,0
1518291651,1,0
1518293569,3,1
1518295492,0,2
1518297400,2,0
1518299816,3,2
1518303677,3,1
1518305997,1,1
1518308001,3,1
1518309887,0,1
1518311824,0,3
1518313726,1,0
1518315906,2,2
1518317802,0,2
1518321673,1,0
1518323837,0,1
1518325724,1,0
1518329806,1,0
1518331968,0,1
1518337957,1,3
1518341806,1,2
1518343755,0,1
1518345642,1,0
1518347579,1,1
1518349484,2,0
1518354071,0,1
1518355970,0,2
1518357885,2,1
1518359799,2,1
1518363861,0,2
1518365702,1,1
1518367716,1,0
1518371563,3,1
1518373774,2,1
1518375680,1,0
1518377790,1,1
1518379957,0,3
1518382135,1,1
1518384039,0,4
1518385950,0,5
1518387870,1,2
1518390081,1,4
1518392254,0,1
1518394135,2,8
1518396041,0,1
1518398191,1,0
