DateTime,AddedIPs,RemovedIPs
1518293575,33,30
1518295500,39,30
1518297405,35,32
1518299820,27,48
1518301714,28,37
1518303682,31,43
1518306002,36,67
1518308006,32,25
1518309893,20,41
1518311847,38,43
1518313730,40,24
1518315911,31,36
1518317807,34,26
1518319739,25,39
1518321679,26,37
1518323841,22,34
1518325728,32,28
1518327902,45,33
1518329811,48,45
1518331973,36,36
1518333882,46,44
1518335811,54,48
1518337962,52,38
1518339921,42,55
1518341811,39,36
1518343760,44,60
1518345647,31,76
1518347583,37,55
1518349488,44,39
1518351592,33,61
1518354078,48,66
1518355977,44,52
1518357890,40,35
1518359805,30,35
1518361939,41,43
1518363865,33,30
1518365706,262,28
1518367721,4136,41
1518369752,226,36
1518371568,32,28
1518373779,40,46
1518375685,29,26
1518377794,33,44
1518379961,36,35
1518382140,34,47
1518384044,30,35
1518385955,25,19
1518387874,21,27
1518390111,33,35
1518392259,25,23
1518394141,17,36
1518396047,32,21
1518398198,21,40
1518400106,18,42
1518402038,11,29
1518403971,22,33
1518405892,19,27
1518407781,14,23
1518409712,24,16
1518411684,18,30
1518413800,36,41
1518415734,41,52
1518417866,41,27
1518419817,39,41
1518421948,56,61
1518423888,30,46
1518425774,39,47
1518427970,52,41
1518429884,51,38
1518431806,55,35
1518435020,62,66
1518437094,46,41
1518439239,44,30
1518441164,31,35
1518443083,35,53
1518445016,35,31
1518446934,22,33
1518449092,27,48
1518450995,31,31
1518452919,28,2047
1518455074,33,2350
1518456986,33,232
1518458938,41,36
1518460953,40,34
1518462770,14,33
1518464693,40,22
1518466600,16,31
1518469516,33,42
1518471653,23,36
1518473587,23,21
1518475459,30,21
1518477418,15,35
1518479577,38,19
1518481463,21,24
1518483720,36,44
1518485573,22,12
1518487494,12,14
1518489624,24,18
1518491565,15,19
1518493458,25,14
1518495396,26,19
1518497298,34,27
1518499234,30,25
1518501136,24,21
1518503081,27,52
1518504984,37,41
1518506932,30,51
1518509920,62,60
1518511932,32,41
1518513780,38,37
1518515721,78,52
1518517688,43,57
1518519695,29,35
1518521862,27,46
1518524132,48,53
1518526255,54,37
1518528066,27,26
1518530349,46,40
1518532153,39,29
1518534239,38,26
1518536431,15,36
1518538365,17,32
1518540279,25,25
1518542220,44,26
1518544132,36,45
1518546040,28,41
1518547957,14,31
1518549881,22,26
1518551807,26,28
1518553722,23,22
1518555699,11,26
1518557802,55,21
1518559714,46,28
1518561901,45,28
1518563803,34,17
1518566396,60,37
1518569239,66,44
1518571507,43,22
1518573402,30,23
1518575362,41,15
1518577833,41,25
1518579644,34,20
1518581764,69,26
1518583697,42,36
1518585634,49,25
1518587566,45,24
1518589426,200,26
1518591690,71,45
1518593820,55,36
1518595700,53,42
1518597893,66,32
1518599814,72,40
1518601737,81,74
1518603764,102,50
1518605576,53,24
1518607470,54,30
1518609406,113,35
1518611304,70,52
1518613287,62,38
1518615137,61,37
1518617098,66,41
1518619224,56,42
1518621176,87,28
1518623064,41,18
1518625228,44,23
1518627164,18,24
1518629095,293,57
1518631010,142,25
1518632932,222,26
1518634886,128,15
1518636994,30,24
1518638936,28,23
1518641086,23,18
1518643018,38,19
1518644941,47,56
1518646849,41,39
1518648948,35,38
1518650927,78,36
1518653022,73,47
1518655027,73,46
1518656924,61,34
1518659088,74,37
1518661258,92,45
1518663165,75,39
1518665329,115,24
1518667283,158,61
1518669429,118,50
1518671330,86,45
1518673495,90,33
1518675409,40,204
1518677575,75,55
1518679479,126,59
1518681409,139,45
1518683298,155,58
1518685293,135,63
1518687164,116,75
1518689338,127,93
1518691237,98,85
1518693169,82,81
1518695062,89,90
1518697414,97,101
1518699693,88,72
1518701601,32,64
1518703480,30,62
1518705422,32,58
1518707325,41,76
