DateTime,AddedIPs,RemovedIPs
1518295502,17,10
1518297407,13,13
1518299822,15,27
1518301715,4,15
1518303683,17,29
1518306003,21,34
1518308007,21,17
1518309894,11,23
1518311848,26,29
1518313731,23,14
1518315912,20,17
1518317808,12,12
1518319740,16,13
1518321680,17,18
1518323843,16,20
1518325729,22,16
1518327903,31,25
1518329812,25,18
1518331974,26,28
1518333883,27,31
1518335812,33,24
1518337963,24,26
1518339922,21,44
1518341812,20,30
1518343762,24,37
1518345648,19,46
1518347584,22,37
1518349489,25,26
1518351593,22,30
1518354079,27,50
1518355978,23,31
1518357891,21,25
1518359806,19,20
1518361940,24,31
1518363866,15,15
1518365708,135,16
1518367722,4048,21
1518369753,17,15
1518371569,10,10
1518373780,21,23
1518375686,16,9
1518377796,16,18
1518379962,19,10
1518382141,18,22
1518384045,19,11
1518385956,11,11
1518387875,10,3
1518390112,9,20
1518392260,5,12
1518394142,3,27
1518396048,11,11
1518398199,4,29
1518400108,5,24
1518402039,3,18
1518403972,8,14
1518405893,5,15
1518407782,4,16
1518409713,6,13
1518411685,7,19
1518413801,15,29
1518415735,9,29
1518417867,11,23
1518419818,14,33
1518421949,19,28
1518423890,10,25
1518425776,13,22
1518427971,38,26
1518429885,36,22
1518431808,34,20
1518435023,21,35
1518437095,18,27
1518439240,16,22
1518441166,8,20
1518443084,10,31
1518445017,8,17
1518446935,9,19
1518449095,9,20
1518450997,15,14
1518452921,2,1856
1518455075,8,2333
1518456988,8,13
1518458939,14,16
1518460954,11,16
1518462771,5,18
1518464694,11,11
1518466601,4,16
1518469517,9,19
1518471655,5,21
1518473588,1,7
1518475460,10,9
1518477419,3,6
1518479578,14,4
1518481464,8,4
1518483722,8,9
1518485575,4,2
1518487495,3,5
1518489625,11,10
1518491566,4,7
1518493459,6,3
1518495398,13,7
1518497299,15,9
1518499235,12,12
1518501137,15,5
1518503082,11,11
1518504985,8,10
1518506933,23,13
1518508880,25,14
1518510763,11,10
1518512671,18,18
1518514608,16,34
1518516529,20,44
1518518422,18,22
1518520612,10,16
1518522419,7,21
1518524440,15,20
1518526256,9,9
1518528067,9,10
1518530351,11,9
1518532154,16,12
1518534240,12,6
1518536432,8,14
1518538366,5,8
1518540280,9,4
1518542222,20,6
1518544133,2,12
1518546041,7,18
1518547958,2,1
1518549882,8,11
1518551808,5,5
1518553723,7,6
1518555700,5,6
1518557803,15,4
1518559715,12,2
1518561903,16,9
1518563804,15,3
1518566397,29,12
1518569240,29,11
1518571508,19,6
1518573404,15,2
1518575363,21,4
1518577834,23,11
1518579645,14,4
1518581765,29,10
1518583698,24,18
1518585635,29,10
1518587567,21,15
1518589427,46,11
1518591692,45,12
1518593821,35,24
1518595701,39,26
1518597894,52,13
1518599815,29,21
1518601738,51,12
1518603765,64,22
1518605577,37,9
1518607471,37,13
1518609407,75,10
1518611305,55,11
1518613288,45,9
1518615138,45,8
1518617099,52,11
1518619225,32,17
1518621177,52,11
1518623066,20,8
1518625229,13,6
1518627165,8,11
1518629096,7,19
1518631011,6,4
1518632933,16,8
1518634887,8,2
1518636996,14,8
1518638937,12,6
1518641087,4,9
1518643020,6,6
1518644942,6,16
1518646850,6,13
1518648949,7,17
1518650929,47,12
1518653024,62,27
1518655028,54,23
1518656926,51,13
1518659089,58,20
1518661259,71,24
1518663166,43,21
1518665331,92,12
1518667284,109,17
1518669430,88,31
1518671331,60,24
1518673496,68,21
1518675411,6,39
1518677576,43,36
1518679480,116,41
1518681410,122,23
1518683299,142,48
1518685294,111,38
1518687166,78,41
1518689340,105,58
1518691238,94,54
1518693170,69,63
1518695063,80,61
1518697415,82,71
1518699694,80,50
1518701603,12,48
1518703481,18,50
1518705423,13,33
1518707326,13,52
1518709282,11,22
1518711168,12,10
1518713349,10,9
1518715224,14,6
1518717197,9,7
1518719352,13,15
1518721306,9,10
1518723274,12,10
1518725093,9,12
1518726982,8,4
1518728948,5,4
1518730843,5,7
1518733016,4,7
1518734937,5,8
1518736995,7,40
1518739397,14,68
1518741409,3,54
1518743353,10,51
1518745239,4,54
1518747163,4,46
1518749077,6,64
1518751006,6,82
1518753167,7,87
1518755084,7,107
1518757321,27,71
1518759322,21,74
1518761547,28,11
1518763370,12,7
1518765405,19,123
1518767360,9,122
1518769242,12,131
1518771293,124,139
1518773293,58,82
1518775478,5,103
1518777409,6,82
1518779749,8,93
1518781707,7,85
1518783597,11,64
1518785551,7,83
1518787745,11,15
1518789690,9,17
1518791580,10,13
1518793496,9,17
1518796426,13,17
1518798305,9,12
1518800244,9,12
1518802175,257,12
1518804319,3984,9
1518806243,18,12
1518808112,7,10
1518810032,10,13
1518812229,9,9
1518814141,7,9
1518816308,11,6
1518818211,7,4
1518820154,9,4
1518822307,12,6
1518824244,9,9
1518826367,10,11
1518828291,4,9
1518830256,5,4
1518832126,3,6
1518834326,8,4
1518836188,4,5
1518838363,3,7
1518840282,8,6
1518842203,6,13
1518844127,12,22
1518846029,3,21
1518847956,6,22
1518849874,11,14
1518851800,15,15
1518853718,19,12
1518855638,11,13
1518857554,10,17
1518859473,6,15
1518861395,6,8
1518863323,14,3
1518865475,13,9
1518867401,3,8
1518869434,10,9
1518871491,11,13
1518873754,5,11
1518875888,8,9
1518877975,7,12
1518879874,9,9
1518882046,7,8
1518883962,10,7
1518886081,7,13
1518888018,8,10
1518889940,6,3132
1518891879,13,1265
1518894231,9,12
1518896176,7,7
1518898063,9,8
1518900044,2,12
1518902220,7,10
1518904133,4,8
1518906297,9,8
1518908205,2,11
1518910958,8,11
1518912772,3,8
1518914685,8,3
1518916612,8,6
1518918771,7,6
1518920661,8,6
1518922881,5,5
1518925160,17,4
1518927408,19,8
1518929338,11,10
1518931229,24,14
1518933168,15,4
1518935066,17,6
1518937003,18,14
1518938922,17,14
1518941046,16,14
1518942978,7,14
1518944902,11,5
1518947868,15,8
1518949709,2716,13
1518951696,1691,11
1518953570,8,4
1518955501,8,8
1518957632,9,12
1518959564,7,6
1518961473,17,7
1518963396,4,8
1518965239,8,7
1518967228,7,7
1518969381,10,6
1518971297,8,10
1518973468,8,6
1518975384,11,8
1518977313,4,9
1518979222,15,5
1518981204,3,12
1518983071,12,6
1518985007,14,10
