DateTime,AddedIPs,RemovedIPs
1518295506,88,13
1518297412,10,19
1518299826,17,18
1518301720,9,17
1518303687,16,13
1518306008,18,19
1518308012,14,10
1518309898,8,9
1518311852,13,16
1518313735,12,18
1518315917,10,14
1518317812,12,16
1518319746,8,10
1518321685,13,19
1518323848,23,22
1518325735,19,15
1518327909,16,17
1518329817,16,9
1518331979,16,13
1518333888,11,9
1518335817,6,16
1518337969,13,20
1518339927,8,10
1518341817,12,11
1518343767,12,1276
1518345653,10,2240
1518347589,24,1192
1518349493,18,15
1518351597,23,18
1518354083,12,11
1518355983,13,11
1518357895,13,8
1518359809,14,11
1518361944,21,20
1518363869,12,6
1518365712,12,8
1518367726,17,19
1518369758,16,9
1518371574,15,13
1518373784,17,10
1518375689,16,18
1518377800,8,14
1518379966,20,16
1518382145,15,15
1518384049,15,120
1518385961,22,16
1518387879,14,8
1518390116,16,19
1518392264,22,15
1518394148,16,15
1518396053,16,11
1518398204,17,13
1518400113,8,12
1518402044,10,12
1518403984,11,13
1518405899,14,13
1518407788,19,8
1518409718,31,15
1518411691,16,21
1518413807,16,22
1518415740,10,19
1518417872,7,16
1518419823,15,14
1518421955,13,10
1518423895,2331,16
1518425782,2177,9
1518427977,11,10
1518429889,16,9
1518431812,12,13
1518435029,33,33
1518437100,17,18
1518439245,22,19
1518441170,8,9
1518443089,16,12
1518445022,7,16
1518446940,10,14
1518449109,20,18
1518451001,6,11
1518452925,14,11
1518455081,25,17
1518456993,13,22
1518458944,27,13
1518460959,12,12
1518462775,18,15
1518464699,6,7
1518466606,10,16
1518469522,22,8
1518471660,10,21
1518473591,16,13
1518475464,18,14
1518477423,12,17
1518479582,22,22
1518481469,16,13
1518483726,16,15
1518485579,13,10
1518487499,17,8
1518489630,15,15
1518491570,7,12
1518493463,16,10
1518495402,17,20
1518497303,12,13
1518499239,20,13
1518501141,19,17
1518503086,12,7
1518504989,13,5
1518506937,14,13
1518508887,16,15
1518510767,8,4104
1518512675,10,408
1518514612,22,15
1518516534,13,11
1518518426,24,15
1518520617,19,22
1518522423,16,23
1518524444,20,27
1518526262,21,13
1518528072,20,11
1518530356,20,15
1518532160,21,6
1518534246,13,20
1518536438,17,15
1518538371,16,10
1518540285,15,11
1518542227,16,19
1518544138,13,24
1518546047,15,16
1518547964,15,19
1518549887,14,14
1518551814,14,12
1518553728,19,10
1518555705,16,19
1518557809,16,10
1518559721,13,14
1518561908,5,17
1518563809,12,14
1518567808,34,35
1518569991,16,15
1518571994,15,17
1518573902,7,21
1518575796,11,9
1518577840,26,10
1518579651,18,17
1518581771,8,20
1518583703,17,10
1518585641,13,19
1518587572,12,22
1518589432,12,12
1518591697,12,13
1518593827,21,24
1518595706,22,12
1518597898,21,12
1518599820,14,17
1518601743,14,21
1518603770,15,23
1518605582,12,16
1518607476,14,13
1518609412,12,18
1518611309,20,17
1518613293,7,23
1518615143,6,14
1518617104,16,18
1518619230,14,20
1518621181,26,11
1518623070,23,19
1518625234,36,20
1518627170,21,12
1518629101,14,16
1518631018,11,16
1518632938,16,14
1518634891,15,13
1518637001,21,24
1518638943,98,20
1518641092,26,25
1518643025,15,23
1518644948,26,23
1518646855,10,9
1518648954,22,17
1518650935,11,9
1518653031,8,14
1518655033,20,19
1518656931,14,16
1518659095,9,14
1518661265,9,13
1518663171,13,22
1518665336,26,15
1518667290,24,16
1518669436,21,11
1518671337,7,21
1518673502,14,10
1518675416,9,9
1518677582,10,12
1518679485,10,13
1518681416,11,19
1518683303,17,21
1518685299,13,18
1518687170,14,13
1518689346,16,20
1518691243,17,16
1518693175,17,9
1518695067,9,20
1518697420,15,24
1518699699,13,11
1518701607,8,8
1518703486,15,15
1518705427,12,9
1518707331,7,24
1518709287,23,26
1518711172,20,29
1518713354,23,25
1518715229,9,14
1518717202,11,10
1518719356,15,15
1518721311,14,11
1518723279,11,15
1518725097,21,68
1518726987,26,59
1518728952,15,22
1518730848,20,18
1518733020,19,13
1518734941,8,19
1518737000,17,18
1518739402,19,6
1518741413,9,16
1518743358,10,11
1518745244,14,7
1518747168,27,11
1518749082,19,12
1518751011,23,19
1518753179,30,23
1518755089,20,12
1518757326,34,16
1518759327,14,11
1518761552,16,7
1518763377,16,8
1518765410,1252,6
1518767365,1203,6
1518769247,14,13
1518771299,9,15
1518773299,15,13
1518775484,13,17
1518777415,28,13
1518779755,15,19
1518781713,16,7
1518783604,8,13
1518785556,20,14
1518787752,15,7
1518789696,9,17
1518791586,22,12
1518793503,11,6
1518796432,24,35
1518798311,27,15
1518800250,20,18
1518802181,13,8
1518804325,11,13
1518806250,12,11
1518808118,15,12
1518810038,8,21
1518812235,12,16
1518814147,16,21
1518816314,29,26
1518818217,15,14
1518820160,17,10
1518822314,12,17
1518824250,12,14
1518826373,10,8
1518828298,14,8
1518830262,9,12
1518832133,8,19
1518834332,11,20
1518836194,12,13
1518838369,6,16
1518840293,22,26
1518842209,23,24
1518844133,19,25
1518846034,9,9
1518847962,15,12
1518849880,8,15
1518851806,13,1257
1518853724,11,1238
1518855644,14,17
1518857559,16,9
1518859478,14,19
1518861401,16,10
1518863329,17,24
1518865480,15,15
1518867407,13,16
1518869440,12,24
1518871496,13,12
1518873759,17,16
1518875893,21,14
1518877981,17,21
1518879878,17,11
1518882051,10,14
1518883966,15,28
1518886085,27,28
1518888022,20,11
1518889944,12,21
1518891884,11,9
1518894235,6,19
1518896181,11,16
1518898068,14,14
1518900048,14,18
1518902224,11,19
1518904138,23,16
1518906301,23,24
1518908210,18,14
1518910962,25,20
1518912777,7,10
1518914689,14,15
1518916617,7,11
1518918775,18,10
1518920666,13,14
1518922885,14,10
1518925165,16,6
1518927417,21,27
1518929342,21,17
1518931234,21,11
1518933172,19,11
1518935070,11,15
1518937007,10,11
1518938927,13,13
1518941051,19,12
1518942982,14,14
1518944906,12,18
1518947873,160,23
1518949714,16,19
1518951701,13,15
1518953576,16,20
1518955507,11,15
1518957637,23,16
1518959568,9,11
1518961480,8,15
1518963400,6,22
1518965243,11,14
1518967233,13,22
1518969385,24,16
1518971301,23,18
1518973473,29,18
1518975388,16,11
1518977317,13,15
1518979226,18,6
1518981211,13,11
1518983075,10,5
1518985011,9,11
1518986935,13,17
1518988848,16,16
1518990749,11,19
1518992666,13,21
1518995835,22,20
1518997710,22,13
1518999787,16,9
1519002084,13,14
1519003974,9,11
1519005892,9,13
1519007813,16,16
1519009718,11,9
1519011651,13,14
1519013572,12,17
