DateTime,AddedIPs,RemovedIPs
1518295507,10,4
1518297412,12,7
1518299827,11,9
1518301720,8,6
1518303687,8,10
1518306008,7,12
1518308012,7,9
1518309899,10,4
1518311853,5,11
1518313736,9,9
1518315917,8,12
1518317813,7,11
1518319747,8,12
1518321686,10,10
1518323848,2,8
1518325735,11,12
1518327909,11,7
1518329818,14,7
1518331979,9,10
1518333889,6,11
1518335817,8,10
1518337969,8,9
1518339928,12,8
1518341818,14,9
1518343767,13,8
1518345654,9,6
1518347589,11,9
1518349493,5,5
1518351597,6,10
1518354083,12,13
1518355983,11,10
1518357896,9,6
1518359810,8,7
1518361944,11,6
1518363870,7,15
1518365712,6,6
1518367726,9,8
1518369758,9,6
1518371574,9,8
1518373784,8,8
1518375690,4,4
1518377800,8,15
1518379967,9,10
1518382145,11,10
1518384049,9,11
1518385961,8,10
1518387880,7,7
1518390116,13,9
1518392265,7,6
1518394148,10,7
1518396053,10,11
1518398205,9,5
1518400113,10,9
1518402044,8,6
1518403985,4,7
1518405899,5,9
1518407788,6,6
1518409718,5,6
1518411692,3,6
1518413807,12,14
1518415740,14,13
1518417872,7,12
1518419824,9,4
1518421955,7,9
1518423895,9,8
1518425782,6,12
1518427977,8,13
1518429889,10,14
1518431812,5,13
1518435029,12,14
1518437100,15,5
1518439245,13,8
1518441170,9,12
1518443089,10,7
1518445022,7,9
1518446940,9,9
1518449110,9,11
1518451001,5,4
1518452925,11,9
1518455082,11,8
1518456993,12,12
1518458944,10,7
1518460959,7,6
1518462775,8,6
1518464699,8,8
1518466607,9,9
1518469522,20,15
1518471661,10,8
1518473592,8,7
1518475464,9,9
1518477424,16,7
1518479583,10,11
1518481469,7,10
1518483727,7,11
1518485580,9,6
1518487499,4,12
1518489630,12,8
1518491570,9,3
1518493463,14,6
1518495403,3,5
1518497304,10,5
1518499240,12,6
1518501142,8,12
1518503087,9,10
1518504989,6,7
1518506937,8,9
1518508888,1,8
1518510767,7,5
1518512675,5,8
1518514612,8,11
1518516534,4,6
1518518427,10,6
1518520617,9,10
1518522424,11,7
1518524445,11,16
1518526262,4,9
1518528072,8,9
1518530356,11,9
1518532160,9,5
1518534246,11,11
1518536438,7,9
1518538372,4,8
1518540285,14,12
1518542228,7,11
1518544139,10,10
1518546047,8,9
1518547964,11,8
1518549888,5,7
1518551814,11,8
1518553729,4,12
1518555706,13,12
1518557810,7,11
1518559721,7,6
1518561909,13,11
1518563810,14,16
1518566474,11,11
1518569246,7,11
1518571515,7,12
1518573409,3,5
1518575369,6,9
1518577841,12,10
1518579651,12,15
1518581772,8,4
1518583704,7,10
1518585641,4,12
1518587572,9,8
1518589433,11,8
1518591697,6,9
1518593827,7,6
1518595706,7,1
1518597899,15,11
1518599820,5,5
1518601744,7,6
1518603770,3,9
1518605582,6,5
1518607476,5,10
1518609412,5,12
1518611310,9,8
1518613293,5,6
1518615143,2,11
1518617104,4,7
1518619230,7,11
1518621182,7,10
1518623070,8,6
1518625234,7,5
1518627170,7,14
1518629101,5,7
1518631018,7,12
1518632938,11,9
1518634892,8,8
1518637001,10,9
1518638944,15,7
1518641092,7,7
1518643026,5,12
1518644948,5,6
1518646855,3,10
1518648955,9,12
1518650935,7,14
1518653032,8,8
1518655034,11,3
1518656932,8,7
1518659095,4,5
1518661265,17,4
1518663172,13,10
1518665336,6,10
1518667290,5,13
1518669436,8,6
1518671337,6,6
1518673502,4,7
1518675416,4,11
1518677583,5,5
1518679486,5,9
1518681416,7,7
1518683304,9,9
1518685299,6,10
1518687171,5,7
1518689346,11,4
1518691243,7,5
1518693175,7,7
1518695067,8,3
1518697420,7,10
1518699700,12,6
1518701607,13,2
1518703486,7,4
1518705428,3,5
1518707331,10,9
1518709287,7,6
1518711173,4,8
1518713354,4,9
1518715229,5,4
1518717202,6,8
1518719356,9,11
1518721311,10,8
1518723279,10,9
1518725098,9,10
1518726988,10,10
1518728953,6,8
1518730848,6,5
1518733021,7,3
1518734942,10,7
1518737000,5,8
1518739402,13,9
1518741414,6,10
1518743358,12,8
1518745244,7,3
1518747168,10,12
1518749082,2,18
1518751012,7,5
1518753180,10,7
1518755090,5,8
1518757326,8,4
1518759327,6,4
1518761553,12,4
1518763377,8,7
1518765410,6,5
1518767365,3,5
1518769247,7,8
1518771299,4,8
1518773300,11,4
1518775485,14,8
1518777415,7,9
1518779755,7,9
1518781713,5,8
1518783604,14,4
1518785557,9,12
1518787753,5,11
1518789697,3,9
1518791587,2,3
1518793503,11,8
1518796433,12,11
1518798312,7,5
1518800250,11,4
1518802181,15,6
1518804325,7,7
1518806250,10,8
1518808118,2,9
1518810039,8,11
1518812235,6,10
1518814147,3,10
1518816314,10,8
1518818218,10,6
1518820161,7,5
1518822314,7,10
1518824251,8,5
1518826373,9,13
1518828298,7,6
1518830263,5,13
1518832134,6,7
1518834333,8,6
1518836194,8,5
1518838370,7,7
1518840294,6,10
1518842209,11,3
1518844133,6,8
1518846035,4,6
1518847962,6,12
1518849880,7,8
1518851806,6,6
1518853724,8,3
1518855644,6,7
1518857559,11,4
1518859479,5,9
1518861401,3,14
1518863329,11,6
1518865481,5,7
1518867407,10,7
1518869441,11,10
1518871497,13,11
1518873759,8,7
1518875893,8,3
1518877981,6,3
1518879878,11,11
1518882051,8,9
1518883967,7,5
1518886086,9,11
1518888022,10,11
1518889944,9,13
1518891884,5,8
1518894235,10,6
1518896181,10,7
1518898069,6,6
1518900048,7,4
1518902225,12,10
1518904138,10,7
1518906302,7,10
1518908210,12,5
1518910962,9,12
1518912777,9,8
1518914689,7,7
1518916617,15,5
1518918775,8,6
1518920666,6,9
1518922885,6,11
1518925165,15,6
1518927419,3,8
1518929343,6,8
1518931234,9,6
1518933173,7,4
1518935071,7,7
1518937008,9,5
1518938927,4,9
1518941051,6,8
1518942983,7,9
1518944907,6,6
1518947873,12,6
1518949714,7,11
1518951702,8,5
1518953576,2,10
1518955507,8,10
1518957637,10,12
1518959569,8,7
1518961480,9,7
1518963401,5,8
1518965243,10,9
1518967233,4,6
1518969386,11,11
1518971302,4,5
1518973473,6,11
1518975388,5,10
1518977318,9,7
1518979226,7,10
1518981211,6,6
1518983075,8,8
1518985012,8,8
1518986936,3,6
1518988848,7,11
1518990750,11,10
1518992666,6,6
1518995835,18,16
1518997710,7,5
1518999788,10,8
1519002085,6,17
1519003974,7,8
1519005893,10,5
1519007813,6,6
1519009718,10,9
1519011651,10,11
1519013572,12,3
1519015519,13,7
1519017409,4,8
1519019328,5,6
1519021245,3,9
1519023169,8,8
1519025064,9,6
1519027011,6,6
1519028922,8,7
1519030877,7,4
1519032764,7,9
1519034933,7,7
1519036819,7,9
1519039009,13,5
1519040901,7,6
1519042960,3,9
1519045281,8,10
1519047417,5,6
1519049336,13,10
1519051249,9,8
1519053151,8,4
1519055091,9,11
1519057018,10,5
1519059168,13,7
1519061071,3,3
1519062985,9,8
1519065241,10,8
1519067112,7,8
1519069270,9,7
1519071413,8,9
1519074319,12,8
1519076449,6,11
1519078278,6,5
1519080536,5,13
1519082454,7,9
1519084368,5,7
1519086540,6,9
1519088534,11,6
1519090373,9,7
1519092285,7,10
1519094211,6,6
1519096125,6,10
1519098016,8,10
1519100212,10,12
1519102135,7,11
1519104042,5,5
1519105986,6,7
1519107871,3,3
1519109823,4,10
1519111710,5,6
1519113691,7,6
1519115556,6,9
1519117521,6,6
1519119392,3,8
1519121345,8,6
1519123233,5,7
1519125329,5,13
1519127308,9,7
1519129145,10,1
1519131139,7,8
1519132987,9,6
1519134978,5,8
1519136910,7,9
1519138887,6,10
1519140787,6,7
1519142664,7,11
1519144660,7,15
1519146536,11,6
1519149742,21,11
1519151819,9,9
1519153971,4,8
1519155863,7,9
1519157841,6,7
1519159723,4,8
1519161537,8,6
1519163565,6,6
1519165552,4,4
1519167389,7,6
1519169306,4,6
1519171378,6,6
1519173190,8,6
1519175083,7,11
1519177045,8,8
1519178928,7,8
1519181138,12,7
1519182984,13,5
1519185202,15,10
1519187074,9,9
1519189088,8,6
1519190911,7,5
1519193008,11,5
1519194998,8,3
1519197100,3,6
1519199335,10,8
1519201261,7,5
1519203150,9,7
1519205333,15,3
1519207321,11,7
1519209162,7,7
1519211077,7,4
1519213235,14,11
1519215427,11,9
1519217581,10,7
1519219498,9,10
1519221695,15,5
1519223570,4,6
1519225751,6,6
1519227674,7,8
1519229564,6,5
1519231656,5,11
1519233630,6,12
1519235554,8,9
1519237479,5,15
1519239700,6,4
1519241559,7,4
1519243725,15,8
1519245640,5,5
1519247802,7,7
1519249719,10,6
1519251637,8,5
1519253816,11,7
1519255709,8,4
1519257779,7,6
1519260244,14,9
1519262203,10,10
1519264066,10,6
1519266020,3,8
1519267989,13,11
1519269896,9,14
1519271970,8,14
1519273946,4,7
1519275813,3,7
1519277788,4,8
1519279936,9,11
1519281896,8,7
1519284065,5,9
1519285974,7,4
1519288114,9,13
1519290082,7,8
1519292194,4,13
1519294131,7,10
1519296045,6,11
1519297951,5,7
