DateTime,AddedIPs,RemovedIPs
1517776050,1,2
1517778099,1,1
1517781867,1,0
1517785477,3,2
1517787643,1,2
1517789821,0,1
1517791980,2,2
1517793916,1,0
1517796097,2,2
1517801819,3,0
1517811430,0,1
1517815483,3,0
1517819570,1,1
1517821478,0,1
1517823425,0,1
1517829858,1,2
1517831781,0,1
1517833702,1,0
1517835685,1,1
1517841401,1,0
1517843562,0,3
1517845488,2,0
1517847402,0,2
1517849313,1,0
1517853391,3,0
1517859415,1,0
1517863496,1,1
1517865392,1,1
1517867331,0,1
1517869233,1,0
1517871181,0,1
1517873078,1,2
1517875010,0,1
1517876926,1,0
1517878934,1,2
1517880772,0,1
1517882679,0,2
1517888427,1,3
1517890370,2,0
1517894215,1,0
1517896136,1,0
1517898031,1,0
1517901883,0,3
1517903805,3,0
1517907714,0,1
1517909546,1,0
1517916404,0,1
1517920117,0,1
1517922214,0,1
1517926009,1,0
1517928018,1,1
1517932297,1,2
1517936498,1,1
1517938406,2,0
1517940277,1,3
1517942446,1,0
1517946281,0,1
1517948203,3,0
1517950124,1,1
1517952034,1,1
1517955873,0,1
1517957832,1,0
1517959712,1,1
1517963553,1,1
1517965481,0,1
1517969335,1,0
1517973154,1,0
1517975091,1,1
1517976997,3,2
1517980844,0,1
1517982776,0,1
1517984673,1,1
1517988516,1,0
1517990490,0,3
1517996370,0,1
1518000534,1,0
1518004368,2,0
1518006285,1,0
1518008211,1,0
1518010107,1,0
1518012138,0,1
1518013971,2,1
1518017786,1,0
1518019739,0,1
1518023579,3,2
1518025467,0,2
1518029313,1,1
1518033383,0,3
1518037691,0,2
1518044294,1,1
1518046120,1,1
1518048190,1,1
1518050454,2,0
1518052377,1,0
1518054298,1,0
1518056214,0,1
1518060053,2,1
1518061973,0,1
1518063900,0,3
1518067961,4,0
1518069884,1,0
1518071826,0,1
1518073740,1,0
1518075628,1,1
1518087144,0,1
1518089064,0,1
1518091015,0,1
1518093342,0,1
1518095557,0,2
1518097469,1,0
1518099325,0,1
1518101328,1,1
1518105141,1,1
1518109313,0,3
1518111200,2,0
1518114995,0,1
1518118789,1,0
1518122555,2,0
1518128935,1,1
1518130979,1,0
1518132925,0,1
1518134957,2,1
1518136860,0,2
1518138997,0,1
1518140920,1,1
1518144985,1,0
1518146823,1,2
1518149089,2,0
1518151038,1,0
1518152922,0,3
1518155110,2,2
1518157062,1,0
1518160853,0,1
1518162758,0,1
1518176198,1,0
1518183864,1,1
1518187976,0,1
1518190128,1,1
1518198023,0,2
1518199955,2,0
1518205955,0,1
1518209789,0,2
1518211736,1,0
1518215786,0,1
1518217976,1,1
1518220131,1,1
1518222065,1,1
1518223956,1,0
1518227792,0,1
1518231878,0,2
1518234061,1,0
1518235980,1,2
1518237898,0,1
1518240006,2,0
1518241969,1,2
1518244018,5,1
1518247893,1,0
1518251743,1,0
1518253958,1,0
1518256160,1,0
1518258036,1,0
1518261871,0,1
1518269580,1,0
1518271736,0,1
1518273659,1,0
1518277961,0,1
1518285690,1,2
1518289729,1,0
1518297413,0,1
1518299827,4,0
1518301721,1,0
1518303689,2,0
1518306009,0,1
1518308013,0,2
1518311853,1,1
1518313736,1,0
1518315918,1,0
1518319747,0,1
1518321686,3,0
1518323849,0,1
1518325736,0,2
1518327910,1,0
1518329818,0,6
1518333889,1,1
1518339928,0,2
1518341818,0,1
1518343768,1,1
1518354084,2,0
1518355984,1,1
1518359810,0,1
1518361945,1,0
1518367727,1,0
1518371575,1,1
1518375690,0,1
1518377801,1,0
1518379967,1,0
1518382146,1,0
1518384050,1,0
1518385961,1,4
1518387880,0,1
1518390117,3,2
1518398205,2,1
1518400114,0,1
1518402045,1,1
1518403987,2,0
1518407789,0,3
1518411694,1,0
1518413807,1,1
1518417873,1,0
1518419824,1,1
1518421956,1,0
1518427978,1,0
1518429890,1,1
1518431813,1,0
1518435031,1,0
1518439246,1,0
1518441171,4,3
1518445023,1,0
1518446941,1,1
1518451002,1,0
1518455082,1,1
1518458945,1,1
1518462776,1,1
1518464700,1,0
1518466607,0,1
1518469523,0,1
1518471661,0,2
1518477424,0,3
1518483727,1,2
1518485580,2,0
1518487500,1,0
1518489631,0,2
1518491571,1,1
1518493464,2,0
1518495404,1,0
1518499240,0,2
1518503087,0,1
1518504990,2,0
1518506938,1,1
1518508888,1,1
1518514613,0,1
1518516535,0,1
1518518427,0,1
1518520618,2,0
1518522424,0,1
1518524445,2,1
1518526263,0,1
1518528073,0,3
1518530357,1,0
1518532161,1,2
1518534247,1,0
1518538372,1,1
1518540286,1,1
1518544139,1,0
1518546048,0,1
1518549889,0,1
1518551815,0,1
1518555706,1,0
1518559722,1,0
1518561909,3,0
1518563810,1,0
1518569991,0,1
1518571995,0,2
1518573902,0,1
1518575796,1,0
1518577841,0,1
1518579652,1,2
1518583704,2,1
1518591698,0,3
1518595707,0,1
1518603771,1,0
1518605583,0,1
1518607477,1,1
1518611310,0,2
1518615144,0,1
1518619231,1,1
1518621182,0,1
1518625235,1,2
1518627171,1,0
1518629102,1,0
1518631019,0,1
1518634892,1,0
1518641093,0,1
1518644949,1,1
1518646856,0,2
1518648955,0,1
1518650936,0,1
1518655034,1,0
1518661266,1,0
1518663172,0,1
1518667291,1,1
1518669437,1,0
1518671338,4,2
1518685300,1,0
1518687171,1,0
1518689347,1,1
1518693176,1,1
1518699702,2,0
1518701608,1,0
1518703487,1,0
1518705428,0,1
1518711173,0,1
1518713355,0,1
1518715229,1,1
1518717204,2,0
1518721312,0,1
1518723280,1,0
1518725098,1,0
1518728953,1,0
1518730849,1,0
1518733022,0,1
1518741415,1,1
1518743359,1,0
1518749083,1,1
1518755090,0,1
1518757327,0,2
1518759328,1,3
1518761553,3,0
1518763378,1,0
1518769248,1,0
1518771300,0,1
1518773301,0,1
1518775485,2,1
1518777416,1,0
1518779756,2,1
1518781714,1,0
1518785557,0,1
1518787754,0,2
1518789697,0,1
1518793504,1,0
1518802182,0,3
1518804327,1,0
1518806251,1,0
1518810039,1,2
1518814148,0,1
1518818218,0,1
1518828299,0,1
1518830264,0,1
1518834334,0,1
1518836195,1,0
1518838370,2,0
1518842210,1,0
1518846035,0,4
1518847963,3,0
1518849881,3,1
1518851807,1,0
1518855645,1,1
1518859479,2,0
1518861402,0,2
1518863330,1,0
1518865482,0,3
1518869441,0,1
1518871498,1,0
1518877982,1,0
1518879879,0,1
1518882053,1,0
1518883967,2,0
1518886086,1,0
1518889945,0,1
1518891885,4,1
1518894236,1,0
1518896182,1,1
1518898070,2,0
1518902225,1,0
1518904139,1,0
1518910963,1,0
1518916617,1,0
1518922886,0,1
1518925166,1,2
1518927420,0,1
1518929343,1,0
1518931235,2,0
1518933173,2,0
1518935071,1,5
1518937008,3,1
1518938928,0,1
1518942983,0,1
1518944907,2,1
1518947874,0,1
1518949715,1,1
1518951703,1,0
1518953577,1,0
1518955508,1,0
1518957638,0,1
1518963401,0,1
1518967234,0,1
1518969386,0,1
1518971302,1,2
1518973474,1,0
1518977318,1,1
1518979227,0,3
1518981212,3,2
1518983076,2,0
1518985012,0,2
1518986937,1,0
1518988849,0,1
1518990751,0,1
1518995836,1,0
1518997711,0,1
1519003975,1,1
1519011652,1,1
1519017409,0,3
1519019329,0,2
1519021245,0,1
1519023170,1,3
1519025065,3,0
1519030878,0,2
1519036820,0,1
1519039009,2,1
1519040902,1,2
1519042960,1,0
1519045282,1,0
1519053152,1,0
1519059168,0,2
1519062986,1,1
1519065242,2,0
1519067112,1,3
1519069271,3,2
1519071414,1,0
1519074319,1,1
1519080536,1,0
1519082454,4,1
1519090374,0,1
1519092286,1,0
1519094212,7,0
1519098017,1,1
1519100212,9,0
1519102136,2,0
1519107872,1,0
1519109824,0,1
1519111710,0,3
1519113692,4,0
1519119392,5,0
1519121346,1,0
1519123233,1,0
1519125329,1,2
1519127309,1,1
1519129146,0,1
1519131140,2,1
1519132988,1,0
1519136910,1,0
1519140788,1,1
1519146537,2,0
1519149743,0,1
1519151820,0,2
1519153971,0,1
1519155864,5,3
1519157842,1,1
1519159724,1,0
1519161538,0,1
1519163566,1,0
1519167389,0,1
1519169306,0,4
1519175084,1,0
1519178929,0,1
1519181139,0,7
1519185203,0,2
1519187075,1,8
1519189089,0,2
1519190912,1,0
1519193009,1,1
1519194998,1,0
1519197101,2,0
1519199335,1,3
1519201262,0,1
1519203150,1,0
1519205334,1,5
1519207322,0,1
1519209163,1,0
1519211078,3,1
1519213235,3,2
1519217582,1,2
1519219498,1,1
1519221695,2,0
1519223570,1,1
1519227674,1,1
1519233631,0,2
1519235555,2,0
1519239701,1,0
1519241560,2,2
1519243726,0,4
1519245641,1,0
1519247802,0,1
1519249719,2,1
1519257780,1,0
1519260245,1,0
1519262204,1,1
1519264066,1,0
1519267990,1,0
1519273947,0,1
1519275815,0,1
1519279937,0,1
1519281897,0,1
1519284066,0,2
1519285974,0,1
1519290083,2,1
1519292195,0,1
1519294131,1,0
1519296046,1,1
1519297951,2,3
