DateTime,Entries,UniqueIPs
1518157063,97,97
1518158933,98,98
1518160853,90,90
1518162759,89,89
1518164694,90,90
1518166598,91,91
1518170490,87,87
1518172376,86,86
1518174281,85,85
1518178139,84,84
1518180035,83,83
1518181840,85,85
1518183865,84,84
1518185809,87,87
1518187976,86,86
1518190128,84,84
1518192142,83,83
1518194193,84,84
1518196134,83,83
1518198023,83,83
1518199955,83,83
1518202112,84,84
1518204047,83,83
1518205955,81,81
1518207891,78,78
1518209790,80,80
1518211736,83,83
1518213881,85,85
1518215787,85,85
1518217976,86,86
1518220131,85,85
1518222066,85,85
1518223956,84,84
1518225898,85,85
1518227792,87,87
1518229983,88,88
1518231878,89,89
1518234062,90,90
1518235980,89,89
1518237898,90,90
1518240006,88,88
1518241969,86,86
1518244018,83,83
1518246091,82,82
1518249866,81,81
1518251743,82,82
1518253958,81,81
1518256161,82,82
1518258036,83,83
1518259972,84,84
1518261871,83,83
1518263912,84,84
1518265714,81,81
1518267719,80,80
1518269581,80,80
1518271737,78,78
1518273659,76,76
1518275865,75,75
1518277961,75,75
1518279897,74,74
1518287853,73,73
1518289730,74,74
1518291662,76,76
1518293581,77,77
1518295508,76,76
1518297413,76,76
1518299828,77,77
1518301721,78,78
1518303689,81,81
1518306009,81,81
1518308013,83,83
1518309899,82,82
1518311854,79,79
1518313737,80,80
1518315918,81,81
1518317814,79,79
1518319748,78,78
1518321687,80,80
1518323849,79,79
1518325736,80,80
1518329819,80,80
1518331980,79,79
1518333890,78,78
1518337970,75,75
1518339929,74,74
1518341819,73,73
1518343768,72,72
1518345655,73,73
1518347590,73,73
1518349494,75,75
1518354084,73,73
1518355985,71,71
1518357896,72,72
1518359811,72,72
1518361945,73,73
1518363870,72,72
1518367727,73,73
1518371576,75,75
1518373785,76,76
1518375691,77,77
1518377801,76,76
1518379968,74,74
1518382146,74,74
1518384050,70,70
1518385962,66,66
1518387881,64,64
1518390117,61,61
1518392266,59,59
1518394149,54,54
1518396054,53,53
1518398206,54,54
1518400114,55,55
1518402045,54,54
1518403987,56,56
1518407789,57,57
1518409719,57,57
1518413808,56,56
1518415742,55,55
1518421956,57,57
1518423896,59,59
1518425783,60,60
1518427978,59,59
1518429890,60,60
1518431813,60,60
1518435032,58,58
1518437101,59,59
1518439246,62,62
1518441171,63,63
1518443090,65,65
1518445023,65,65
1518446941,65,65
1518449111,65,65
1518455083,66,66
1518456995,64,64
1518458945,64,64
1518460960,63,63
1518462776,61,61
1518466607,60,60
1518469523,61,61
1518471662,60,60
1518473593,59,59
1518475465,58,58
1518477425,60,60
1518479584,62,62
1518481470,62,62
1518483728,65,65
1518485580,62,62
1518487500,63,63
1518489631,62,62
1518491571,63,63
1518493464,62,62
1518495404,59,59
1518497305,60,60
1518501142,62,62
1518503088,63,63
1518504990,64,64
1518506938,65,65
1518508888,63,63
1518510768,62,62
1518512676,62,62
1518514613,63,63
1518516535,63,63
1518518428,62,62
1518520618,63,63
1518522425,65,65
1518524446,66,66
1518526263,66,66
1518528073,65,65
1518530357,66,66
1518532161,65,65
1518534247,66,66
1518536439,65,65
1518538373,63,63
1518546048,62,62
1518547965,63,63
1518549889,62,62
1518553730,62,62
1518557810,61,61
1518559722,61,61
1518561910,63,63
1518563811,63,63
1518566565,61,61
1518569247,59,59
1518571515,60,60
1518573410,61,61
1518575369,59,59
1518577842,57,57
1518579652,57,57
1518581773,57,57
1518583705,60,60
1518585642,59,59
1518587573,58,58
1518589433,59,59
1518591698,59,59
1518597900,61,61
1518599822,60,60
1518601745,60,60
1518603771,62,62
1518605583,61,61
1518607477,60,60
1518609413,59,59
1518611311,59,59
1518613294,57,57
1518615144,58,58
1518617105,61,61
1518619231,60,60
1518621183,61,61
1518623071,61,61
1518627171,64,64
1518634893,64,64
1518641093,64,64
1518643027,63,63
1518646856,64,64
1518648956,64,64
1518650936,60,60
1518653033,60,60
1518655035,61,61
1518656933,62,62
1518659096,59,59
1518661266,61,61
1518663173,62,62
1518665337,63,63
1518667291,62,62
1518669437,59,59
1518671338,59,59
1518673503,60,60
1518675417,61,61
1518677585,59,59
1518679486,58,58
1518683304,57,57
1518685300,58,58
1518687172,57,57
1518689347,56,56
1518691244,58,58
1518693176,59,59
1518695068,60,60
1518697421,59,59
1518699702,61,61
1518701608,60,60
1518703487,61,61
1518705429,62,62
1518707332,62,62
1518709288,62,62
1518711174,63,63
1518713355,61,61
1518715230,59,59
1518717204,58,58
1518719357,57,57
1518721312,58,58
1518723280,59,59
1518725099,62,62
1518726989,63,63
1518728954,61,61
1518730849,61,61
1518733022,61,61
1518737001,61,61
1518739403,61,61
1518741415,62,62
1518743359,61,61
1518745245,61,61
1518747169,60,60
1518749084,62,62
1518751013,61,61
1518757327,61,61
1518759328,62,62
1518761554,60,60
1518763379,58,58
1518765411,59,59
1518767366,60,60
1518769248,59,59
1518771300,60,60
1518773301,61,61
1518777416,59,59
1518779756,58,58
1518781714,59,59
1518785558,58,58
1518789698,57,57
1518791588,57,57
1518793504,56,56
1518796434,55,55
1518798313,54,54
1518800251,56,56
1518802183,57,57
1518804327,59,59
1518806251,59,59
1518808119,61,61
1518810040,60,60
1518812236,58,58
1518814148,59,59
1518816315,59,59
1518820162,63,63
1518822315,69,69
1518824252,72,72
1518826374,73,73
1518828299,72,72
1518830264,71,71
1518832136,74,74
1518834334,74,74
1518836195,75,75
1518842210,76,76
1518847963,78,78
1518849881,77,77
1518851807,79,79
1518853725,79,79
1518855645,78,78
1518857560,76,76
1518861402,77,77
1518865482,79,79
1518867408,75,75
1518869442,74,74
1518871498,75,75
1518873760,76,76
1518875894,75,75
1518877983,75,75
1518879879,74,74
1518882053,72,72
1518883968,73,73
1518886087,73,73
1518888023,72,72
1518889945,71,71
1518891885,72,72
1518894236,71,71
1518896182,71,71
1518898070,70,70
1518900049,69,69
1518902226,68,68
1518904139,69,69
1518906303,67,67
1518908211,66,66
1518910963,62,62
1518912778,59,59
1518914690,60,60
1518916618,60,60
1518918776,59,59
1518920667,58,58
1518922886,55,55
1518925166,55,55
1518927421,58,58
1518929343,61,61
1518931235,63,63
1518935072,61,61
1518937009,62,62
1518938928,63,63
1518941052,63,63
1518942984,65,65
1518944908,67,67
1518947874,68,68
1518949715,69,69
1518953577,71,71
1518955508,73,73
1518957638,81,81
1518959570,82,82
1518961481,84,84
1518965244,83,83
1518969387,84,84
1518971303,85,85
1518973474,86,86
1518975389,89,89
1518979227,89,89
1518983076,88,88
1518985013,88,88
1518986938,88,88
1518988849,89,89
1518990751,88,88
1518992667,89,89
1518995836,89,89
1518997711,88,88
1518999789,89,89
1519002086,87,87
1519003975,91,91
1519005894,89,89
1519007814,91,91
1519009719,91,91
1519011652,89,89
1519013573,88,88
1519015520,86,86
1519017410,85,85
1519023170,84,84
1519025065,84,84
1519027012,81,81
1519028923,84,84
1519030878,81,81
1519032765,79,79
1519034934,81,81
1519036820,88,88
1519039010,95,95
1519040902,100,100
1519042961,100,100
1519045282,93,93
1519047417,91,91
1519049337,94,94
1519051250,95,95
1519055092,96,96
1519057019,95,95
1519059169,97,97
1519061072,97,97
1519062986,94,94
1519065242,94,94
1519069271,92,92
1519071414,91,91
1519074320,94,94
1519076450,95,95
1519078279,92,92
1519080537,95,95
1519082455,95,95
1519084369,93,93
1519086541,94,94
1519088535,92,92
1519090374,90,90
1519092286,92,92
1519094212,91,91
1519096126,93,93
1519098017,94,94
1519100213,95,95
1519104043,94,94
1519105987,95,95
1519107872,96,96
1519109824,95,95
1519111710,96,96
1519113692,96,96
1519115556,95,95
1519117522,93,93
1519119392,94,94
1519121346,93,93
1519123234,94,94
1519125330,88,88
1519127309,91,91
1519129146,90,90
1519131140,90,90
1519132988,89,89
1519136911,87,87
1519140789,86,86
1519142665,87,87
1519144661,87,87
1519146537,89,89
1519149743,90,90
1519151820,89,89
1519153972,92,92
1519155864,92,92
1519157842,94,94
1519159724,91,91
1519161538,92,92
1519163566,91,91
1519165552,86,86
1519167390,86,86
1519169307,86,86
1519171379,88,88
1519173191,86,86
1519175084,87,87
1519178929,87,87
1519182985,86,86
1519185203,87,87
1519187075,89,89
1519189089,88,88
1519190912,87,87
1519193009,87,87
1519194998,86,86
1519197101,85,85
1519199336,84,84
1519201262,82,82
1519203151,85,85
1519207322,86,86
1519209163,81,81
1519211078,85,85
1519213236,84,84
1519215428,84,84
1519217582,84,84
1519221696,85,85
1519223571,86,86
1519225752,86,86
1519227675,87,87
1519229565,86,86
1519231657,83,83
1519233631,82,82
1519235555,82,82
1519237480,82,82
1519239701,80,80
1519241560,80,80
1519243726,82,82
1519247803,81,81
1519251638,84,84
1519253817,88,88
1519255710,87,87
1519257780,85,85
1519260245,87,87
1519262204,88,88
1519264066,87,87
1519267990,88,88
1519269897,87,87
1519271971,87,87
1519273947,86,86
1519275815,84,84
1519279937,82,82
1519284066,84,84
1519285974,85,85
1519288115,84,84
1519290083,85,85
1519294132,84,84
1519296046,88,88
1519297952,89,89
