DateTime,AddedIPs,RemovedIPs
1518293581,4,4
1518295508,3,8
1518297414,6,6
1518299828,3,7
1518301722,3,7
1518303690,8,2
1518306010,4,3
1518308014,5,2
1518309900,4,3
1518311854,2,4
1518313737,1,5
1518315919,3,6
1518317814,1,4
1518319748,3,8
1518321687,1,2
1518323850,2,6
1518325736,1,5
1518327911,3,4
1518329819,2,2
1518331981,1,3
1518333890,2,2
1518335819,3,3
1518337970,2,3
1518339929,3,0
1518341819,3,3
1518343769,6,9
1518345655,3,2
1518347591,2,2
1518349495,3,5
1518351598,6,2
1518354085,3,1
1518355985,5,8
1518357897,7,5
1518359811,4,4
1518361945,3,5
1518363871,4,3
1518365714,1,2
1518367728,10,1
1518369759,3,2
1518371576,7,3
1518373786,1,3
1518375691,0,4
1518377802,3,3
1518379968,3,4
1518382147,4,4
1518384051,4,5
1518385962,3,4
1518387881,4,1
1518390118,3,8
1518392266,5,3
1518394150,2,3
1518396055,4,2
1518398206,2,3
1518400115,1,3
1518402046,2,1
1518403988,2,2
1518405900,4,4
1518407790,2,2
1518409720,4,2
1518411695,4,1
1518413808,4,1
1518415742,4,2
1518417873,2,2
1518419826,3,3
1518421956,2,1
1518423897,1,1
1518425783,0,2
1518427979,2,3
1518429891,5,7
1518431814,0,1
1518435033,4,2
1518437102,4,5
1518439247,1,3
1518441172,3,6
1518443090,2,6
1518445024,3,5
1518446942,2,4
1518449111,10,4
1518451003,4,3
1518452927,3,3
1518455083,4,5
1518456996,2,5
1518458945,5,1
1518460960,4,4
1518464701,0,4
1518466608,4,5
1518469524,3,8
1518471662,1,4
1518473593,4,4
1518475466,3,1
1518477425,6,7
1518479584,4,2
1518481470,4,3
1518483728,4,8
1518485581,7,1
1518487501,6,2
1518489631,4,6
1518491572,5,8
1518493465,3,3
1518495404,6,4
1518497305,3,3
1518499241,1,4
1518501143,3,3
1518503088,2,3
1518504991,2,3
1518506939,2,1
1518508889,3,3
1518510768,5,3
1518512677,1,2
1518514614,3,2
1518516536,2,5
1518518428,24,1
1518520618,45,3
1518522425,36,3
1518524446,27,5
1518526264,29,1
1518528074,24,2
1518530358,31,3
1518532162,26,2
1518534248,29,5
1518536439,28,3
1518538374,32,2
1518540287,29,4
1518542230,36,2
1518544140,30,1
1518546049,20,3
1518547966,13,4
1518549890,13,2
1518551816,3,2
1518553730,2,3
1518555708,1,2
1518557811,6,2
1518559723,3,6
1518561910,0,2
1518563811,3,3
1518566570,1,4
1518569247,2,4
1518571516,5,6
1518573410,4,5
1518575370,3,3
1518577842,7,6
1518579653,1,3
1518581773,2,4
1518583706,0,2
1518585643,3,3
1518587574,3,6
1518589434,1,1
1518591699,3,3
1518593828,1,2
1518595708,3,2
1518597900,0,4
1518599822,2,0
1518601745,4,3
1518603772,1,9
1518605584,3,26
1518607478,1,33
1518609414,3,37
1518611311,0,25
1518613295,4,32
1518615145,2,24
1518617106,2,28
1518619232,50,34
1518621183,2,30
1518623072,3,29
1518625235,5,41
1518627172,3,33
1518629103,1,32
1518631020,1,38
1518632939,14,9
1518634893,4,20
1518637002,4,9
1518638945,4,2
1518641094,1,3
1518643027,1,3
1518644950,1,3
1518646857,4,0
1518648956,1,0
1518650937,5,2
1518653033,1,0
1518655035,2,2
1518656933,2,4
1518659096,3,6
1518661267,5,1
1518663173,3,3
1518665338,11,1
1518667292,14,0
1518669438,20,1
1518671339,12,1
1518673503,13,5
1518675418,11,4
1518677586,17,3
1518679487,10,3
1518681417,17,4
1518683305,11,0
1518685301,14,3
1518687172,14,1
1518689348,16,4
1518691245,19,2
1518693177,1,1
1518695069,1,3
1518697422,7,1
1518699703,9,4
1518701609,11,3
1518703488,5,3
1518705429,8,25
1518707333,4,27
1518709289,5,2
1518711174,8,3
1518713356,11,6
1518715230,8,1
1518717205,8,2
1518719358,8,14
1518721313,4,3
1518723281,6,2
1518725099,4,6
1518726989,4,0
1518728954,2,1
1518730850,5,2
1518733023,4,2
1518734943,4,2
1518737002,2,4
1518739404,4,4
1518741416,1,1
1518743360,5,2
1518745246,2,3
1518747169,6,2
1518749084,3,4
1518751014,7,5
1518753183,6,17
1518755091,5,16
1518757328,9,17
1518759329,7,11
1518761554,3,13
1518763379,7,11
1518765412,9,10
1518767367,18,17
1518769249,11,10
1518771301,16,10
1518773302,12,15
1518775486,13,14
1518777417,12,18
1518779757,14,4
1518781715,11,1
1518783606,10,2
1518785558,9,7
1518787755,14,10
1518789699,21,5
1518791588,14,10
1518793505,16,4
1518796434,20,8
1518798313,17,7
1518800251,15,6
1518802183,19,11
1518804328,13,6
1518806252,14,4
1518808120,11,4
1518810040,15,9
1518812237,11,4
1518814149,16,3
1518816316,18,5
1518818219,17,2
1518820162,10,2
1518822316,7,8
1518824252,13,3
1518826375,8,4
1518828300,10,1
1518830265,6,5
1518832137,9,3
1518834335,8,6
1518836196,14,3
1518838371,7,7
1518840297,4,4
1518842211,9,9
1518844135,11,7
1518846036,11,5
1518847964,10,5
1518849882,9,10
1518851808,11,9
1518853726,7,12
1518855646,6,11
1518857561,9,17
1518859480,5,11
1518861403,12,9
1518863331,13,13
1518865482,15,10
1518867409,14,16
1518869442,15,6
1518871498,15,10
1518873761,20,13
1518875895,21,18
1518877984,8,18
1518879880,2,12
1518882054,6,16
1518883968,13,12
1518886087,8,15
1518888024,16,11
1518889946,12,15
1518891885,14,11
1518894237,12,14
1518896182,20,12
1518898070,14,10
1518900050,15,15
1518902226,12,18
1518904140,10,15
1518906303,22,14
1518908211,14,6
1518910964,26,12
1518912778,13,6
1518914690,10,11
1518916618,10,2
1518918777,9,10
1518920667,9,4
1518922887,10,14
