DateTime,AddedIPs,RemovedIPs
1518870513,4,8
1518871466,2,12
1518872433,11,11
1518873152,8,11
1518874109,6,5
1518875068,7,6
1518875862,7,6
1518876993,7,13
1518877947,6,7
1518878907,4,7
1518879622,3,5
1518880351,4,8
1518882528,15,21
1518883222,10,11
1518883944,5,6
1518884657,4,0
1518885379,4,9
1518886357,7,1
1518887063,5,11
1518887789,6,6
1518888747,6,7
1518889709,11,6
1518890448,5,11
1518891137,5,3
1518891862,8,4
1518892825,2,12
1518893544,11,8
1518894521,8,8
1518895215,2,0
1518895945,3,13
1518896659,6,13
1518897389,5,0
1518898357,8,21
1518899058,1,0
1518900024,12,6
1518900982,4,6
1518902200,3,9
1518903143,5,7
1518904114,1,22
1518905072,3,13
1518906278,5,8
1518907221,1,13
1518908187,3,9
1518909149,11,14
1518909868,5,0
1518910930,6,11
1518911793,3,5
1518912753,6,10
1518913705,10,5
1518914666,7,17
1518915631,8,7
1518916594,10,5
1518917792,6,6
1518918750,5,9
1518919714,4,12
1518920413,5,0
1518921386,11,16
1518922099,6,5
1518922831,4,19
1518923799,8,10
1518924747,7,12
1518925466,3,11
1518926180,8,0
1518926919,5,15
1518927869,5,8
1518928825,2,10
1518929787,3,9
1518930753,4,18
1518931709,4,1
1518932419,2,6
1518933144,2,10
1518933860,1,6
1518934593,1,4
1518935796,7,6
1518936751,7,2
1518937472,4,8
1518938182,5,7
1518938903,6,5
1518939622,5,0
1518940343,5,5
1518941311,2,6
1518942016,5,4
1518942745,2,5
1518943712,5,6
1518944674,2,2
1518945394,3,8
1518946097,3,7
1518946826,5,6
1518948285,11,10
1518949221,6,7
1518949941,5,9
1518950667,2,9
1518951629,11,4
1518952597,13,13
1518953548,6,4
1518954508,5,4
1518955482,5,8
1518956455,7,5
1518957130,4,0
1518957855,9,0
1518958817,3,11
1518959544,6,0
1518960500,8,10
1518961455,2,3
1518962421,9,15
1518963383,7,12
1518964088,5,0
1518965059,5,10
1518965793,8,5
1518966513,8,0
1518967214,10,4
1518967945,9,0
1518968907,7,11
1518969631,8,6
1518970357,6,8
1518971066,6,8
1518972023,11,7
1518972983,3,3
1518973697,4,10
1518974430,3,3
1518975140,4,0
1518975866,3,3
1518976830,7,10
1518977542,2,6
1518978267,10,7
1518978994,6,4
1518979703,5,0
1518980424,5,4
1518981156,13,5
1518981858,6,11
1518982581,2,6
1518983302,4,0
1518984273,5,8
1518984993,6,7
1518985952,7,8
1518986917,3,9
1518987870,8,10
1518988828,4,5
1518989538,4,6
1518990266,4,0
1518991234,8,15
1518992196,5,10
1518992896,3,5
1518993620,6,15
1518994592,5,3
1518996591,13,23
1518997271,2,7
1518998186,8,2
1518999154,2,7
1519000104,7,4
1519001071,5,9
1519002025,5,8
1519002995,9,5
1519003949,4,9
1519004912,3,5
1519005872,7,8
1519006828,6,8
1519007789,11,13
1519008501,2,16
1519009223,6,0
1519009939,6,12
1519010666,2,15
1519011628,9,4
1519012676,10,7
1519013552,6,5
1519014512,7,5
1519015472,2,10
1519016445,7,9
1519017389,6,4
1519018350,5,2
1519019306,2,2
1519020278,6,7
1519021226,2,8
1519022190,6,3
1519023149,4,5
1519024114,2,2
1519024814,7,2
1519025546,3,3
1519026260,8,8
1519026991,3,2
1519027956,6,8
1519028902,3,11
1519029869,8,5
1519030831,10,4
1519031794,3,5
1519032748,11,2
1519033457,5,0
1519034179,7,4
1519034916,7,8
1519035868,6,6
1519036576,3,9
1519037301,8,0
1519038022,8,2
1519038993,2,14
1519039949,2,7
1519040659,5,0
1519041377,4,7
1519042450,8,8
1519043307,5,7
1519044267,3,7
1519045230,0,5
1519046430,1,13
1519047395,5,5
1519048345,5,3
1519049311,1,7
1519050344,12,8
1519051227,8,10
1519052184,4,2
1519052896,2,10
1519053625,3,5
1519054338,3,4
1519055069,8,9
1519056030,9,8
1519056998,6,13
1519058195,6,5
1519059148,4,17
1519060111,9,5
1519060818,5,9
1519061798,5,6
1519062505,6,5
1519063224,5,3
1519063945,3,4
1519064671,4,4
1519065377,13,0
1519066103,8,6
1519067081,6,4
1519068027,9,11
1519068742,4,7
1519069471,5,5
1519070176,2,0
1519070915,4,8
1519071870,8,4
1519072579,4,5
1519074765,16,34
1519075474,7,3
1519076423,3,5
1519077383,7,3
1519078852,10,13
1519079542,2,0
1519080509,3,11
1519081474,9,5
1519082428,3,0
1519083313,6,16
1519084337,7,8
1519085056,3,6
1519085797,3,7
1519086510,1,2
1519087220,2,5
1519087951,5,6
1519088915,6,6
1519089615,2,0
1519090344,3,4
1519091064,2,8
1519091780,2,6
1519092748,6,6
1519093458,6,10
1519094181,7,5
1519094899,3,12
1519095628,12,13
1519096599,12,24
1519097547,5,7
1519098275,10,5
1519098980,6,3
1519099717,4,3
1519100667,7,14
1519101377,4,0
1519102106,2,11
1519102827,4,10
1519103557,8,5
1519104258,3,2
1519104981,4,3
1519105955,3,4
1519106663,5,6
1519107393,4,3
1519108349,7,3
1519109061,2,4
1519109792,3,4
1519110500,7,3
1519111241,7,1
1519111938,3,8
1519112661,2,1
1519113635,4,10
1519114345,2,0
1519115064,5,9
1519116025,5,6
1519116737,7,3
1519117468,9,12
1519118186,6,0
1519118904,4,4
1519119616,2,0
1519120338,5,7
1519121064,2,5
1519121793,4,2
1519122745,10,4
1519123457,1,6
1519124178,5,6
1519125151,12,10
1519125905,5,9
1519126828,6,5
1519127537,3,4
1519128278,7,3
1519129495,8,12
1519130176,5,4
1519130902,3,0
1519131627,8,7
1519132344,6,10
1519133308,6,7
1519134019,0,6
1519134738,3,5
1519135467,2,9
1519136181,6,0
1519137147,5,11
1519137859,7,5
1519138581,6,7
1519139554,2,7
1519140258,6,8
1519140989,1,4
1519141696,5,5
1519142429,2,12
1519143400,6,11
1519144349,4,5
1519145070,10,5
1519145776,2,5
1519146515,9,5
1519147468,11,13
1519148424,8,8
1519150128,10,18
1519150839,6,7
1519151788,9,4
1519152742,2,6
1519153711,11,9
1519154667,10,8
1519155622,9,5
1519156587,2,9
1519157555,12,13
1519158277,4,9
1519158979,1,0
1519159699,6,5
1519160673,8,17
1519161381,3,3
1519162103,8,8
1519162819,1,7
1519163544,6,8
1519164263,2,7
1519165224,6,6
1519165964,7,7
1519166906,11,12
1519167617,4,13
1519168344,6,0
1519169060,2,15
1519170310,9,6
1519171227,3,3
1519172192,6,3
1519172887,5,7
1519173636,4,10
1519174339,2,10
1519175064,8,9
1519176029,5,0
1519176739,5,7
1519177460,3,4
1519178175,3,7
1519178907,2,0
1519179868,11,10
1519180822,12,13
1519181789,7,20
1519182747,11,24
1519183457,6,3
1519184181,2,2
1519185155,11,5
1519185868,5,11
1519186592,4,9
1519187551,6,8
1519188263,9,4
1519188979,4,5
1519189697,5,5
1519190427,5,5
1519191137,4,5
1519191872,3,6
1519192834,9,4
1519193659,7,7
1519194504,4,7
1519195474,7,4
1519196426,2,6
1519197397,7,7
1519198343,4,4
1519199311,9,9
1519200269,5,2
1519201237,7,7
1519202191,5,17
1519202900,9,0
1519203639,6,4
1519204593,8,4
1519205310,5,7
1519206266,4,2
1519206974,7,7
1519207704,2,7
1519208662,12,4
1519209377,7,4
1519210102,5,7
1519210825,3,0
1519211542,6,3
1519212750,6,8
1519213465,6,10
1519214432,3,3
1519215400,5,3
1519216590,7,3
1519217554,10,12
1519218513,4,6
1519219472,9,9
1519220668,7,9
1519221648,11,9
1519222587,2,0
1519223544,3,14
1519224834,11,15
1519225724,6,7
1519227642,13,18
1519228585,2,2
1519229298,2,5
1519230029,9,6
1519230739,4,5
1519231470,3,0
1519232189,1,11
1519233146,3,7
1519234105,5,7
1519235067,6,15
1519236032,5,8
1519236756,1,4
1519237458,7,3
1519238181,4,8
1519239159,5,6
1519240110,2,3
1519240836,6,12
1519241539,3,13
1519242263,2,11
1519243240,3,13
1519244198,10,9
1519244907,1,3
1519245618,3,11
1519246347,3,5
1519247321,3,13
1519248264,7,10
1519249234,4,7
1519250186,8,2
1519251152,4,10
1519252106,4,11
1519252835,8,9
1519253787,5,4
1519254497,7,4
1519255227,6,0
1519256187,9,16
1519256908,3,6
1519257617,2,0
1519258597,2,12
1519259553,5,7
1519260751,9,9
1519261720,6,8
1519262661,8,13
1519263629,4,10
1519264346,1,11
1519265068,5,15
1519265786,9,8
1519266747,12,8
1519267714,5,8
1519268438,8,13
1519269136,4,13
1519269870,9,12
1519270824,6,8
1519271536,8,8
1519272275,3,8
1519272984,3,5
1519273710,2,2
1519274415,7,8
1519275142,4,5
1519276110,11,4
1519276815,4,6
1519277549,6,2
1519278507,6,10
1519279223,6,5
1519280293,3,6
1519280918,4,4
1519281869,5,8
1519282834,5,6
1519284038,11,4
1519284996,7,6
1519285952,2,5
1519286910,9,4
1519287633,2,8
1519288341,9,0
1519289069,4,8
1519290030,7,2
1519290992,6,3
1519291707,4,6
1519292415,7,2
1519293152,4,7
1519294112,2,5
1519295063,5,11
1519296025,2,7
1519296735,8,2
1519297474,3,5
1519298180,7,2
