DateTime,AddedIPs,RemovedIPs
1518870513,56,47
1518871466,65,78
1518872433,74,75
1518873152,66,80
1518874109,107,75
1518875068,84,62
1518875862,49,47
1518876993,76,62
1518877947,76,85
1518878907,83,100
1518879622,88,65
1518880351,60,57
1518882528,87,135
1518883222,92,63
1518883944,60,50
1518884657,48,39
1518885379,37,50
1518886357,76,138
1518887063,113,49
1518887789,66,39
1518888747,50,53
1518889709,59,66
1518890448,49,77
1518891137,71,48
1518891862,56,46
1518892825,44,55
1518893544,70,61
1518894521,57,41
1518895215,36,48
1518895945,42,44
1518896659,51,61
1518897389,60,41
1518898357,63,68
1518899058,45,42
1518900024,67,76
1518900982,64,65
1518902200,61,63
1518903143,57,50
1518904114,61,80
1518905072,62,59
1518906278,58,69
1518907221,50,88
1518908187,54,40
1518909149,63,78
1518909868,58,39
1518910930,47,73
1518911793,49,48
1518912753,47,72
1518913705,77,52
1518914666,48,62
1518915631,74,49
1518916594,42,59
1518917792,66,79
1518918750,53,68
1518919714,50,48
1518920413,36,41
1518921386,61,70
1518922099,50,47
1518922831,45,45
1518923799,62,61
1518924747,52,58
1518925466,47,28
1518926180,39,53
1518926919,52,52
1518927869,68,54
1518928825,49,81
1518929787,67,54
1518930753,63,59
1518931709,54,52
1518932419,45,44
1518933144,44,45
1518933860,33,45
1518934593,42,54
1518935796,70,48
1518936751,48,47
1518937472,45,44
1518938182,77,60
1518938903,47,53
1518939622,52,59
1518940343,60,49
1518941311,58,57
1518942016,46,43
1518942745,42,46
1518943712,63,56
1518944674,41,34
1518945394,50,47
1518946097,45,60
1518946826,56,42
1518948285,79,70
1518949221,61,57
1518949941,45,55
1518950667,50,67
1518951629,70,58
1518952597,71,68
1518953548,68,59
1518954508,37,51
1518955482,62,42
1518956455,43,53
1518957130,41,42
1518957855,54,47
1518958817,60,54
1518959544,47,50
1518960500,84,46
1518961455,40,47
1518962421,57,58
1518963383,54,53
1518964088,41,39
1518965059,53,60
1518965793,50,35
1518966513,56,43
1518967214,47,46
1518967945,53,55
1518968907,52,53
1518969631,50,46
1518970357,49,57
1518971066,64,47
1518972023,60,67
1518972983,47,51
1518973697,39,41
1518974430,37,52
1518975140,55,38
1518975866,59,63
1518976830,66,55
1518977542,35,37
1518978267,85,60
1518978994,58,44
1518979703,37,76
1518980424,75,50
1518981156,56,87
1518981858,70,78
1518982581,78,64
1518983302,53,56
1518984273,62,58
1518984993,44,53
1518985952,48,72
1518986917,49,44
1518987870,49,65
1518988828,59,70
1518989538,47,59
1518990266,64,48
1518991234,64,64
1518992196,51,48
1518992896,35,36
1518993620,47,52
1518994592,57,58
1518996591,74,108
1518997271,43,43
1518998186,63,56
1518999154,44,51
1519000104,59,63
1519001071,68,32
1519002025,39,53
1519002995,64,48
1519003949,52,65
1519004912,37,58
1519005872,59,49
1519006828,44,56
1519007789,64,62
1519008501,56,34
1519009223,46,40
1519009939,51,50
1519010666,40,43
1519011628,52,63
1519012676,50,65
1519013552,71,48
1519014512,51,58
1519015472,41,42
1519016445,55,65
1519017389,50,46
1519018350,57,33
1519019306,36,61
1519020278,48,70
1519021226,73,35
1519022190,58,71
1519023149,71,62
1519024114,42,55
1519024814,61,55
1519025546,37,53
1519026260,77,53
1519026991,45,54
1519027956,52,48
1519028902,80,45
1519029869,69,66
1519030831,57,66
1519031794,51,49
1519032748,68,52
1519033457,49,49
1519034179,38,53
1519034916,54,42
1519035868,56,55
1519036576,49,41
1519037301,46,62
1519038022,53,49
1519038993,63,49
1519039949,66,62
1519040659,42,48
1519041377,52,46
1519042450,71,71
1519043307,64,50
1519044267,32,64
1519045230,54,49
1519046430,67,72
1519047395,64,69
1519048345,64,58
1519049311,58,38
1519050344,64,74
1519051227,58,52
1519052184,47,60
1519052896,60,53
1519053625,45,31
1519054338,45,77
1519055069,83,46
1519056030,55,70
1519056998,74,58
1519058195,76,40
1519059148,47,69
1519060111,63,38
1519060818,52,43
1519061798,77,68
1519062505,58,62
1519063224,68,65
1519063945,50,57
1519064671,57,54
1519065377,94,48
1519066103,59,56
1519067081,56,37
1519068027,59,56
1519068742,50,61
1519069471,64,49
1519070176,56,49
1519070915,49,44
1519071870,49,55
1519072579,53,47
1519074765,95,98
1519075474,44,65
1519076423,49,50
1519077383,69,73
1519078852,87,81
1519079542,40,44
1519080509,55,69
1519081474,42,70
1519082428,67,52
1519083313,41,58
1519084337,62,61
1519085056,45,74
1519085797,54,40
1519086510,41,52
1519087220,40,35
1519087951,37,35
1519088915,49,42
1519089615,37,42
1519090344,38,54
1519091064,35,42
1519091780,55,47
1519092748,50,38
1519093458,42,54
1519094181,40,47
1519094899,44,49
1519095628,44,46
1519096599,57,74
1519097547,61,51
1519098275,57,40
1519098980,46,48
1519099717,23,39
1519100667,73,67
1519101377,48,48
1519102106,51,41
1519102827,44,43
1519103557,40,48
1519104258,36,41
1519104981,29,36
1519105955,47,102
1519106663,100,45
1519107393,51,49
1519108349,64,73
1519109061,50,45
1519109792,53,44
1519110500,46,42
1519111241,50,62
1519111938,48,46
1519112661,48,41
1519113635,67,82
1519114345,77,66
1519115064,53,81
1519116025,64,35
1519116737,39,69
1519117468,68,47
1519118186,49,43
1519118904,48,44
1519119616,34,50
1519120338,42,34
1519121064,52,52
1519121793,52,50
1519122745,70,44
1519123457,37,55
1519124178,52,41
1519125151,66,75
1519125905,62,38
1519126828,41,52
1519127537,53,56
1519128278,55,78
1519129495,89,99
1519130176,89,43
1519130902,42,79
1519131627,86,38
1519132344,40,53
1519133308,51,41
1519134019,35,61
1519134738,65,50
1519135467,62,34
1519136181,50,70
1519137147,79,67
1519137859,48,51
1519138581,60,52
1519139554,53,48
1519140258,47,55
1519140989,34,59
1519141696,74,44
1519142429,46,61
1519143400,68,59
1519144349,74,61
