DateTime,Entries,UniqueIPs
1518638487,454,454
1518639344,456,456
1518640115,458,458
1518640958,455,455
1518642483,453,453
1518644576,450,450
1518646475,450,450
1518649390,451,451
1518651392,448,448
1518652976,447,447
1518654059,450,450
1518654523,451,451
1518655558,445,445
1518657060,443,443
1518658123,444,444
1518659038,430,430
1518659805,432,432
1518660644,426,426
1518662144,421,421
1518663394,421,421
1518664483,426,426
1518666155,426,426
1518667854,431,431
1518668809,432,432
1518669943,428,428
1518672280,428,428
1518673351,424,424
1518674243,423,423
1518675060,426,426
1518676960,415,415
1518677799,420,420
1518678653,415,415
1518680551,410,410
1518682252,407,407
1518683131,408,408
1518684161,400,400
1518685000,401,401
1518685848,396,396
1518687650,387,387
1518688594,384,384
1518689677,386,386
1518691363,384,384
1518692462,380,380
1518693350,381,381
1518694575,378,378
1518695799,381,381
1518696677,376,376
1518697722,378,378
1518698775,375,375
1518699715,372,372
1518700565,377,377
1518701977,376,376
1518702839,378,378
1518703850,378,378
1518705521,376,376
1518706461,378,378
1518707693,377,377
1518708650,374,374
1518711281,372,372
1518712269,371,371
1518713165,368,368
1518714586,369,369
1518716454,369,369
1518717308,370,370
1518719146,369,369
1518720986,368,368
1518724910,361,361
1518726517,363,363
1518728404,360,360
1518729324,361,361
1518730258,360,360
1518731143,361,361
1518732652,360,360
1518734745,357,357
1518735840,357,357
1518739198,353,353
1518740083,355,355
1518741072,354,354
1518741948,355,355
1518743762,352,352
1518747054,348,348
1518748658,342,342
1518750873,340,340
1518752170,336,336
1518754480,338,338
1518756153,341,341
1518757845,343,343
1518758766,345,345
1518759771,339,339
1518761080,339,339
1518762671,334,334
1518763550,328,328
1518765337,332,332
1518766967,326,326
1518768520,323,323
1518769873,322,322
1518770743,319,319
1518771573,315,315
1518772553,314,314
1518774503,308,308
1518775472,304,304
1518777345,300,300
1518779008,298,298
1518780053,300,300
1518781231,297,297
1518783044,292,292
1518784962,287,287
1518786058,287,287
1518786947,288,288
1518787862,285,285
1518788558,284,284
1518790244,288,288
1518791696,290,290
1518792630,293,293
1518793735,294,294
1518795076,292,292
1518797204,292,292
1518798049,293,293
1518799366,291,291
1518800166,292,292
1518801051,291,291
1518801887,292,292
1518802854,293,293
1518803695,293,293
1518804645,292,292
1518806551,294,294
1518808479,296,296
1518809713,294,294
1518810205,295,295
1518811004,293,293
1518813356,294,294
1518814243,294,294
1518815327,294,294
1518817254,293,293
1518819270,292,292
1518820553,287,287
