DateTime,Entries,UniqueIPs
1518697688,34421,34421
1518698718,34245,34245
1518699677,34107,34107
1518700507,34209,34209
1518701949,34011,34011
1518702813,34126,34126
1518703807,34114,34114
1518705478,34092,34092
1518706414,34175,34175
1518707647,34106,34106
1518708621,33837,33837
1518709582,33846,33846
1518711247,33871,33871
1518712225,33752,33752
1518713126,33768,33768
1518714504,33777,33777
1518716407,33784,33784
1518717280,33862,33862
1518719121,33836,33836
1518719970,33651,33651
1518720906,33727,33727
1518721808,33663,33663
1518724870,33546,33546
1518725721,33649,33649
1518726488,33744,33744
1518728375,33413,33413
1518729278,33526,33526
1518730222,33405,33405
1518731107,33410,33410
1518732617,33429,33429
1518733687,33557,33557
1518734707,33326,33326
1518735781,33296,33296
1518736807,33421,33421
1518737288,33481,33481
1518739172,33255,33255
1518740048,33344,33344
1518741026,33252,33252
1518741907,33361,33361
1518743707,33299,33299
1518747007,33270,33270
1518748610,33236,33236
1518749446,33333,33333
1518750507,33225,33225
1518750847,33263,33263
1518752136,33147,33147
1518752528,33182,33182
1518754448,33248,33248
1518756128,33246,33246
1518757807,33167,33167
1518758736,33267,33267
1518759735,33067,33067
1518761056,33035,33035
1518761647,33097,33097
1518762625,32938,32938
1518763507,32940,32940
1518765247,32942,32942
1518766935,32833,32833
1518768479,32835,32835
1518769832,32755,32755
1518770707,32743,32743
1518771536,32684,32684
1518772507,32755,32755
1518774467,32644,32644
1518775445,32767,32767
1518776407,33278,33278
1518777300,33178,33178
1518778965,33108,33108
1518780007,33208,33208
1518781207,33114,33114
1518783007,33045,33045
1518784139,33151,33151
1518784928,32935,32935
1518785961,32881,32881
1518786907,32961,32961
1518787822,32822,32822
1518788529,32829,32829
1518790175,32822,32822
1518791669,32754,32754
1518792607,32839,32839
1518793706,32658,32658
1518795033,32125,32125
1518795907,32196,32196
1518797156,32002,32002
1518798007,32089,32089
1518799328,31827,31827
1518800142,31893,31893
1518801006,31810,31810
1518801845,31893,31893
1518802806,31710,31710
1518803670,31779,31779
1518804607,31763,31763
1518806527,31714,31714
1518808447,31570,31570
1518809676,31430,31430
1518810181,31465,31465
1518810968,31267,31267
1518811807,31333,31333
1518813330,31121,31121
1518814207,31210,31210
1518815012,31093,31093
1518816007,31153,31153
1518817206,30905,30905
1518817327,30913,30913
1518819246,30868,30868
1518820507,30743,30743
1518820927,30769,30769
1518822556,30670,30670
1518823687,30759,30759
1518824707,30536,30536
1518826218,30532,30532
1518826447,30552,30552
1518827425,30401,30401
1518828128,30482,30482
