DateTime,Entries,UniqueIPs
1518687639,4080,4080
1518688593,4052,4052
1518689676,4062,4062
1518691362,4039,4039
1518692456,4020,4020
1518693348,4029,4029
1518694568,3992,3992
1518695798,4006,4006
1518696665,3984,3984
1518697721,3999,3999
1518698767,3968,3968
1518699711,3949,3949
1518700554,3966,3966
1518701976,3910,3910
1518702838,3927,3927
1518703849,3907,3907
1518705514,3886,3886
1518706459,3910,3910
1518707692,3914,3914
1518708648,3884,3884
1518709609,3872,3872
1518711280,3856,3856
1518712268,3830,3830
1518713164,3814,3814
1518714580,3805,3805
1518716452,3785,3785
1518717307,3804,3804
1518719145,3784,3784
1518719994,3748,3748
1518720983,3734,3734
1518721845,3737,3737
1518724903,3716,3716
1518725764,3723,3723
1518726515,3735,3735
1518728402,3648,3648
1518729317,3671,3671
1518730252,3657,3657
1518731142,3655,3655
1518732651,3656,3656
1518733719,3666,3666
1518734744,3646,3646
1518735827,3634,3634
1518736851,3658,3658
1518737324,3660,3660
1518739197,3638,3638
1518740082,3647,3647
1518741069,3629,3629
1518741947,3638,3638
1518743758,3619,3619
1518747053,3581,3581
1518748655,3543,3543
1518749484,3552,3552
1518750871,3511,3511
1518752169,3466,3466
1518752555,3467,3467
1518754479,3468,3468
1518756152,3472,3472
1518757843,3446,3446
1518758765,3445,3445
1518759770,3415,3415
1518761079,3411,3411
1518761671,3418,3418
1518762670,3391,3391
1518763549,3390,3390
1518765291,3387,3387
1518766966,3370,3370
1518768511,3377,3377
1518769863,3340,3340
1518770741,3321,3321
1518771566,3306,3306
1518772552,3308,3308
1518774502,3305,3305
1518775471,3304,3304
1518776453,3277,3277
1518777347,3267,3267
1518779006,3257,3257
1518780051,3265,3265
1518781230,3256,3256
1518783043,3240,3240
1518784961,3216,3216
1518786008,3194,3194
1518786946,3205,3205
1518787864,3167,3167
1518788557,3167,3167
1518790233,3165,3165
1518791694,3160,3160
1518792629,3173,3173
1518793734,3131,3131
1518795067,3087,3087
1518795939,3098,3098
1518797193,3065,3065
1518798048,3071,3071
1518799363,3027,3027
1518800165,3034,3034
1518801050,3018,3018
1518801881,3027,3027
1518802852,2977,2977
1518803694,2983,2983
1518804644,2979,2979
