DateTime,Entries,UniqueIPs
1518692401,25629,25629
1518693336,25686,25686
1518694555,25579,25579
1518695792,25663,25663
1518696650,25600,25600
1518697715,25679,25679
1518698748,25562,25562
1518699701,25484,25484
1518700542,25542,25542
1518701970,25454,25454
1518702832,25536,25536
1518703843,25525,25525
1518705496,25514,25514
1518706448,25573,25573
1518707681,25532,25532
1518708641,25481,25481
1518709603,25475,25475
1518711275,25492,25492
1518712262,25410,25410
1518713152,25407,25407
1518714559,25397,25397
1518716442,25376,25376
1518717298,25435,25435
1518719139,25399,25399
1518719989,25251,25251
1518720977,25200,25200
1518721840,25260,25260
1518724890,25163,25163
1518725751,25234,25234
1518726509,25296,25296
1518728396,25056,25056
1518729302,25123,25123
1518730242,25031,25031
1518731134,25021,25021
1518732644,25020,25020
1518733714,25104,25104
1518734736,24941,24941
1518735807,24916,24916
1518736845,25003,25003
1518737317,25036,25036
1518739191,24862,24862
1518740076,24918,24918
1518741058,24834,24834
1518741941,24916,24916
1518743752,24856,24856
1518747042,24823,24823
1518748628,24823,24823
1518749471,24885,24885
1518750865,24847,24847
1518752159,24765,24765
1518752549,24785,24785
1518754473,24840,24840
1518756146,24831,24831
1518757837,24751,24751
1518758754,24820,24820
1518759765,24664,24664
1518761074,24657,24657
1518761665,24704,24704
1518762660,24576,24576
1518763542,24597,24597
1518765279,24591,24591
1518766960,24479,24479
1518768499,24471,24471
1518769852,24398,24398
1518770734,24385,24385
1518771553,24344,24344
1518772541,24389,24389
1518774491,24288,24288
1518775465,24453,24453
1518776444,24930,24930
1518777336,24856,24856
1518778990,24772,24772
1518780041,24825,24825
1518781224,24746,24746
1518783038,24660,24660
1518784955,24530,24530
1518785997,24452,24452
1518786940,24495,24495
1518787854,24357,24357
1518788551,24353,24353
1518790209,24300,24300
1518791687,24254,24254
1518792624,24309,24309
1518793729,24189,24189
1518795059,24061,24061
1518795931,24104,24104
1518797175,23959,23959
1518798043,24008,24008
1518799353,23793,23793
1518800159,23831,23831
1518801045,23747,23747
1518801875,23791,23791
1518802841,23627,23627
1518803689,23667,23667
1518804639,23651,23651
1518806545,23589,23589
1518808473,23448,23448
1518809700,23345,23345
1518810198,23364,23364
1518810998,23214,23214
1518811844,23249,23249
1518813349,23047,23047
1518814237,23077,23077
1518815318,22964,22964
1518817241,22773,22773
1518817345,22779,22779
1518819264,22702,22702
1518820546,22592,22592
1518820944,22604,22604
1518822583,22480,22480
1518823707,22527,22527
1518824736,22348,22348
1518826247,22304,22304
1518826466,22310,22310
1518827447,22174,22174
1518828147,22209,22209
1518830086,22108,22108
1518830944,22138,22138
1518831948,21899,21899
1518833451,21845,21845
1518834647,21680,21680
1518835360,21707,21707
1518837043,21552,21552
1518838097,21590,21590
1518839143,21356,21356
1518839980,21264,21264
1518840871,21296,21296
1518842438,21229,21229
1518844242,21087,21087
1518845304,21131,21131
1518846349,20899,20899
1518848069,20829,20829
1518848913,20852,20852
1518849935,20718,20718
1518851436,20585,20585
1518852508,20645,20645
1518853343,20462,20462
1518854338,20380,20380
1518855338,20412,20412
1518856116,20432,20432
1518857147,20331,20331
1518858350,20251,20251
1518859190,20298,20298
1518860444,20198,20198
1518861815,20094,20094
1518862756,20132,20132
1518864929,20051,20051
1518865836,20001,20001
1518867744,19899,19899
1518869738,19844,19844
1518870514,19875,19875
1518871343,19703,19703
1518873041,19637,19637
1518874945,19553,19553
1518876877,19485,19485
1518878930,19426,19426
1518882154,19265,19265
1518883845,19296,19296
1518885044,19234,19234
1518885928,19252,19252
1518888029,19335,19335
1518889229,19261,19261
1518891041,19323,19323
1518892066,19374,19374
1518893043,19304,19304
1518894636,19336,19336
1518896440,19279,19279
1518897397,19366,19366
1518898242,19365,19365
1518899312,19448,19448
1518900353,19356,19356
1518901728,19413,19413
1518903049,19379,19379
1518903752,19439,19439
1518905456,19426,19426
1518906503,19528,19528
1518907532,19495,19495
1518909278,19523,19523
1518910105,19604,19604
1518911140,19515,19515
1518913243,19637,19637
1518914547,19612,19612
1518916465,19712,19712
1518917449,19664,19664
1518918161,19692,19692
1518919002,19710,19710
1518919841,19807,19807
1518920734,19886,19886
1518921767,19808,19808
1518923665,19904,19904
1518925242,19872,19872
1518926179,19896,19896
1518927372,20039,20039
1518928428,20024,20024
1518929436,20078,20078
1518930636,20103,20103
1518931712,20216,20216
1518932558,20170,20170
1518934469,20265,20265
1518935613,20242,20242
1518937846,20323,20323
1518938913,20418,20418
1518939934,20313,20313
1518941439,20348,20348
1518943362,20348,20348
1518944406,20200,20200
1518945283,20271,20271
1518947734,19789,19789
1518948646,19781,19781
1518949736,19881,19881
1518951588,19868,19868
1518952406,19922,19922
1518953492,19924,19924
1518954162,19950,19950
1518955024,19968,19968
1518955843,20009,20009
1518956066,20029,20029
1518957373,20041,20041
1518958642,20157,20157
1518959751,20128,20128
1518960634,20100,20100
1518961532,20114,20114
1518963042,20171,20171
1518964953,20197,20197
1518966873,20275,20275
1518968442,20313,20313
1518970250,20343,20343
1518972162,20399,20399
1518973841,20513,20513
1518975746,20564,20564
1518977451,20660,20660
1518978513,20750,20750
1518979348,20752,20752
1518981039,20888,20888
1518982944,20993,20993
1518984641,21154,21154
1518986124,21259,21259
1518988029,21378,21378
1518989189,21498,21498
1518990241,21537,21537
1518992137,21688,21688
1518993752,21773,21773
1518995446,21895,21895
1518997238,22004,22004
1518998177,22008,22008
1518999038,22102,22102
1519000949,22264,22264
1519002652,22393,22393
1519003859,22505,22505
1519004568,22580,22580
1519005402,22626,22626
1519006241,22704,22704
1519006466,22721,22721
1519007454,22778,22778
1519008337,22855,22855
1519009642,22947,22947
1519010924,23090,23090
1519011935,23114,23114
1519013223,23161,23161
1519013670,23220,23220
1519015356,23336,23336
1519016463,23387,23387
1519017331,23462,23462
1519018108,23543,23543
1519019136,23579,23579
1519020641,23660,23660
1519021736,23777,23777
1519022553,23742,23742
1519024240,23871,23871
1519025675,23952,23952
1519026536,24035,24035
1519027844,24057,24057
1519029762,24096,24096
1519031450,24144,24144
1519032620,24256,24256
1519033448,24284,24284
1519035048,24340,24340
1519038348,24350,24350
1519039236,24446,24446
1519040110,24464,24464
1519041043,24526,24526
1519042248,24562,24562
1519043409,24594,24594
1519044318,24639,24639
1519046064,24760,24760
1519047056,24776,24776
1519047758,24839,24839
1519049664,24944,24944
1519050511,24996,24996
1519051353,24994,24994
1519052572,24985,24985
1519053641,25109,25109
1519054104,25146,25146
1519054944,25085,25085
1519056635,25130,25130
1519057851,25091,25091
1519058557,25112,25112
1519060236,25168,25168
1519062041,25218,25218
1519063840,25263,25263
1519065751,25307,25307
1519066688,25691,25691
1519067739,25935,25935
1519068515,26005,26005
1519069740,25906,25906
1519071042,25913,25913
1519072955,25885,25885
1519074646,25952,25952
1519075662,26019,26019
1519076557,25948,25948
1519077874,25902,25902
1519078840,25971,25971
1519079313,26018,26018
1519080143,25880,25880
1519081287,25872,25872
1519082066,25924,25924
1519083751,25768,25768
1519085449,25805,25805
1519086507,25889,25889
1519087356,25813,25813
1519089042,25729,25729
1519090269,25661,25661
1519091138,25728,25728
1519092243,25628,25628
1519093245,25694,25694
1519094229,25531,25531
1519095398,25631,25631
