DateTime,AddedIPs,RemovedIPs
1518684145,27,76
1518684979,27,1
1518685835,20,55
1518686720,20,1
1518687619,21,54
1518688577,26,77
1518689664,37,0
1518691345,42,59
1518692396,30,34
1518693321,31,1
1518694545,37,61
1518695783,24,1
1518696637,25,30
1518697705,23,1
1518698735,33,87
1518699692,21,89
1518700525,29,1
1518701964,37,147
1518702826,30,0
1518703829,33,37
1518705490,32,47
1518706439,19,0
1518707667,17,63
1518708636,17,47
1518709597,24,12
1518711265,41,41
1518712246,12,43
1518713143,34,14
1518714554,39,23
1518716428,54,33
1518717293,15,2
1518719134,48,41
1518719983,14,44
1518720922,24,7
1518721835,20,32
1518724884,73,67
1518725741,20,0
1518726502,19,1
1518728391,37,104
1518729291,18,1
1518730235,32,49
1518731120,18,19
1518732634,32,28
1518733703,38,0
1518734723,21,61
1518735793,30,26
1518736829,40,3
1518737305,23,0
1518739186,54,87
1518740065,27,0
1518741041,34,47
1518741930,19,0
1518743731,40,41
1518747026,97,78
1518748623,45,60
1518749459,29,0
1518750526,15,40
1518750860,11,0
1518752149,41,64
1518752544,7,0
1518754467,53,37
1518756141,37,39
1518757827,43,42
1518758748,26,0
1518759751,18,53
1518761069,28,41
1518761660,13,0
1518762646,31,53
1518763532,21,32
1518765261,47,44
1518766950,27,48
1518768493,39,28
1518769845,44,55
1518770719,19,18
1518771548,20,35
1518772525,25,0
1518774480,44,63
1518775459,12,60
1518776429,27,1
1518777325,23,47
1518778984,49,48
1518780027,30,0
1518781219,41,60
1518783033,60,47
1518784945,66,59
1518785987,40,17
1518786924,31,0
1518787839,32,31
1518788546,16,5
1518790199,54,23
1518791682,31,55
1518792619,17,1
1518793722,18,70
1518795048,25,42
1518795922,17,1
1518797168,29,50
1518798028,31,1
1518799340,30,66
1518800154,21,0
1518801033,20,20
1518801866,28,1
1518802827,31,54
1518803684,21,0
1518804634,28,27
1518806540,50,55
1518808463,47,64
1518809689,30,72
1518810193,15,1
1518810988,13,61
1518811834,21,0
1518813343,43,59
