DateTime,Entries,UniqueIPs
1518864932,9455,9455
1518865892,9458,9458
1518866852,9456,9456
1518867813,9449,9449
1518868772,9457,9457
1518869733,9464,9464
1518870452,9455,9455
1518871412,9455,9455
1518872372,9465,9465
1518873092,9465,9465
1518874052,9465,9465
1518875012,9463,9463
1518875733,9468,9468
1518876933,9458,9458
1518877893,9456,9456
1518878853,9449,9449
1518879572,9447,9447
1518880292,9442,9442
1518882452,9456,9456
1518883173,9455,9455
1518883892,9453,9453
1518884613,9459,9459
1518885333,9464,9464
1518886293,9464,9464
1518887012,9467,9467
1518887732,9450,9450
1518888692,9443,9443
1518889652,9438,9438
1518890853,9430,9430
1518891812,9437,9437
1518892773,9433,9433
1518893493,9430,9430
1518894453,9424,9424
1518895173,9427,9427
1518895891,9425,9425
1518896611,9422,9422
1518897332,9409,9409
1518898292,9411,9411
1518899013,9404,9404
1518899972,9412,9412
1518900932,9415,9415
1518902132,9410,9410
1518903092,9410,9410
1518904053,9404,9404
1518905013,9403,9403
1518906212,9409,9409
1518907171,9416,9416
1518908132,9413,9413
1518909093,9408,9408
1518909812,9416,9416
1518911733,9415,9415
1518912693,9418,9418
1518913652,9414,9414
1518914613,9416,9416
1518915571,9420,9420
1518916533,9418,9418
1518917732,9422,9422
1518918693,9425,9425
1518919653,9432,9432
1518920372,9440,9440
1518921332,9441,9441
1518922052,9449,9449
1518922772,9458,9458
1518923733,9455,9455
1518924693,9456,9456
1518925413,9452,9452
1518926133,9454,9454
1518926852,9458,9458
1518927813,9466,9466
1518928773,9469,9469
1518929736,9466,9466
1518930691,9466,9466
1518931653,9466,9466
1518932372,9476,9476
1518933092,9477,9477
1518933812,9454,9454
1518934533,9449,9449
1518935732,9437,9437
1518936693,9428,9428
1518937412,9430,9430
1518938132,9432,9432
1518938853,9433,9433
1518939571,9416,9416
1518940293,9412,9412
1518941252,9415,9415
1518941972,9414,9414
1518942693,9415,9415
1518943652,9418,9418
1518944613,9409,9409
1518945332,9408,9408
1518946053,9412,9412
1518946772,9422,9422
1518948213,9414,9414
1518949172,9424,9424
1518949892,9428,9428
1518950612,9433,9433
1518951571,9430,9430
1518952533,9424,9424
1518953493,9420,9420
1518954453,9422,9422
