DateTime,Entries,UniqueIPs
1518220103,3186,3261
1518222034,3191,3266
1518223936,3185,3260
1518225870,3183,3257
1518227774,3183,3257
1518229956,3176,3250
1518231862,3175,3249
1518234029,3177,3251
1518235949,3187,3262
1518237870,3190,3265
1518239792,3202,3277
1518241695,3203,3278
1518243870,3204,3279
1518245772,3215,3290
1518247711,3230,3305
1518249625,3210,3286
1518251546,3205,3279
1518253473,3215,3289
1518255394,3212,3286
1518257544,3204,3278
1518259473,3199,3272
1518261394,3197,3270
1518263312,3211,3285
1518265481,3228,3302
1518267375,3224,3298
1518269552,3213,3287
1518271468,3212,3285
1518273629,3225,3298
1518275587,3212,3285
1518277465,3213,3284
1518279396,3218,3292
1518281313,3214,3288
1518283234,3215,3289
1518285150,3216,3290
1518287070,3215,3288
1518289238,3206,3279
1518291151,3212,3285
1518295461,3213,3287
1518297388,3217,3291
1518299773,3216,3290
1518301698,3232,3307
1518303629,3231,3306
1518305971,3227,3302
1518309867,3212,3286
1518311795,3220,3295
1518313708,3219,3293
1518315863,3229,3304
1518319706,3213,3290
1518321629,3230,3307
1518323791,3227,3304
1518325710,3223,3300
1518327867,3226,3304
1518329791,3217,3295
1518331944,3227,3305
1518333862,3229,3308
1518335776,3230,3309
1518337942,3228,3307
1518339872,3231,3310
1518341787,3239,3318
1518345624,3242,3321
1518347553,3247,3326
1518353771,3232,3310
1518355955,3230,3307
1518360010,3233,3310
1518362438,3233,3310
1518364335,3244,3321
1518366262,3255,3333
1518368170,3255,3333
1518370098,3259,3337
1518372031,3266,3344
1518374192,3253,3331
1518378021,3246,3324
1518382112,3259,3337
1518384027,3263,3341
1518385938,3270,3348
1518387857,3269,3347
1518390035,3280,3358
1518392242,3299,3377
1518394120,3302,3380
1518396025,3301,3378
1518398185,3305,3383
1518400098,3303,3381
1518402029,3306,3383
1518403946,3314,3390
1518405868,3333,3409
1518407771,3344,3420
1518409696,3362,3438
1518411634,3364,3441
1518415711,3345,3421
1518417854,3361,3437
1518419795,3363,3439
1518421938,3358,3434
1518423868,3364,3440
1518425766,3359,3435
1518427948,3358,3434
1518429861,3365,3441
1518431781,3372,3448
1518433943,3383,3459
1518435864,3383,3458
1518437697,3386,3461
1518439695,3398,3472
1518441608,3402,3476
1518443529,3390,3464
1518445452,3398,3473
1518447371,3399,3474
1518449298,3400,3476
1518451215,3399,3475
1518453141,3398,3475
1518455062,3397,3474
1518456974,3400,3477
1518458917,3389,3466
1518460820,3388,3465
1518462749,3386,3463
1518466588,3366,3442
1518468519,3375,3451
1518470422,3374,3450
1518472584,3378,3454
1518476444,3362,3438
1518480737,3363,3439
1518482652,3377,3453
1518484585,3374,3450
1518486509,3364,3439
1518488422,3360,3435
1518490333,3361,3436
1518492263,3372,3447
1518494170,3375,3450
1518496110,3390,3465
1518498035,3402,3477
1518499946,3398,3472
1518501859,3396,3470
1518504024,3401,3475
1518505943,3395,3469
1518509798,3393,3467
1518511696,3405,3480
1518513627,3401,3475
1518515543,3388,3462
1518517467,3385,3459
1518519378,3384,3458
1518521547,3386,3460
1518523479,3374,3448
1518526685,3385,3459
1518528490,3390,3464
1518530668,3407,3480
1518532579,3412,3485
1518534507,3419,3492
1518538347,3415,3488
1518542200,3408,3481
1518544104,3416,3488
1518546021,3416,3488
1518549864,3416,3488
1518551780,3410,3482
1518553703,3412,3485
1518555626,3406,3479
1518557784,3406,3479
1518559695,3404,3477
1518561874,3404,3477
1518563786,3402,3475
1518566345,3391,3464
1518568960,3386,3460
1518570974,3384,3458
1518574818,3371,3444
1518578211,3348,3420
1518580100,3352,3424
1518582040,3358,3432
1518583936,3344,3418
1518586118,3343,3417
1518588035,3346,3420
1518590017,3335,3409
1518592112,3339,3413
1518594257,3339,3413
1518596210,3345,3419
1518598338,3347,3421
1518600259,3357,3431
1518602175,3358,3432
1518604176,3358,3432
1518606030,3367,3441
1518609878,3359,3433
1518612017,3354,3428
1518614029,3342,3416
1518615872,3339,3414
1518618035,3335,3409
1518619938,3330,3404
1518621864,3329,3403
1518624037,3318,3392
1518628113,3315,3388
1518630020,3320,3393
1518631955,3319,3392
1518633856,3328,3401
1518635799,3333,3406
1518639875,3347,3420
1518641770,3344,3417
1518643947,3338,3411
1518645864,3337,3410
1518647781,3331,3404
1518649950,3329,3402
1518651867,3332,3405
1518653798,3340,3413
1518655713,3354,3427
1518657862,3361,3434
1518660038,3353,3426
1518662190,3354,3426
1518664124,3355,3427
1518666268,3364,3434
1518668200,3365,3435
1518670361,3363,3432
1518672269,3370,3440
1518676349,3374,3444
1518678511,3386,3456
1518680427,3371,3441
1518682353,3373,3443
1518684261,3383,3453
1518686194,3371,3441
1518688111,3376,3446
1518690263,3365,3435
1518692187,3369,3440
1518694094,3359,3430
1518696040,3356,3427
1518698181,3351,3422
1518700111,3344,3415
1518702037,3348,3419
1518703944,3359,3430
1518705859,3351,3422
1518707815,3346,3415
1518709703,3357,3427
1518713541,3343,3413
1518717864,3315,3385
1518720025,3318,3387
1518722182,3313,3382
1518724587,3320,3389
1518726489,3323,3392
1518728436,3329,3397
1518730338,3325,3394
1518732511,3328,3397
1518734409,3319,3388
1518736844,3317,3386
1518738736,3302,3371
1518740905,3308,3377
1518742828,3301,3370
1518744756,3297,3366
1518746664,3302,3371
1518748585,3307,3376
1518750501,3316,3386
1518752672,3320,3390
1518754586,3331,3401
1518756505,3333,3403
1518758654,3351,3418
1518760571,3344,3410
1518762492,3354,3420
1518764430,3356,3422
1518766393,3349,3414
1518768275,3343,3408
1518770187,3336,3401
1518772123,3333,3396
1518774023,3334,3397
1518775949,3323,3387
1518777858,3308,3372
1518780288,3298,3362
1518782175,3285,3349
1518784118,3279,3342
1518786041,3287,3349
1518788188,3291,3354
1518790350,3279,3342
1518792501,3275,3338
1518794668,3276,3339
1518802591,3247,3310
1518804751,3237,3300
1518806667,3238,3301
1518808582,3237,3300
1518810751,3220,3283
1518812661,3224,3287
1518814631,3204,3267
1518816771,3201,3264
1518818667,3203,3266
1518820596,3201,3264
1518822751,3201,3264
1518824848,3211,3275
1518826821,3201,3265
1518830654,3201,3266
1518832581,3186,3251
1518834748,3191,3256
1518836679,3184,3249
1518838824,3187,3252
1518840761,3180,3245
1518842664,3189,3254
1518844595,3167,3232
1518846511,3163,3227
1518848431,3171,3235
1518850345,3161,3225
1518852270,3160,3224
1518856108,3149,3214
1518858028,3141,3206
1518859954,3135,3200
1518861870,3131,3195
1518863783,3128,3192
1518865946,3122,3186
1518869792,3106,3170
1518871943,3093,3157
1518874105,3093,3157
1518876262,3089,3153
1518878432,3072,3136
1518880347,3081,3145
1518882524,3062,3125
1518884416,3058,3120
1518886353,3055,3117
1518888255,3052,3114
1518890444,3052,3114
1518892342,3044,3106
1518894517,3044,3107
1518896413,3042,3105
1518898353,3047,3110
1518900255,3064,3127
1518902196,3047,3110
1518904110,3054,3117
1518906274,3055,3118
1518908184,3044,3107
1518910923,3049,3113
1518912749,3073,3137
1518914662,3086,3150
1518916590,3083,3147
1518918746,3074,3137
1518922826,3064,3127
1518924743,3058,3121
1518926915,3053,3116
1518928821,3044,3107
1518930749,3051,3113
1518932654,3064,3126
1518934589,3059,3120
1518936747,3049,3110
1518938650,3066,3127
1518940819,3049,3110
1518942741,3059,3120
1518944670,3049,3110
1518946822,3035,3096
1518948738,3040,3101
1518950663,3035,3096
1518952592,3023,3084
1518954504,3027,3088
1518956451,3034,3095
1518958336,3039,3100
1518960496,3047,3108
1518962416,3054,3115
1518964585,3068,3129
1518966509,3065,3126
1518968415,3067,3128
1518970353,3070,3131
1518972499,3059,3119
1518976341,3039,3099
1518978262,3040,3100
1518980178,3048,3108
1518982090,3068,3128
1518984269,3067,3127
1518986413,3071,3131
1518988344,3055,3115
1518990262,3061,3122
1518992192,3077,3138
1518994094,3082,3142
1518996587,3081,3142
1518998669,3067,3128
1519000587,3061,3122
1519002504,3057,3116
1519004414,3053,3112
1519006341,3054,3113
1519008255,3043,3102
1519010176,3042,3102
1519012091,3031,3091
1519014015,3021,3081
1519015936,3021,3081
1519017858,3018,3078
1519019770,3031,3091
1519021695,3028,3086
1519023618,3019,3076
1519025541,3010,3067
1519027459,3007,3064
1519029380,2997,3054
1519031300,2998,3055
1519035382,2986,3043
1519037296,2981,3037
1519039209,2980,3036
1519041132,2967,3023
1519043303,2979,3035
1519045225,2967,3023
1519047389,2972,3028
1519049307,2975,3030
1519051223,2967,3023
1519053137,2977,3033
1519055065,2982,3036
1519056994,2981,3035
1519059143,2984,3038
1519061056,2995,3049
1519062968,2990,3044
1519065134,2995,3049
1519067076,3002,3058
1519068971,3001,3057
1519070910,3010,3066
1519073058,3026,3082
1519075470,3018,3075
1519077379,3025,3082
1519079297,3043,3100
1519081470,3046,3104
1519083308,3049,3108
1519085293,3054,3113
1519087216,3051,3110
1519089129,3044,3103
1519091060,3051,3110
1519092968,3042,3101
1519094895,3046,3104
1519097057,3043,3102
1519098976,3023,3082
1519102822,3012,3071
1519104733,3014,3073
1519106659,3016,3077
1519108569,3023,3084
1519110496,3021,3082
1519112407,3018,3079
1519114341,3027,3088
1519116252,3036,3097
1519118181,3039,3100
1519120086,3056,3117
1519122005,3058,3119
1519123930,3053,3114
1519125900,3050,3111
1519127774,3053,3115
1519129936,3056,3118
1519131861,3052,3114
1519133779,3038,3100
1519137699,3018,3080
1519141462,3017,3079
1519143395,3014,3076
1519145539,3023,3085
1519147464,3025,3087
1519150124,3019,3081
1519152259,3034,3096
1519154191,3040,3102
1519156097,3043,3105
1519158273,3053,3115
1519160171,3049,3109
1519162099,3051,3111
1519164031,3053,3113
1519165959,3056,3116
1519167891,3059,3119
1519170305,3071,3131
1519172188,3080,3140
1519176025,3088,3148
1519179863,3104,3164
1519181785,3116,3176
1519183692,3128,3188
1519185623,3120,3180
1519189465,3113,3172
1519191373,3106,3165
1519193655,3114,3173
1519195468,3140,3199
1519197393,3146,3207
1519199307,3151,3213
1519201233,3154,3216
1519203133,3157,3219
1519205306,3156,3217
1519207221,3157,3218
1519209144,3156,3217
1519211061,3155,3215
1519213218,3162,3222
1519215395,3167,3227
1519217550,3167,3227
1519219467,3188,3249
1519221643,3190,3251
1519223540,3194,3255
1519225720,3193,3254
1519227638,3187,3248
1519229541,3182,3243
1519231465,3199,3260
1519233384,3200,3261
1519237228,3194,3254
1519239152,3188,3248
1519241303,3200,3260
1519243236,3206,3266
1519245387,3198,3258
1519247317,3199,3259
1519249229,3196,3256
1519251148,3194,3255
1519253304,3212,3274
1519255222,3219,3282
1519257382,3218,3281
1519259549,3212,3275
1519263625,3190,3253
1519265533,3189,3252
1519267709,3199,3265
1519269866,3211,3277
1519271791,3203,3269
1519273706,3211,3277
1519275630,3204,3270
1519277544,3198,3263
1519279462,3200,3265
1519281375,3197,3262
1519283298,3217,3283
1519285461,3223,3290
1519287629,3228,3295
1519289538,3230,3297
1519291703,3238,3305
1519293641,3238,3305
1519295542,3238,3305
1519297470,3236,3303
