DateTime,Entries,UniqueIPs
1518843635,18359,18359
1518844111,18145,18145
1518844608,18200,18200
1518845056,19198,19198
1518845557,19250,19250
1518846012,19358,19358
1518846524,19382,19382
1518846974,19332,19332
1518847481,19349,19349
1518847940,18977,18977
1518848444,18979,18979
1518848896,19039,19039
1518849397,19047,19047
1518849857,18843,18843
1518850359,18856,18856
1518850830,18721,18721
1518851318,18731,18731
1518851782,18420,18420
1518852283,18430,18430
1518852743,18140,18140
1518853231,18150,18150
1518853700,17952,17952
1518854203,17948,17948
1518854673,17705,17705
1518855153,17709,17709
1518855622,18656,18656
1518856123,18652,18652
1518856580,19105,19105
1518857073,19109,19109
1518857537,19749,19749
1518858043,19752,19752
1518858504,19847,19847
1518858995,19851,19851
1518859456,19972,19972
1518859971,19981,19981
1518860417,20327,20327
1518860912,20331,20331
1518861379,20797,20797
1518861883,20811,20811
1518862340,21336,21336
1518862813,21335,21335
1518863307,21718,21718
1518863788,21716,21716
1518864273,22158,22158
1518864998,22170,22170
1518865458,22755,22755
1518865961,22760,22760
1518866419,23067,23067
1518866913,23069,23069
1518867385,23459,23459
1518867885,23457,23457
1518868334,23911,23911
1518868840,23916,23916
1518869419,24356,24356
1518869806,24360,24360
1518870523,25093,25093
1518870981,25104,25104
1518871476,25419,25419
1518871946,25414,25414
1518872443,25994,25994
1518873160,25995,25995
1518873620,25747,25747
1518874118,25753,25753
1518874576,25629,25629
1518875078,25628,25628
1518875535,25508,25508
1518876267,25512,25512
1518877002,25851,25851
1518877457,25859,25859
1518877958,25801,25801
1518878435,25804,25804
1518878916,25550,25550
1518879375,25553,25553
1518879861,25595,25595
1518880360,25596,25596
1518882540,25982,25982
1518883460,26120,26120
1518884421,26249,26249
1518885393,26396,26396
1518886369,26528,26528
1518887297,26595,26595
1518888260,26763,26763
1518889219,26878,26878
1518890461,27026,27026
1518891375,27120,27120
1518892349,27217,27217
1518893556,27401,27401
1518894533,27553,27553
1518895455,27663,27663
1518896420,27751,27751
1518897401,27865,27865
1518898476,28003,28003
1518899533,28117,28117
1518900496,28240,28240
1518901468,28501,28501
1518902659,28627,28627
1518903613,28705,28705
1518904578,29411,29411
1518905534,29790,29790
1518906751,29906,29906
1518907692,30008,30008
1518908664,30139,30139
1518909878,30236,30236
1518910946,30385,30385
1518912279,30643,30643
1518913217,30689,30689
1518914185,30753,30753
1518915139,30824,30824
1518916110,30921,30921
1518917054,30947,30947
1518918258,30951,30951
1518919222,30950,30950
1518920177,31183,31183
1518921398,31273,31273
1518922334,31344,31344
1518923308,31378,31378
1518924258,31397,31397
1518925479,31413,31413
1518926424,31525,31525
1518927391,31739,31739
1518928339,31728,31728
1518929306,31770,31770
1518930261,31872,31872
1518931217,31650,31650
1518932175,31703,31703
1518933156,31752,31752
1518934096,31812,31812
1518935054,31926,31926
1518936258,32055,32055
1518937484,32139,32139
1518938411,32149,32149
1518939373,32164,32164
1518940354,32169,32169
1518941322,30780,30780
1518942260,30572,30572
1518943215,30233,30233
1518944182,30181,30181
1518945405,30062,30062
1518946340,29893,29893
1518948297,29265,29265
1518949232,29016,29016
1518950178,28752,28752
1518951137,28389,28389
1518952116,28102,28102
1518953061,27758,27758
1518954020,27360,27360
1518954978,27002,27002
1518956060,26592,26592
1518957143,26250,26250
1518958095,25747,25747
1518959068,25847,25847
1518960032,25915,25915
1518960992,25959,25959
1518961955,25773,25773
1518962999,25874,25874
1518964100,25915,25915
1518965073,25944,25944
1518966015,25875,25875
1518966987,25626,25626
1518967959,25645,25645
1518968919,25658,25658
1518969860,25715,25715
1518970817,25834,25834
1518972035,25674,25674
1518972995,25825,25825
1518973937,25697,25697
1518974891,25824,25824
1518975878,25826,25826
1518976843,25934,25934
1518977777,25818,25818
1518978741,25940,25940
1518979714,25920,25920
1518980662,25917,25917
1518981619,25824,25824
1518982595,25729,25729
1518983535,25777,25777
1518984491,25843,25843
1518985459,25768,25768
1518986419,25773,25773
1518987377,25819,25819
1518988350,25847,25847
1518989292,26818,26818
1518990281,27098,27098
1518991246,26140,26140
1518992208,26091,26091
1518993136,26228,26228
1518994099,26129,26129
1518996604,26005,26005
1518997696,25946,25946
1518998674,26042,26042
1518999617,26020,26020
1519000592,25844,25844
1519001537,25991,25991
1519002510,25907,25907
1519003457,26005,26005
1519004421,26137,26137
1519005379,26219,26219
1519006347,25962,25962
1519007293,25907,25907
1519008261,25925,25925
1519009234,25988,25988
1519010181,26012,26012
1519011135,26024,26024
