DateTime,AddedIPs,RemovedIPs
1518843635,0,4
1518844111,136,23
1518844608,58,1
1518845056,1561,840
1518845557,58,3
1518846012,293,283
1518846524,26,4
1518846974,200,199
1518847481,20,4
1518847940,48,48
1518848444,4,8
1518848896,60,59
1518849397,14,10
1518849857,95,92
1518850359,18,8
1518850830,85,86
1518851318,13,7
1518851782,55,55
1518852283,12,14
1518852743,40,40
1518853231,11,3
1518853700,23,23
1518854203,2,4
1518854673,51,51
1518855153,8,8
1518855622,1999,1997
1518856123,6,9
1518856580,1270,1274
1518857073,11,3
1518857537,1500,1500
1518858043,10,7
1518858504,475,473
1518858995,8,4
1518859456,628,629
1518859971,13,7
1518860417,1042,1043
1518860912,8,5
1518861379,1259,1257
1518861883,18,4
1518862340,1321,1323
1518862813,1,8
1518863307,1081,1084
1518863788,0,5
1518864273,1161,1164
1518864998,21,8
1518865458,1639,1643
1518865961,9,3
1518866419,1198,1199
1518866913,2,7
1518867385,1549,1551
1518867885,3,1
1518868334,1738,1737
1518868840,7,6
1518869419,1791,1804
1518869806,8,1
1518870523,1959,1970
1518870981,13,0
1518871476,1520,1519
1518871946,3,1
1518872443,1971,1960
1518873160,3,0
1518873620,150,149
1518874118,6,0
1518874576,92,89
1518875078,1,1
1518875535,590,587
1518876267,5,0
1518877002,1768,1767
1518877457,11,0
1518877958,570,578
1518878435,7,0
1518878916,450,449
1518879375,6,0
1518879861,752,751
1518880360,5,0
1518882540,1476,1463
1518883460,660,660
1518884421,510,511
1518885393,644,629
1518886369,587,579
1518887297,270,271
1518888260,819,811
1518889219,479,473
1518890461,724,714
1518891375,475,473
1518892349,527,528
1518893556,727,727
1518894533,790,778
1518895455,707,699
1518896420,596,587
1518897401,634,631
1518898476,836,835
1518899533,701,701
1518900496,787,778
1518901468,504,501
1518902659,145,131
1518903613,83,79
1518904578,722,713
1518905534,1973,1990
1518906751,665,665
1518907692,580,582
1518908664,703,704
1518909878,369,354
1518910946,955,949
1518912279,1387,1383
1518913217,491,492
1518914185,532,530
1518915139,685,682
1518916110,754,742
1518917054,277,269
1518918258,126,124
1518919222,99,94
1518920177,1978,1977
1518921398,863,863
1518922334,604,603
1518923308,287,271
1518924258,126,121
1518925479,152,150
1518926424,724,749
1518927391,1549,1550
1518928339,646,624
1518929306,568,561
1518930261,748,737
1518931217,933,1000
1518932175,653,704
1518933156,530,562
1518934096,562,576
1518935054,722,736
1518936258,863,905
1518937484,551,576
1518938411,98,110
1518939373,89,99
1518940354,101,108
1518941322,1924,1938
1518942260,979,988
1518943215,510,516
1518944182,765,767
1518945405,243,250
1518946340,933,938
1518948297,1170,1175
1518949232,529,526
1518950178,661,651
1518951137,690,693
1518952116,258,269
1518953061,708,720
1518954020,573,577
1518954978,599,587
1518956060,619,621
1518957143,613,626
1518958095,494,503
1518959068,682,678
1518960032,332,325
1518960992,850,846
1518961955,834,825
1518962999,668,659
1518964100,869,875
1518965073,548,552
1518966015,557,561
1518966987,150,146
1518967959,106,106
1518968919,86,88
1518969860,1025,1030
1518970817,1398,1405
1518972035,522,531
1518972995,1010,1003
1518973937,214,212
1518974891,937,926
1518975878,612,609
1518976843,561,553
1518977777,522,524
1518978741,658,649
1518979714,583,586
1518980662,434,453
1518981619,127,131
1518982595,124,131
1518983535,999,992
1518984491,1120,1103
1518985459,540,537
1518986419,680,680
1518987377,659,652
1518988350,164,163
1518989292,1000,991
1518990281,530,525
1518991246,1917,1932
1518992208,411,409
1518993136,858,850
1518994099,613,612
1518996604,504,513
1518997696,1603,1607
1518998674,567,569
1518999617,477,474
1519000592,430,432
1519001537,929,921
1519002510,291,304
1519003457,669,677
1519004421,774,782
1519005379,557,556
