DateTime,Entries,UniqueIPs
1518843635,1297,1297
1518844111,1410,1410
1518844608,1467,1467
1518845056,2188,2188
1518845557,2243,2243
1518846012,2253,2253
1518846524,2275,2275
1518846974,2276,2276
1518847481,2292,2292
1518847940,2292,2292
1518848444,2288,2288
1518848896,2289,2289
1518849397,2293,2293
1518849857,2296,2296
1518850359,2306,2306
1518850830,2305,2305
1518851318,2311,2311
1518851782,2311,2311
1518852283,2309,2309
1518852743,2309,2309
1518853231,2317,2317
1518853700,2317,2317
1518854203,2315,2315
1518854673,2315,2315
1518855153,2315,2315
1518855622,2317,2317
1518856123,2314,2314
1518856580,2310,2310
1518857073,2318,2318
1518857537,2318,2318
1518858043,2321,2321
1518858504,2323,2323
1518858995,2327,2327
1518859456,2326,2326
1518859971,2332,2332
1518860417,2331,2331
1518860912,2334,2334
1518861379,2336,2336
1518861883,2350,2350
1518862340,2348,2348
1518862813,2341,2341
1518863307,2338,2338
1518863788,2333,2333
1518864273,2330,2330
1518864998,2343,2343
1518865458,2339,2339
1518865961,2345,2345
1518866419,2344,2344
1518866913,2339,2339
1518867385,2337,2337
1518867885,2339,2339
1518868334,2340,2340
1518868840,2341,2341
1518869419,2328,2328
1518869806,2335,2335
1518870523,2324,2324
1518870981,2337,2337
1518871476,2338,2338
1518871946,2340,2340
1518872443,2351,2351
1518873160,2354,2354
1518873620,2355,2355
1518874118,2361,2361
1518874576,2364,2364
1518875078,2364,2364
1518875535,2367,2367
1518876267,2372,2372
1518877002,2373,2373
1518877457,2384,2384
1518877958,2376,2376
1518878435,2383,2383
1518878916,2384,2384
1518879375,2390,2390
1518879861,2391,2391
1518880360,2396,2396
1518882540,2409,2409
1518883460,2409,2409
1518884421,2408,2408
1518885393,2423,2423
1518886369,2431,2431
1518887297,2430,2430
1518888260,2438,2438
1518889219,2444,2444
1518890461,2454,2454
1518891375,2456,2456
1518892349,2455,2455
1518893556,2455,2455
1518894533,2467,2467
1518895455,2475,2475
1518896420,2484,2484
1518897401,2487,2487
1518898476,2488,2488
1518899533,2488,2488
1518900496,2497,2497
1518901468,2500,2500
1518902659,2514,2514
1518903613,2518,2518
1518904578,2527,2527
1518905534,2510,2510
1518906751,2510,2510
1518907692,2508,2508
1518908664,2507,2507
1518909878,2522,2522
1518910946,2528,2528
1518912279,2532,2532
1518913217,2531,2531
1518914185,2533,2533
1518915139,2536,2536
1518916110,2548,2548
1518917054,2556,2556
1518918258,2558,2558
1518919222,2563,2563
1518920177,2564,2564
1518921398,2564,2564
1518922334,2565,2565
1518923308,2581,2581
1518924258,2586,2586
1518925479,2588,2588
1518926424,2563,2563
1518927391,2562,2562
1518928339,2584,2584
1518929306,2591,2591
1518930261,2602,2602
1518931217,2535,2535
1518932175,2484,2484
1518933156,2452,2452
1518934096,2438,2438
1518935054,2424,2424
1518936258,2382,2382
1518937484,2357,2357
1518938411,2345,2345
1518939373,2335,2335
1518940354,2328,2328
1518941322,2314,2314
1518942260,2305,2305
1518943215,2299,2299
1518944182,2297,2297
1518945405,2290,2290
1518946340,2285,2285
1518948297,2280,2280
1518949232,2283,2283
1518950178,2293,2293
1518951137,2290,2290
1518952116,2279,2279
1518953061,2267,2267
1518954020,2263,2263
1518954978,2275,2275
1518956060,2273,2273
1518957143,2260,2260
1518958095,2251,2251
1518959068,2255,2255
1518960032,2262,2262
1518960992,2266,2266
1518961955,2275,2275
1518962999,2284,2284
1518964100,2278,2278
1518965073,2274,2274
1518966015,2270,2270
1518966987,2274,2274
1518967959,2274,2274
1518968919,2272,2272
1518969860,2267,2267
1518970817,2260,2260
1518972035,2251,2251
1518972995,2258,2258
1518973937,2260,2260
1518974891,2271,2271
1518975878,2274,2274
1518976843,2282,2282
1518977777,2280,2280
1518978741,2289,2289
1518979714,2286,2286
1518980662,2267,2267
1518981619,2263,2263
1518982595,2256,2256
1518983535,2263,2263
1518984491,2280,2280
1518985459,2283,2283
1518986419,2283,2283
1518987377,2290,2290
1518988350,2291,2291
1518989292,2300,2300
1518990281,2305,2305
1518991246,2290,2290
1518992208,2292,2292
1518993136,2300,2300
1518994099,2301,2301
1518996604,2292,2292
1518997696,2288,2288
1518998674,2286,2286
1518999617,2289,2289
1519000592,2287,2287
1519001537,2295,2295
1519002510,2282,2282
1519003457,2274,2274
1519004421,2266,2266
1519005379,2267,2267
1519006347,2270,2270
1519007293,2249,2249
1519008261,2247,2247
1519009234,2241,2241
1519010181,2241,2241
1519011135,2244,2244
1519012098,2240,2240
1519013065,2246,2246
1519014021,2242,2242
1519014982,2237,2237
1519015943,2248,2248
1519016907,2246,2246
1519017863,2250,2250
1519018814,2258,2258
1519019777,2260,2260
1519020737,2263,2263
1519021722,2252,2252
1519022661,2262,2262
1519023624,2284,2284
1519024581,2285,2285
1519025557,2283,2283
1519026492,2277,2277
1519027465,2279,2279
1519028421,2271,2271
1519029385,2273,2273
1519030338,2266,2266
1519031307,2276,2276
1519032254,2275,2275
1519033223,2280,2280
1519034190,2272,2272
1519035388,2271,2271
1519036334,2264,2264
1519037313,2276,2276
1519038506,2274,2274
1519039457,2273,2273
1519040424,2270,2270
1519041389,2276,2276
1519042462,2283,2283
1519043784,2281,2281
1519044743,2283,2283
1519045715,2260,2260
1519046905,2259,2259
1519047864,2261,2261
1519048820,2273,2273
1519049792,2273,2273
1519050744,2270,2270
1519051706,2267,2267
1519052658,2260,2260
1519053636,2263,2263
1519054579,2262,2262
1519055543,2274,2274
1519056509,2276,2276
1519057459,2286,2286
1519058659,2285,2285
1519059635,2285,2285
1519060582,2283,2283
1519061813,2291,2291
1519062733,2300,2300
1519063701,2300,2300
1519064681,2308,2308
1519065617,2301,2301
1519066571,2307,2307
1519067543,2310,2310
1519068492,2313,2313
1519069485,2314,2314
1519070421,2316,2316
1519071394,2317,2317
1519072337,2319,2319
1519074874,2316,2316
1519075946,2328,2328
1519076894,2329,2329
1519077865,2317,2317
1519078864,2317,2317
1519080028,2322,2322
1519080978,2332,2332
1519081937,2326,2326
1519083326,2322,2322
1519084349,2317,2317
1519085298,2318,2318
1519086521,2327,2327
1519087457,2332,2332
1519088420,2325,2325
1519089381,2326,2326
1519090355,2325,2325
1519091296,2324,2324
1519092268,2307,2307
1519093215,2302,2302
1519094194,2309,2309
1519095135,2313,2313
1519096107,2313,2313
1519097063,2303,2303
1519098287,2303,2303
1519099219,2304,2304
1519100193,2313,2313
1519101139,2329,2329
1519102118,2312,2312
1519103065,2313,2313
1519104023,2318,2318
1519104995,2323,2323
1519105968,2330,2330
1519106894,2324,2324
1519107855,2339,2339
1519108813,2341,2341
1519109805,2316,2316
1519110736,2318,2318
1519111692,2319,2319
1519112676,2312,2312
1519113648,2313,2313
1519114577,2311,2311
1519115535,2313,2313
1519116492,2320,2320
1519117479,2319,2319
1519118412,2311,2311
1519119375,2313,2313
1519120350,2313,2313
1519121303,2317,2317
1519122257,2327,2327
1519123217,2328,2328
1519124190,2323,2323
1519125163,2314,2314
1519126382,2317,2317
1519127291,2326,2326
1519128288,2321,2321
1519129507,2334,2334
1519130414,2324,2324
1519131377,2313,2313
1519132356,2317,2317
1519133320,2318,2318
1519134258,2320,2320
1519135219,2316,2316
1519136193,2315,2315
1519137158,2313,2313
1519138092,2319,2319
1519139066,2329,2329
1519140010,2318,2318
1519141004,2314,2314
1519141936,2321,2321
1519142898,2329,2329
1519143856,2326,2326
1519145084,2323,2323
1519146024,2329,2329
1519146987,2329,2329
1519147944,2330,2330
1519150142,2322,2322
1519151296,2317,2317
1519152265,2318,2318
1519153216,2326,2326
1519154196,2325,2325
1519155141,2321,2321
1519156103,2313,2313
1519157063,2322,2322
1519158288,2313,2313
1519159212,2320,2320
1519160176,2318,2318
1519161134,2314,2314
1519162218,2323,2323
1519163289,2329,2329
1519164274,2321,2321
1519165236,2317,2317
1519166423,2313,2313
1519167371,2311,2311
1519168357,2314,2314
1519169540,2314,2314
1519170757,2313,2313
1519171721,2312,2312
1519172660,2301,2301
1519173647,2291,2291
1519174574,2287,2287
1519175542,2285,2285
1519176495,2293,2293
1519177473,2291,2291
1519178427,2292,2292
1519179378,2288,2288
1519180338,2290,2290
1519181302,2289,2289
1519182268,2294,2294
1519183217,2297,2297
1519184195,2293,2293
1519185167,2289,2289
1519186098,2286,2286
1519187056,2293,2293
1519188019,2297,2297
1519188991,2293,2293
1519189946,2287,2287
1519190894,2281,2281
1519191887,2291,2291
1519192847,2293,2293
1519194033,2290,2290
1519194980,2308,2308
1519195954,2309,2309
1519196909,2309,2309
1519197862,2309,2309
1519198815,2316,2316
1519199784,2310,2310
1519200740,2308,2308
1519201695,2312,2312
1519202655,2310,2310
1519203651,2308,2308
1519204604,2317,2317
1519205788,2322,2322
1519206739,2327,2327
1519207715,2329,2329
1519208672,2330,2330
1519209619,2332,2332
1519210572,2327,2327
1519211554,2331,2331
1519212759,2329,2329
1519213475,2327,2327
1519213938,2330,2330
1519214441,2328,2328
1519214915,2325,2325
1519215410,2331,2331
1519215870,2332,2332
1519216601,2336,2336
1519217057,2341,2341
1519217563,2350,2350
1519218019,2354,2354
1519218523,2359,2359
1519218981,2352,2352
1519219481,2352,2352
1519219935,2345,2345
1519220679,2347,2347
1519221136,2335,2335
1519221658,2332,2332
1519222113,2338,2338
1519222596,2339,2339
1519223062,2343,2343
1519223553,2353,2353
1519224022,2359,2359
1519224851,2356,2356
1519225230,2349,2349
1519226189,2353,2353
1519227656,2358,2358
1519228595,2359,2359
1519229547,2360,2360
1519230492,2363,2363
1519231483,2371,2371
1519232668,2363,2363
1519233611,2372,2372
1519234581,2376,2376
1519235537,2375,2375
1519236767,2361,2361
1519237690,2364,2364
1519238654,2374,2374
1519239625,2377,2377
1519240847,2376,2376
1519241775,2384,2384
1519242742,2381,2381
1519243708,2379,2379
1519244918,2371,2371
1519245857,2376,2376
1519246820,2374,2374
1519247782,2372,2372
1519248743,2379,2379
1519249701,2387,2387
1519250660,2375,2375
1519251621,2384,2384
1519252847,2382,2382
1519253799,2378,2378
1519254738,2382,2382
1519255692,2386,2386
1519256920,2386,2386
1519258109,2379,2379
1519259061,2369,2369
1519260016,2371,2371
1519261227,2366,2366
1519262187,2366,2366
1519263141,2363,2363
1519264358,2347,2347
1519265294,2345,2345
1519266256,2337,2337
1519267219,2335,2335
1519268452,2338,2338
1519269376,2336,2336
1519270339,2334,2334
1519271294,2323,2323
1519272287,2325,2325
1519273217,2324,2324
1519274173,2329,2329
1519275153,2330,2330
1519276122,2332,2332
1519277057,2331,2331
1519278014,2323,2323
1519278970,2326,2326
1519280305,2343,2343
1519281381,2343,2343
1519282342,2339,2339
1519283303,2342,2342
1519284496,2353,2353
1519285467,2351,2351
1519286425,2350,2350
1519287644,2352,2352
1519288574,2362,2362
1519289544,2370,2370
1519290504,2378,2378
1519291719,2379,2379
1519292659,2375,2375
1519293647,2376,2376
1519294580,2364,2364
1519295548,2356,2356
1519296498,2358,2358
1519297487,2352,2352
1519298411,2352,2352
