DateTime,AddedIPs,RemovedIPs
1518791061,70,45
1518792029,71,22
1518793033,161,14
1518793964,0,19
1518795138,0,15
1518796892,2,24
1518798290,1,17
1518799247,0,29
1518800228,0,19
1518801145,2,0
1518802160,1,46
1518803064,0,18
1518804302,2,15
1518805263,3,11
1518806227,2,9
1518807386,2,29
1518808352,1,19
1518809356,2,10
1518810292,2,30
1518811580,1,11
1518812664,3,20
1518813613,0,32
1518814644,3,29
1518815800,2,14
1518816774,3,32
1518817720,3,25
1518818708,0,1205
1518819644,0,25
1518820599,1,27
1518821545,1,13
1518822786,2,28
1518824228,3,47
1518825414,2,17
1518826350,0,23
1518827330,2,10
1518828275,3,10
1518829231,0,25
1518830239,0,8
1518831161,10,18
1518832109,8,22
1518833071,1,22
1518834309,0,19
1518835249,3,11
1518836173,2,5
1518837172,1,20
1518838348,3,61
1518839346,2,0
1518840261,3,12
1518841221,4,14
1518842186,4,19
1518843154,5,32
1518844111,5,20
1518845056,27,14
1518846012,0,26
1518846974,0,23
1518847940,0,28
1518848896,0,24
1518849857,0,18
1518850830,5,11
1518851782,2,34
1518852743,1,16
1518853700,1,10
1518854673,4,13
1518855622,127,23
1518856580,99,18
1518857537,95,13
1518858504,25,17
1518859456,37,21
1518860417,68,15
1518861379,66,21
1518862340,80,15
1518863307,52,23
1518864273,81,47
1518865458,90,10
1518866419,64,34
1518867385,99,0
1518868334,71,7
1518869419,88,24
1518870523,118,69
1518871476,106,18
1518872443,104,29
1518873620,8,74
1518874576,5,0
1518875535,25,0
1518877002,83,0
1518877958,26,0
1518878916,25,0
1518879861,35,0
1518882540,69,0
1518883460,29,0
1518884421,33,21
1518885393,30,7
1518886369,27,21
1518887297,16,33
1518888260,38,19
1518889219,17,42
1518890461,24,31
1518891375,12,0
1518892349,20,53
1518893556,33,29
1518894533,36,27
1518895455,38,17
1518896420,19,17
1518897401,36,18
1518898476,30,14
1518899533,23,25
1518900496,35,22
1518901468,7,21
1518902659,0,32
1518903613,0,31
1518904578,0,1161
1518905534,82,21
1518906751,34,7
1518907692,18,23
1518908664,31,32
1518909878,10,30
1518910946,37,0
1518912279,56,56
1518913217,12,21
1518914185,13,14
1518915139,15,26
1518916110,19,17
1518917054,9,0
1518918258,5,35
1518919222,0,29
1518920177,57,19
1518921398,29,18
1518922334,22,0
1518923308,11,24
1518924258,12,32
1518925479,5,39
1518926424,64,0
1518927391,72,24
1518928339,14,14
1518929306,13,13
1518930261,34,19
1518931217,22,0
1518932175,24,25
1518933156,15,19
1518934096,16,0
1518935054,25,13
1518936258,41,28
1518937484,26,20
1518938411,1,24
1518939373,1,23
1518940354,5,0
1518941322,65,21
1518942260,31,26
1518943215,13,0
1518944182,18,26
1518945405,5,13
1518946340,23,13
1518948297,33,29
1518949232,14,13
1518950178,13,15
1518951137,20,16
1518952116,7,6
1518953061,28,17
1518954020,11,12
1518954978,11,24
1518956060,15,18
1518957143,19,14
1518958095,14,29
1518959068,17,5
1518960032,8,15
1518960992,30,26
1518961955,28,0
1518962999,28,23
1518964100,22,14
1518965073,22,24
1518966015,16,27
1518966987,5,25
1518967959,3,15
1518968919,2,14
1518969860,43,17
1518970817,44,31
1518972035,16,17
1518972995,39,24
1518973937,9,15
1518974891,44,17
1518975878,33,11
1518976843,17,24
1518977777,15,18
1518978741,20,14
1518979714,23,34
1518980662,25,26
1518981619,11,15
1518982595,3,25
1518983535,48,20
1518984491,35,12
1518985459,13,26
1518986419,26,23
1518987377,12,19
1518988350,8,17
1518990281,2,25
1518991246,68,958
1518992208,21,20
1518993136,24,0
1518994099,26,27
1518996604,17,54
1518997696,59,21
1518998674,20,16
1518999617,11,17
1519000592,14,17
1519001537,27,11
1519002510,11,18
1519003457,22,12
1519004421,32,13
1519005379,16,25
1519006347,23,31
1519007293,9,20
1519008261,23,12
1519009234,20,12
1519010181,0,22
1519011135,6,10
1519012098,38,10
1519013065,43,22
1519014021,11,5
1519014982,15,17
1519015943,25,0
1519016907,15,35
1519017863,35,0
1519018814,17,12
1519019777,15,16
1519020737,15,7
1519021722,18,14
1519022661,26,23
1519023624,20,16
1519024581,4,19
1519025557,1,14
1519026492,59,12
1519027465,20,6
1519028421,9,18
1519029385,11,19
1519030338,23,17
1519031307,16,23
1519032254,7,9
1519033223,1,15
1519034190,50,0
1519035388,20,28
1519036334,19,27
1519037313,29,0
1519038506,25,37
1519039457,4,0
1519040424,6,25
1519041389,11,0
1519042462,55,23
1519043784,38,29
1519044743,37,14
1519045715,15,19
1519046905,4,14
1519047864,30,14
1519048820,44,15
1519049792,14,12
1519050744,30,18
1519051706,31,20
1519052658,13,16
1519053636,15,21
1519054579,23,13
1519055543,82,15
1519056509,31,10
1519057459,29,1
1519058659,48,26
1519059635,23,5
1519060582,8,17
1519061813,3,12
1519062733,5,14
1519063701,2,8
1519064681,82,14
1519065617,56,18
1519066571,36,10
1519067543,3,19
1519068492,38,23
1519069485,31,8
1519070421,30,17
1519071394,22,13
1519072337,33,16
1519074874,38,42
1519075946,0,15
1519076894,7,16
1519077865,78,1017
1519078864,18,13
1519080028,31,19
1519080978,23,24
1519081937,22,19
1519083326,30,24
1519084349,27,13
1519085298,21,19
1519086521,21,28
1519087457,14,0
1519088420,18,44
1519089381,23,0
1519090355,19,22
1519091296,28,0
1519092268,27,36
1519093215,16,0
1519094194,20,12
1519095135,8,37
1519096107,14,14
1519097063,31,0
1519098287,43,30
1519099219,19,25
1519100193,17,12
1519101139,22,20
1519102118,19,8
1519103065,18,18
1519104023,22,22
1519104995,22,20
1519105968,19,9
1519106894,26,16
1519107855,21,13
1519108813,17,14
1519109805,27,12
1519110736,126,13
1519111692,33,11
1519112676,32,15
1519113648,31,19
1519114577,17,15
1519115535,18,11
1519116492,17,10
1519117479,13,8
1519118412,13,10
1519119375,14,15
1519120350,14,14
1519121303,20,22
1519122257,23,19
1519123217,10,0
1519124190,18,9
1519125163,8,34
1519126382,30,13
1519127291,11,14
1519128288,31,12
1519129507,26,13
1519130414,23,15
1519131377,33,4
1519132356,6,14
1519133320,37,8
1519134258,23,7
1519135219,32,17
1519136193,30,11
1519137158,24,14
1519138092,27,20
1519139066,12,11
1519140010,22,11
1519141004,36,4
1519141936,25,17
1519142898,19,15
1519143856,29,11
1519145084,21,15
1519146024,32,29
1519146987,16,17
1519147944,25,17
1519150142,44,48
1519151296,26,38
1519152265,21,21
1519153216,20,0
1519154196,30,50
1519155141,30,12
1519156103,23,0
1519157063,30,25
1519158288,40,4
1519159212,15,16
1519160176,30,16
1519161134,19,16
1519162218,0,14
1519163289,3,16
1519164274,85,906
1519165236,20,15
1519166423,35,11
1519167371,31,7
1519168357,36,11
1519169540,27,16
1519170757,25,16
1519171721,37,22
1519172660,31,0
1519173647,18,24
1519174574,27,0
1519175542,16,10
1519176495,14,5
