DateTime,Entries,UniqueIPs
1519047616,98207,99215
1519048215,98209,99217
1519048817,98211,99219
1519049115,98214,99222
1519049715,98218,99226
1519050315,98220,99228
1519050615,98221,99229
1519051217,98225,99233
1519051516,98229,99237
1519052116,98263,99271
1519052417,98267,99275
1519052716,98269,99277
1519053315,98272,99280
1519053616,98274,99282
1519053917,98275,99283
1519054216,98277,99285
1519054516,98279,99287
1519054816,98280,99288
1519055415,98288,99296
1519056019,98295,99303
1519056315,98296,99304
1519056916,98301,99309
1519058115,98305,99313
1519058417,98306,99314
1519059016,98308,99316
1519059618,98310,99318
1519059916,98316,99324
1519060216,98320,99328
1519060515,98322,99330
1519060817,98326,99334
1519061416,98330,99338
1519061715,98331,99339
1519062016,98333,99341
1519062317,98336,99344
1519062617,98338,99346
1519062917,98341,99349
1519063216,98345,99353
1519063515,98349,99357
1519063816,98356,99364
1519064115,98361,99369
1519064417,98369,99377
1519065014,98379,99387
1519065317,98380,99388
1519065616,98384,99393
1519065916,98386,99395
1519066217,98388,99397
1519066515,98397,99406
1519067117,98405,99414
1519067416,98407,99416
1519068017,98409,99418
1519068317,98410,99419
1519068617,98411,99420
1519069216,98414,99423
1519069816,98416,99425
1519070116,98420,99429
1519070418,98421,99430
1519070715,98423,99432
1519071316,98425,99434
1519071616,98425,99434
1519071915,98426,99435
1519072216,98427,99436
1519074317,98432,99441
1519074918,98434,99443
1519075216,98437,99446
1519075816,98440,99449
1519076416,98442,99451
1519076717,98443,99452
1519077315,98445,99454
1519078216,98448,99457
1519078817,98454,99463
1519079115,98456,99465
1519079417,98457,99466
1519080017,98458,99467
1519080315,98465,99475
1519080916,98478,99488
1519081224,98942,99958
1519081515,98945,99961
1519082417,98956,99972
1519083316,98967,99983
1519083616,98972,99988
1519084215,98979,99995
1519084817,98980,99996
1519086016,98982,99998
1519086316,98983,99999
1519086916,98988,100004
1519087815,98991,100007
1519088116,98993,100009
1519088418,98994,100010
1519089016,98996,100012
1519089918,98999,100017
1519090216,99007,100025
1519090818,99014,100033
1519091117,99029,100049
1519091416,99038,100058
1519091716,99042,100062
1519092018,99045,100065
1519092616,99047,100067
1519092916,99054,100074
1519093217,99058,100078
1519093816,99059,100079
1519094416,99060,100080
1519095617,99061,100081
1519096516,99062,100082
1519096816,99064,100084
1519098017,99067,100087
1519098616,99069,100089
1519098915,99070,100090
1519099217,99073,100093
1519100416,99074,100094
1519101317,99076,100096
1519101616,99077,100097
1519101916,99083,100103
1519102516,99101,100121
1519102818,99110,100130
1519103415,99120,100140
1519104016,99127,100147
1519104316,99130,100151
1519104615,99132,100153
1519104915,99135,100156
1519105516,99137,100158
1519106417,99139,100160
1519106716,99141,100162
1519107016,99144,100165
1519107616,99145,100166
1519108216,99151,100172
1519108817,99152,100173
1519109715,99153,100174
1519110017,99157,100178
1519110316,99161,100182
1519110616,99168,100189
1519111216,99187,100210
1519111518,99203,100226
1519111817,99210,100233
1519112120,99218,100241
1519112418,99222,100245
1519113015,99236,100259
1519113619,99247,100271
1519113916,99249,100273
1519114515,99251,100275
1519115416,99252,100276
1519116016,99255,100279
1519116326,99260,100284
1519116616,99261,100285
1519116915,99266,100290
1519117217,99268,100292
1519117516,99270,100294
1519118115,99271,100295
1519118417,99272,100296
1519118715,99274,100298
1519119016,99278,100303
1519119314,99284,100310
1519119615,99292,100318
1519119916,99298,100325
1519120215,99309,100336
1519120819,99326,100353
1519121116,99333,100360
1519121715,99348,100375
1519122017,99351,100378
1519122615,99356,100383
1519122915,99357,100384
1519123216,99359,100386
1519123516,99360,100387
1519123815,99361,100388
1519124115,99363,100390
1519124715,99364,100391
1519125316,99368,100395
1519125918,99369,100396
1519126816,99374,100402
1519127116,99381,100410
1519127415,99388,100417
1519127715,99392,100421
1519128017,99397,100426
1519128916,99418,100448
1519129518,99424,100457
1519129816,99430,100463
1519130117,99437,100470
1519130416,99441,100474
1519130716,99443,100476
1519131018,99444,100477
1519131916,99451,100484
1519132816,99453,100486
1519133114,99454,100487
1519133715,99458,100491
1519134016,99460,100493
1519134318,99464,100497
1519134616,99466,100499
1519134916,99468,100501
1519135217,99470,100503
1519136116,99474,100507
1519136716,99479,100512
1519137017,99483,100516
1519137616,99487,100520
1519138216,99489,100522
1519138515,99490,100523
1519138816,99493,100526
1519139419,99499,100532
1519139716,99502,100535
1519140017,99507,100541
1519140615,99511,100545
1519141516,99512,100546
1519141816,99515,100549
1519142416,99518,100552
1519142716,99519,100553
1519143315,99523,100557
1519143619,99525,100559
1519144515,99539,100573
1519144816,99543,100577
1519145416,99554,100588
1519145715,99561,100595
1519146016,99567,100602
1519146317,99576,100611
1519146918,99585,100621
1519147216,99591,100627
1519147815,99602,100638
1519149617,99610,100646
1519149917,99611,100647
1519150816,99617,100653
1519151116,99618,100654
1519151715,99623,100659
1519152016,99628,100664
1519152615,99637,100673
1519152915,99640,100676
1519153217,99647,100683
1519153815,99661,100698
1519154116,99666,100703
1519154417,99672,100709
1519155016,99682,100719
1519155616,99687,100725
1519155916,99688,100726
1519156515,99692,100730
1519156818,99694,100732
1519157715,99699,100737
1519158016,99701,100739
1519158617,99702,100740
1519158915,99703,100741
1519159217,99704,100742
1519159516,99705,100743
1519159815,99707,100745
1519160417,99709,100747
1519161015,99711,100749
1519161615,99716,100754
1519162215,99723,100762
1519162516,99729,100768
1519162816,99736,100775
1519163117,99739,100778
1519163417,99740,100779
1519163716,99744,100783
1519164016,99745,100784
1519164616,99751,100790
1519165516,99753,100793
1519165818,99753,100793
1519166417,99755,100795
1519167016,99760,100800
1519167315,99762,100802
1519167916,99763,100803
1519168816,99764,100804
1519169115,99765,100805
1519170319,99766,100806
1519171217,99769,100809
1519171534,99775,100815
1519172116,99777,100817
1519172417,99782,100822
1519173315,99789,100829
1519173617,99790,100830
1519174215,99793,100833
1519174515,99796,100837
1519174818,99798,100839
1519176014,99799,100840
1519176319,99806,100847
1519176916,99808,100849
1519177216,99809,100850
1519178115,99810,100851
1519178417,99813,100854
1519178715,99815,100856
1519179315,99818,100859
1519179616,99822,100863
1519179917,99827,100868
1519180216,99833,100875
1519181115,99844,100886
1519181715,99851,100893
1519182016,99853,100896
1519182615,99861,100904
1519182915,99863,100906
1519183515,99864,100907
1519184115,99865,100908
1519184716,99866,100909
1519185617,99867,100910
1519185916,99868,100911
1519186216,99869,100912
1519187415,99871,100914
1519188016,99874,100918
1519188616,99880,100924
1519188915,99883,100927
1519189218,99885,100929
1519189516,99888,100932
1519189815,99889,100933
1519190417,99893,100938
1519190716,99898,100943
1519191016,99899,100944
1519191617,99900,100945
1519192216,99903,100948
1519192817,99906,100951
1519193415,99907,100952
1519194017,99908,100953
1519194915,99911,100956
1519195216,99913,100958
1519195816,99915,100960
1519196415,99918,100963
1519197017,99925,100971
1519197317,99930,100976
1519197617,99932,100978
1519198216,99933,100979
1519198515,99937,100983
1519198818,99939,100985
1519199115,99940,100986
1519199716,99946,100992
1519200315,99947,100993
1519200615,99948,100994
