DateTime,AddedIPs,RemovedIPs
1518849397,13,0
1518849857,0,13
1518850359,17,3
1518850830,8,10
1518851318,13,0
1518851782,2,28
1518852283,12,0
1518852743,0,13
1518853231,9,1
1518853700,1,10
1518854203,2,0
1518854673,7,9
1518855153,7,0
1518855622,113,35
1518856123,5,0
1518856580,92,18
1518857073,11,0
1518857537,80,20
1518858043,10,0
1518858504,25,15
1518858995,8,0
1518859456,40,16
1518859971,13,0
1518860417,58,17
1518860912,8,0
1518861379,63,21
1518861883,16,2
1518862340,69,21
1518862813,1,0
1518863307,52,21
1518864273,67,46
1518864998,21,0
1518865458,70,10
1518865961,9,1
1518866419,55,35
1518866913,2,0
1518867385,73,3
1518867885,3,0
1518868334,51,11
1518868840,7,0
1518869419,58,25
1518869806,8,0
1518870523,76,66
1518870981,13,0
1518871476,66,20
1518871946,3,1
1518872443,67,37
1518873160,3,4
1518873620,7,65
1518874118,6,0
1518874576,5,0
1518875078,1,0
1518875535,24,0
1518876267,5,0
1518877002,58,6
1518877457,11,0
1518877958,14,0
1518878435,7,0
1518878916,17,0
1518879375,6,0
1518879861,27,8
1518880360,5,0
1518882540,62,3
1518883460,28,0
1518884421,25,22
1518885393,32,6
1518886369,27,24
1518887297,13,32
1518888260,1324,983
1518889219,32,38
1518890461,35,23
1518891130,16,0
1518891375,8,0
1518892349,16,58
1518893556,31,30
1518894533,43,22
1518895455,32,18
1518896420,22,19
1518897401,29,17
1518898476,22,10
1518899533,26,26
1518900496,37,21
1518901468,12,19
1518902659,32,66
1518903613,9,24
1518904578,13,875
1518905534,55,26
1518906751,47,36
1518907692,13,18
1518908664,29,34
1518909878,22,24
1518910946,30,3
1518911778,20,30
1518912279,50,43
1518913217,9,15
1518914185,7,13
1518915139,14,19
1518916110,35,19
1518917054,16,0
1518918258,12,37
1518919222,8,29
1518920177,46,22
1518921398,28,18
1518922334,19,0
1518923308,28,19
1518924258,14,27
1518925479,12,28
1518926424,37,0
1518927391,131,129
1518928339,12,14
1518929306,8,17
1518930261,36,17
1518931217,30,3
1518932175,27,24
1518933156,14,20
1518934096,15,3
1518935054,31,15
1518936258,41,22
1518937484,23,18
1518938411,5,20
1518939373,8,18
1518940354,9,0
1518941322,52,20
1518942260,24,28
1518943215,7,0
1518944182,15,26
1518945405,7,9
1518946340,14,14
1518948297,29,31
1518949232,8,12
1518950178,17,14
1518951137,25,13
1518952116,9,9
1518953061,22,19
1518954020,15,8
1518954978,9,19
1518956060,13,14
1518957143,13,11
1518958095,8,23
1518959068,15,2
1518960032,22,13
1518960992,28,28
1518961955,29,9
1518962999,26,23
1518964100,26,14
1518965073,23,16
1518966015,15,17
1518966987,16,20
1518967959,7,11
1518968919,3,13
1518969860,35,17
1518970817,38,26
1518972035,9,12
1518972995,39,20
1518973937,11,20
1518974891,755,2089
1518975878,28,11
1518976843,23,24
1518977777,9,19
1518978741,18,11
1518979212,31,48
1518979714,16,24
1518980662,14,20
1518981619,17,11
1518982595,5,30
1518983535,37,20
1518984491,25,12
1518985459,10,24
1518986419,29,23
1518987377,18,16
1518988350,9,19
1518989292,2,0
1518990281,20,18
1518990735,27,27
1518991246,81,750
1518992208,21,18
1518993136,23,0
1518994099,24,25
1518994578,29,32
1518996604,26,46
1518997696,50,24
1518998674,49,37
1518999617,10,14
1519000592,9,21
1519001537,26,8
1519002510,17,15
1519003457,24,10
1519004421,25,13
1519005379,13,23
1519006347,20,31
1519007293,12,19
1519008261,22,14
1519009234,20,9
1519010181,7,18
1519011135,12,6
1519012098,30,14
1519013065,35,23
1519014021,89,51
1519014982,10,12
1519015943,27,3
1519016907,30,34
1519017863,28,0
1519018814,27,10
1519019777,17,14
1519020737,16,5
1519021722,11,17
1519022661,33,22
1519023624,41,12
1519024581,13,15
1519025557,5,11
1519026492,53,8
1519027465,27,10
1519028421,7,18
1519029385,14,18
1519030338,22,15
1519031307,26,23
1519032254,16,12
1519033223,7,21
1519034190,44,0
1519035388,20,28
1519036334,11,26
1519037313,34,0
1519038506,31,39
1519039457,6,0
1519040424,7,21
1519041389,14,3
1519042462,36,22
1519043784,38,30
1519044743,34,12
1519045715,12,17
1519046905,14,12
1519047864,32,12
1519048820,35,15
1519049792,19,10
1519050744,22,23
1519051706,25,36
1519052658,11,12
1519053636,23,21
1519054579,31,9
1519055543,63,15
1519056509,28,9
1519057459,28,1
1519058659,35,25
1519059635,23,4
1519060582,1096,1329
1519061813,13,13
1519062733,6,13
1519063701,5,5
1519064170,33,14
1519064681,81,10
1519065617,43,13
1519066571,36,12
1519067543,8,21
1519068492,31,21
1519069485,32,8
1519070421,26,19
1519071394,21,11
1519072337,31,25
1519074874,43,38
1519075946,41,14
1519076894,10,13
1519077865,72,747
1519078864,17,9
1519080028,67,46
1519080978,30,18
1519081937,21,18
1519083326,27,19
1519083863,27,20
1519084349,32,11
1519085298,18,17
1519086521,22,27
1519087457,15,0
1519088420,20,36
1519089381,30,0
1519090355,18,23
1519091296,25,0
1519092268,20,29
1519093215,17,0
1519094194,23,8
1519095135,15,24
1519096107,12,11
1519097063,24,0
1519098287,41,27
1519099219,21,20
1519100193,304,94
1519101139,28,21
1519102118,25,8
1519103065,19,16
1519104023,28,22
1519104995,24,22
1519105968,20,7
1519106894,26,13
1519107855,27,12
1519108813,15,15
1519109805,24,14
1519110736,107,35
1519111692,26,10
1519112676,23,13
1519113648,32,17
1519114577,11,11
1519115535,17,8
1519116492,17,11
1519117479,14,9
1519118412,13,8
1519119375,17,13
1519120350,14,12
1519121303,27,21
1519122257,26,16
1519123217,16,0
1519124190,28,10
1519125163,5,31
1519126382,28,12
1519127291,14,14
1519128288,24,13
1519129507,28,17
1519130414,17,13
1519131377,25,4
1519132356,9,12
1519133320,31,9
1519134258,21,8
1519135219,29,20
1519136193,22,13
1519137158,26,16
1519138092,23,23
1519139066,14,9
1519140010,11,10
1519141004,35,3
1519141936,35,16
1519142898,16,16
1519143856,24,12
1519145084,21,13
1519146024,28,30
1519146987,1225,1368
1519147944,28,14
1519150142,36,48
1519150820,36,19
1519151296,29,33
1519152265,24,21
1519153216,24,0
1519154196,37,37
1519155141,26,16
1519156103,17,0
1519157063,36,23
1519158288,33,4
1519159212,17,14
1519160176,31,15
1519161134,19,15
1519162218,4,12
1519162576,31,52
1519163289,9,15
1519164274,85,707
1519165236,22,14
1519166423,64,46
1519167371,23,5
1519168357,35,13
1519169540,22,16
1519170757,49,39
1519171721,30,19
1519172660,24,2
1519173647,21,20
1519174574,25,2
1519175542,13,13
1519176495,17,6
1519177473,31,18
1519178427,27,10
1519179378,17,1
1519180338,30,17
1519181302,22,17
1519182268,21,18
1519183217,24,24
1519184195,22,17
1519185167,16,15
1519186098,27,17
1519187056,211,98
1519188019,14,17
1519188991,22,11
1519189946,30,0
1519190894,21,13
1519191887,25,44
1519192847,23,14
1519194033,21,5
1519194980,47,19
1519195954,31,25
1519196909,19,23
1519197862,30,21
1519198815,28,5
1519199784,19,12
1519200740,24,10
1519201695,23,19
1519202655,24,24
1519203651,27,11
1519204604,13,16
