DateTime,Entries,UniqueIPs
1518849397,248019,280648
1518849857,248007,280635
1518850359,248021,280649
1518850830,248014,280647
1518851318,248027,280660
1518851782,248012,280634
1518852283,248024,280646
1518852743,248017,280633
1518853231,248024,280641
1518853700,248017,280632
1518854203,248019,280634
1518854673,248016,280632
1518855153,248023,280639
1518855622,248084,280717
1518856123,248089,280722
1518856580,248153,280796
1518857073,248163,280807
1518857537,248217,280867
1518858043,248226,280877
1518858504,248235,280887
1518858995,248243,280895
1518859456,248261,280919
1518859971,248274,280932
1518860417,248311,280973
1518860912,248318,280981
1518861379,248359,281023
1518861883,248373,281037
1518862340,248410,281085
1518862813,248410,281086
1518863307,248430,281117
1518864273,248455,281138
1518864998,248474,281159
1518865458,248531,281219
1518865961,248539,281227
1518866419,248552,281247
1518866913,248554,281249
1518867385,248609,281319
1518867885,248612,281322
1518868334,248651,281362
1518868840,248658,281369
1518869419,248691,281402
1518869806,248699,281410
1518870523,248713,281420
1518870981,248726,281433
1518871476,248767,281479
1518871946,248769,281481
1518872443,248800,281511
1518873160,248799,281510
1518873620,248762,281452
1518874118,248768,281458
1518874576,248773,281463
1518875078,248774,281464
1518875535,248789,281488
1518876267,248793,281493
1518877002,248844,281545
1518877457,248855,281556
1518877958,248869,281570
1518878435,248875,281577
1518878916,248890,281594
1518879375,248896,281600
1518879861,248912,281619
1518880360,248916,281624
1518882540,248971,281683
1518883460,248993,281711
1518884421,248995,281714
1518885393,249019,281740
1518886369,249034,281743
1518887297,249024,281724
1518888260,249370,282065
1518889219,249358,282059
1518890461,249372,282071
1518891130,249388,282087
1518891375,249395,282095
1518892349,249378,282053
1518893556,249389,282054
1518894533,249401,282075
1518895455,249415,282089
1518896420,249421,282092
1518897401,249435,282104
1518898476,249442,282116
1518899533,249444,282116
1518900496,249465,282132
1518901468,249460,282125
1518902659,249436,282091
1518903613,249422,282076
1518904578,248619,281214
1518905534,248652,281243
1518906751,248667,281254
1518907692,248662,281249
1518908664,248670,281244
1518909878,248668,281242
1518910946,248693,281269
1518911778,248684,281259
1518912279,248701,281266
1518913217,248693,281260
1518914185,248690,281254
1518915139,248688,281249
1518916110,248705,281265
1518917054,248714,281281
1518918258,248702,281256
1518919222,248699,281235
1518920177,248716,281259
1518921398,248727,281269
1518922334,248744,281288
1518923308,248759,281297
1518924258,248756,281284
1518925479,248749,281268
1518926424,248780,281305
1518927391,248773,281307
1518928339,248774,281305
1518929306,248774,281296
1518930261,248790,281315
1518931217,248814,281342
1518932175,248823,281345
1518933156,248818,281339
1518934096,248830,281351
1518935054,248845,281367
1518936258,248871,281386
1518937484,248880,281391
1518938411,248870,281376
1518939373,248860,281366
1518940354,248869,281375
1518941322,248899,281407
1518942260,248906,281403
1518943215,248911,281410
1518944182,248901,281399
1518945405,248896,281397
1518946340,248900,281397
1518948297,248898,281395
1518949232,248901,281391
1518950178,248909,281394
1518951137,248915,281406
1518952116,248923,281406
1518953061,248928,281409
