DateTime,AddedIPs,RemovedIPs
1518297389,25,17
1518299775,14,25
1518301699,20,32
1518303629,40,64
1518305972,25,31
1518307967,23,14
1518309868,17,20
1518311796,507,0
1518313709,13,11
1518315864,20,13
1518317786,17,17
1518319708,18,11
1518321630,22,38
1518323792,10,18
1518325711,17,15
1518327868,18,15
1518329792,21,13
1518331945,17,18
1518333863,16,21
1518335777,17,28
1518337943,33,70
1518339873,22,16
1518341788,18,24
1518343713,19,32
1518345625,7,26
1518347554,17,37
1518349467,26,31
1518351550,43,1091
1518353773,25,32
1518355956,462,0
1518358101,24,17
1518360011,21,20
1518362440,36,11
1518364336,20,18
1518366263,32,13
1518368171,22,15
1518370099,26,12
1518372032,56,21
1518374193,28,10
1518376103,23,12
1518378022,29,10
1518379946,19,28
1518382113,30,20
1518384028,31,16
1518385939,29,18
1518387858,25,17
1518390036,69,54
1518392243,36,18
1518394122,26,24
1518396026,35,31
1518398186,409,0
1518400098,30,21
1518402030,36,13
1518403947,26,16
1518405869,25,10
1518407773,24,13
1518409698,20,9
1518411635,51,23
1518413785,28,9
1518415712,35,10
1518417855,25,9
1518419796,19,11
1518421939,33,10
1518423869,27,26
1518425768,21,15
1518427949,41,31
1518429862,19,16
1518431782,32,30
1518433944,32,19
1518435865,46,16
1518437698,36,952
1518439696,41,18
1518441609,455,0
1518443530,33,18
1518445453,41,19
1518447372,22,21
1518449299,43,18
1518451216,75,23
1518453142,20,10
1518455063,28,18
1518456975,30,19
1518458918,22,14
1518460821,21,22
1518462750,29,16
1518464672,31,12
1518466589,32,19
1518468520,29,15
1518470423,23,26
1518472585,23,14
1518474505,46,17
1518476445,61,26
1518478754,44,26
1518480738,32,43
1518482654,19,18
1518484586,414,0
1518486510,19,14
1518488423,9,17
1518490334,27,17
1518492264,23,16
1518494171,19,12
1518496111,16,11
1518498036,36,25
1518499947,19,15
1518501860,15,11
1518504026,19,17
1518505944,17,14
1518507870,38,11
1518509799,25,21
1518511697,37,14
1518513628,24,26
1518515544,30,14
1518517468,177,19
1518519379,21,6
1518521548,85,43
1518523480,50,1366
1518526686,58,44
1518528491,746,0
1518530669,98,69
1518532580,49,27
1518534508,53,19
1518536413,44,27
1518538348,40,17
1518540256,56,31
1518542201,48,30
1518544105,45,27
1518546022,48,33
1518547939,32,25
1518549865,15,22
1518551781,24,26
1518553704,15,27
1518555627,61,39
1518557785,25,24
1518559696,30,16
1518561875,29,25
1518563787,30,36
1518566346,55,58
1518568961,47,73
1518570975,632,0
1518572897,16,33
1518574819,24,27
1518578212,50,43
1518580101,30,20
1518582041,22,14
1518583937,23,31
1518586119,15,19
1518588036,27,57
1518590018,25,22
1518592113,25,20
1518594258,26,24
1518596211,24,26
1518598339,25,22
1518600260,28,16
1518602176,28,22
1518604177,28,14
1518606031,53,59
1518607950,20,45
1518609879,30,1510
1518612018,27,60
1518614030,746,0
1518615873,29,26
1518618036,31,10
1518619939,36,28
1518621864,26,26
1518624038,58,37
1518626194,27,26
1518628114,28,14
1518630021,26,26
1518631956,30,18
1518633857,25,17
1518635800,19,22
1518637964,24,37
1518639876,34,28
1518641771,20,44
1518643949,53,63
1518645865,181,26
1518647782,261,24
1518649951,85,31
1518651868,21,55
1518653799,27,58
1518655714,17,57
1518657863,639,0
1518660039,24,28
1518662191,9,24
1518664125,16,25
1518666269,13,14
1518668201,12,17
1518670362,13,23
1518672270,13,11
1518674439,392,37
1518676350,169,16
1518678512,159,20
1518680428,157,35
1518682354,175,25
1518684262,59,43
1518686195,9,29
1518688112,13,27
1518690264,26,26
1518692188,17,22
1518694095,20,31
1518696041,32,1690
1518698182,30,23
1518700112,637,0
1518702038,34,20
1518703945,31,28
1518705860,30,20
1518707816,25,34
1518709704,16,35
1518711686,38,22
1518713542,216,23
1518715684,182,19
1518717865,304,35
1518720026,145,24
1518722183,152,31
1518724588,100,31
1518726490,31,20
1518728437,54,60
1518730339,26,34
1518732512,32,34
1518734410,27,27
1518736845,27,31
1518738737,27,21
1518740907,30,33
1518742829,1159,1
1518744757,29,20
1518746665,25,26
1518748586,20,18
1518750502,23,29
1518752673,177,33
1518754587,155,21
1518756506,155,20
1518758655,135,19
1518760572,133,17
1518762494,148,17
1518764431,68,23
1518766394,104,58
1518770188,47,47
1518772124,22,28
1518774025,125,31
1518775950,131,32
1518777859,155,26
1518780289,145,31
1518782176,116,21
1518784119,158,1640
1518786042,788,0
1518788189,42,57
1518790351,41,64
1518792502,28,71
1518794669,27,76
1518796839,38,38
1518798741,167,15
1518800678,117,16
1518802592,31,11
1518804752,26,18
1518806668,30,15
1518808583,21,10
1518810753,18,11
1518812661,20,22
1518814632,32,12
1518816772,45,22
1518818669,26,30
1518820597,24,15
1518822752,20,28
1518824849,30,75
1518826822,35,63
1518828746,21,80
1518830655,738,0
1518832583,23,51
1518834750,47,128
1518836680,24,69
1518838825,131,22
1518840762,133,11
1518842665,162,12
1518844596,151,14
1518846512,167,11
1518848431,157,16
1518850346,40,13
1518852271,31,9
1518854190,27,11
1518856109,31,21
1518858030,51,22
1518859955,152,12
1518861871,121,28
1518863784,159,14
1518865948,154,25
1518867872,138,63
1518869793,155,2622
1518871944,64,26
1518874106,1380,0
1518876263,101,83
1518878433,28,18
1518880348,15,23
1518882525,29,19
1518884417,36,18
1518886354,206,95
1518888256,185,82
1518890445,358,189
1518892343,194,83
1518894518,226,105
1518896414,28,41
1518898354,29,18
1518900256,30,21
1518902197,35,21
1518904111,26,19
1518906275,33,13
1518908184,23,27
1518910924,46,137
1518912750,25,88
1518914663,25,23
1518916591,1063,0
1518918747,15,45
1518920651,27,23
1518922827,50,37
1518924744,161,17
1518926916,158,16
