DateTime,AddedIPs,RemovedIPs
1518843602,343,423
1518844502,346,515
1518845402,340,492
1518846302,302,447
1518847201,265,468
1518848102,330,473
1518849002,390,376
1518849902,320,378
1518850803,328,438
1518851702,387,368
1518852603,365,377
1518853502,297,377
1518854402,337,324
1518855302,450,369
1518856202,415,395
1518857102,408,371
1518858002,348,358
1518858902,314,360
1518859802,355,422
1518860703,249,346
1518861602,259,324
1518862502,350,324
1518863403,398,299
1518864302,311,367
1518865203,377,345
1518866102,350,381
1518867002,356,419
1518867901,292,323
1518868802,429,351
1518869702,427,347
1518870603,620,344
1518871502,433,343
1518872402,423,347
1518873302,530,391
1518874203,474,415
1518875102,437,352
1518876003,503,253
1518876902,423,290
1518877803,333,379
1518878704,407,332
1518879603,557,371
1518882302,1646,924
1518883202,516,277
1518884103,407,283
1518885002,557,394
1518885902,528,358
1518886803,626,339
1518887703,491,365
1518888602,591,347
1518889503,564,342
1518890402,614,277
1518891303,506,368
1518892202,514,455
1518893103,548,556
1518894002,580,412
1518894902,530,380
1518895802,494,463
1518896702,453,437
1518897602,563,377
1518898503,487,400
1518899402,396,401
1518900303,434,390
1518901202,408,364
1518902103,347,356
1518903002,325,331
1518903902,282,449
1518904803,389,315
1518905702,324,265
1518906603,345,355
1518907502,309,383
1518908403,316,330
1518909303,314,427
1518910203,352,398
1518911102,324,411
1518912002,357,318
1518912903,357,395
1518913802,339,392
1518914702,353,447
1518915602,289,379
1518916503,356,421
1518917402,318,491
1518918302,292,431
1518919203,314,422
1518920102,292,526
1518921002,342,503
1518921902,367,410
1518922803,367,448
1518923702,419,578
1518924603,386,577
1518925502,359,441
1518926403,365,490
1518927302,491,551
1518928202,364,371
1518929102,344,481
1518930003,364,477
1518930902,428,530
1518931802,477,423
1518932702,344,540
1518933602,330,533
1518934502,381,527
1518935402,417,451
1518936303,431,501
1518937202,410,533
1518938102,363,488
1518939002,439,465
1518939902,463,442
1518940802,447,377
1518941702,386,443
1518942602,331,370
1518943502,381,286
1518944402,391,350
1518945302,311,344
1518946203,51,362
1518948002,779,606
1518948902,301,366
1518949802,361,368
1518950703,354,365
1518951602,374,311
1518952502,336,296
1518953402,328,330
1518954302,385,401
1518955202,357,348
1518956103,369,368
1518957002,420,364
1518957902,446,348
1518958803,451,352
1518959702,379,316
1518960602,381,364
1518961503,411,351
1518962402,435,331
1518963303,415,342
1518964202,403,348
1518965102,386,387
1518966002,314,390
1518966902,304,383
1518967803,308,382
1518968702,380,372
1518969602,420,367
1518970502,418,477
1518971402,529,442
1518972302,347,391
1518973203,440,363
1518974103,408,404
1518975002,357,451
1518975902,420,437
1518976802,362,331
1518977702,422,330
1518978602,386,411
1518979503,448,458
1518980402,354,528
1518981302,369,487
1518982202,442,423
1518983102,410,454
1518984002,490,485
1518984902,410,473
1518985802,421,413
1518986702,309,371
1518987602,311,449
1518988502,356,372
1518989402,358,326
1518990302,363,68
1518991202,276,445
1518992102,306,364
1518993002,240,356
1518993902,215,521
1518995702,611,795
1518996603,331,350
1518997502,278,385
1518998403,258,486
1518999302,290,374
1519000203,258,389
1519001102,289,394
1519002002,278,337
1519002902,253,391
1519003802,256,332
1519004702,309,389
1519005602,299,421
1519006502,349,487
1519007402,358,404
1519008302,247,439
1519009202,276,389
1519010102,326,352
1519011002,310,365
1519011902,338,349
1519012802,268,362
1519013702,362,342
1519014602,344,373
1519015502,339,325
1519016402,262,322
1519017302,284,348
1519018202,340,395
1519019102,388,301
1519020003,328,338
1519020902,332,341
1519021802,318,394
1519022702,368,347
1519023602,314,427
1519024502,403,318
1519025402,405,338
1519026302,402,406
1519027202,382,354
1519028101,389,364
1519029002,304,392
1519029902,366,364
1519030802,371,262
1519031702,413,255
1519032602,433,288
1519033502,417,300
1519034402,335,380
1519035302,389,282
1519036203,456,340
1519037102,407,284
1519038002,473,234
1519038903,1002,292
1519039802,2307,274
1519040702,909,342
1519041602,938,320
1519042502,941,286
1519043403,982,333
1519044302,721,260
1519045203,3853,310
1519046103,5086,311
1519047003,4129,341
1519047903,2321,269
1519048803,1736,326
1519049704,1570,336
1519050604,1425,1268
1519051504,1424,1311
1519052404,1612,1549
1519053304,3585,3262
1519054204,1673,1488
1519055104,1403,1302
1519056003,1132,1065
1519056904,951,951
1519057804,910,922
1519058704,836,856
1519059604,868,873
1519060503,1787,1725
1519061404,944,926
1519062304,989,974
1519063204,884,859
1519064104,1030,1070
1519065003,1045,1071
1519065904,1102,1123
1519066804,1591,1624
1519067705,1202,1240
1519068604,1138,1179
1519069504,1573,1623
1519070404,1057,1082
1519071304,1012,1030
1519072204,993,1020
1519074004,2352,2497
1519074904,840,884
1519075804,1068,1108
1519076704,757,804
1519077604,533,560
1519078505,582,613
1519079404,971,987
1519080304,639,681
1519081204,752,908
1519082104,628,679
1519083003,534,539
1519083904,306,311
1519084803,335,337
1519085703,261,267
1519086603,252,252
1519087503,281,288
1519088404,308,312
1519089304,547,553
1519090203,377,378
1519091104,614,1568
1519092004,361,1710
1519092903,172,1491
1519093803,184,1328
1519094703,42,1180
1519095603,35,1346
1519096502,78,1514
1519097403,59,2275
1519098302,167,1229
1519099202,991,974
1519100103,488,813
1519101002,270,703
1519101902,180,847
1519102803,156,719
1519103703,45,666
1519104602,45,1292
1519105502,94,845
1519106402,643,782
1519107302,597,770
1519108202,295,824
1519109102,294,791
1519110003,151,810
1519110902,78,1067
1519111802,128,863
1519112702,78,1054
1519113602,80,1502
1519114502,81,1124
1519115402,106,913
1519116302,81,930
1519117202,120,924
1519118102,83,834
1519119002,73,711
1519119902,145,876
1519120801,101,685
1519121702,125,1429
1519122601,149,1011
1519123501,112,960
1519124401,192,692
1519125302,202,853
1519126201,136,548
1519127102,284,51
1519128001,517,91
1519128901,662,655
1519129801,379,664
1519130701,236,307
1519131602,412,312
1519132501,296,176
1519133402,371,77
1519134301,333,121
1519135201,210,87
1519136102,263,86
1519137001,145,84
1519137901,237,109
1519138801,156,85
1519139701,244,115
1519140602,239,85
1519141501,230,73
1519142401,193,144
1519143302,6080,77
1519144202,989,123
1519145102,808,153
1519146002,597,101
1519146902,690,176
1519147803,571,198
1519149602,1113,389
1519150503,862,509
1519151402,721,655
1519152302,699,370
1519153203,782,211
1519154102,766,396
1519155002,688,290
1519155902,746,362
1519156802,725,325
1519157702,556,200
1519158602,586,258
1519159502,602,135
1519160402,569,234
1519161302,512,154
1519162202,566,248
