DateTime,Entries,UniqueIPs
1518843602,16443,16443
1518844502,16274,16274
1518845402,16122,16122
1518846302,15977,15977
1518847201,15774,15774
1518848102,15631,15631
1518849002,15645,15645
1518849902,15587,15587
1518850803,15477,15477
1518851702,15496,15496
1518852603,15484,15484
1518853502,15404,15404
1518854402,15417,15417
1518855302,15498,15498
1518856202,15518,15518
1518857102,15555,15555
1518858002,15545,15545
1518858902,15499,15499
1518859802,15432,15432
1518860703,15335,15335
1518861602,15270,15270
1518862502,15296,15296
1518863403,15395,15395
1518864302,15339,15339
1518865203,15371,15371
1518866102,15340,15340
1518867002,15277,15277
1518867901,15246,15246
1518868802,15324,15324
1518869702,15404,15404
1518870603,15680,15680
1518871502,15770,15770
1518872402,15846,15846
1518873302,15985,15985
1518874203,16044,16044
1518875102,16129,16129
1518876003,16379,16379
1518876902,16512,16512
1518877803,16466,16466
1518878704,16541,16541
1518879603,16727,16727
1518882302,17449,17449
1518883202,17688,17688
1518884103,17812,17812
1518885002,17975,17975
1518885902,18145,18145
1518886803,18432,18432
1518887703,18558,18558
1518888602,18802,18802
1518889503,19024,19024
1518890402,19361,19361
1518891303,19499,19499
1518892202,19558,19558
1518893103,19550,19550
1518894002,19718,19718
1518894902,19868,19868
1518895802,19899,19899
1518896702,19915,19915
1518897602,20101,20101
1518898503,20188,20188
1518899402,20183,20183
1518900303,20227,20227
1518901202,20271,20271
1518902103,20262,20262
1518903002,20256,20256
1518903902,20089,20089
1518904803,20163,20163
1518905702,20222,20222
1518906603,20212,20212
1518907502,20138,20138
1518908403,20124,20124
1518909303,20011,20011
1518910203,19965,19965
1518911102,19878,19878
1518912002,19917,19917
1518912903,19879,19879
1518913802,19826,19826
1518914702,19732,19732
1518915602,19642,19642
1518916503,19577,19577
1518917402,19404,19404
1518918302,19265,19265
1518919203,19157,19157
1518920102,18923,18923
1518921002,18762,18762
1518921902,18719,18719
1518922803,18638,18638
1518923702,18479,18479
1518924603,18288,18288
1518925502,18206,18206
1518926403,18081,18081
1518927302,18021,18021
1518928202,18014,18014
1518929102,17877,17877
1518930003,17764,17764
1518930902,17662,17662
1518931802,17716,17716
1518932702,17520,17520
1518933602,17317,17317
1518934502,17171,17171
1518935402,17137,17137
1518936303,17067,17067
1518937202,16944,16944
1518938102,16819,16819
1518939002,16793,16793
1518939902,16814,16814
1518940802,16884,16884
1518941702,16827,16827
