DateTime,Entries,UniqueIPs
1518919321,5073,5096
1518920522,5072,5095
1518921122,5081,5104
1518921722,5102,5125
1518922922,5053,5076
1518923521,5037,5059
1518924121,5064,5086
1518925322,5031,5052
1518925922,5010,5030
1518926522,4985,5005
1518927122,4980,5000
1518927721,4995,5015
1518928921,4978,4998
1518929521,4995,5015
1518930121,5009,5029
1518930721,5007,5027
1518931321,4977,4998
1518932522,4986,5006
1518933121,4991,5011
1518933721,5003,5022
1518934921,4981,5000
1518935521,4968,4986
1518936122,4981,4999
1518936721,4985,5003
1518937322,5011,5030
1518938521,5027,5047
1518939721,4965,4985
1518940322,4927,4947
1518940922,4872,4891
1518941522,4874,4893
1518942122,4899,4918
1518943321,4889,4908
1518943921,4889,4908
1518944521,4932,4951
1518945122,4911,4930
1518945722,4922,4941
1518946322,4937,4956
1518948122,4815,4832
1518949321,4818,4834
1518950522,4813,4829
1518951121,4845,4861
1518951721,4847,4863
1518952322,4864,4880
1518952922,4886,4902
1518954122,4822,4837
1518954721,4844,4859
1518955322,4870,4885
1518955921,4861,4876
1518956521,4867,4882
1518957722,4844,4859
1518958321,4850,4866
1518958921,4819,4835
1518959521,4844,4860
1518960121,4813,4829
1518960722,4828,4845
1518961322,4848,4866
1518961921,4861,4879
1518962521,4855,4873
1518963121,4892,4910
1518963722,4907,4925
1518964321,4895,4913
1518964921,4913,4931
1518965522,4910,4929
1518966121,4922,4940
1518966721,4922,4940
1518967321,4937,4955
1518968522,4956,4974
1518969122,4910,4928
1518969721,4931,4949
1518970322,4942,4960
1518970921,4966,4984
1518972122,4905,4921
1518972721,4933,4950
1518973321,4929,4946
1518974522,4911,4929
1518975722,4905,4923
1518976321,4912,4931
1518976922,4906,4925
1518977522,4930,4949
1518978122,4928,4947
1518979322,4919,4940
1518979922,4870,4891
1518980522,4892,4914
1518981722,4878,4901
1518982922,4860,4884
1518984121,4853,4877
1518985321,4824,4848
1518985922,4836,4860
1518986521,4827,4851
1518987122,4843,4867
1518987722,4866,4890
1518988321,4892,4916
1518988921,4894,4918
1518990121,4913,4938
1518990722,4904,4929
1518991322,4888,4912
1518991921,4905,4929
1518992521,4930,4954
1518993722,4920,4945
1518994321,4917,4942
1518996121,4852,4876
1518996722,4881,4905
1518997321,4915,4940
1518997922,4935,4960
1518998522,4944,4969
1518999723,4942,4967
1519000321,4944,4969
1519000922,4924,4950
1519001521,4948,4974
1519002122,4972,4998
1519002722,4967,4993
1519003321,4958,4985
1519004521,4954,4981
1519005122,4959,4985
1519005721,4988,5014
1519006922,4974,5000
1519007522,4973,4998
1519008122,4989,5014
1519009322,4988,5013
1519010522,4964,4989
1519011721,4979,5004
1519012322,4962,4987
1519012921,4990,5015
1519013521,4985,5009
1519014121,4957,4980
1519014722,4979,5002
1519015322,5007,5032
1519016522,4932,4957
1519017122,4920,4945
1519017722,4938,4963
1519018922,4896,4919
1519020121,4872,4896
1519021322,4897,4921
1519021921,4892,4916
1519022521,4860,4884
1519023721,4828,4852
1519024921,4865,4889
1519026122,4895,4919
1519026722,4882,4906
1519027322,4905,4929
1519028522,4868,4892
1519029121,4903,4927
1519029722,4915,4939
1519030321,4893,4917
1519030922,4893,4918
1519031522,4912,4937
1519032121,4921,4946
1519032722,4878,4903
1519033322,4901,4926
1519034521,4877,4902
1519035121,4884,4909
1519035721,4903,4928
1519036922,4893,4918
1519037521,4890,4914
1519038122,4902,4926
1519038722,4899,4923
1519039321,4903,4927
1519039921,4907,4931
1519040521,4944,4968
1519041121,4952,4976
1519041721,4921,4945
1519042321,4939,4963
1519042922,4940,4964
1519043521,4972,4998
1519044121,4979,5005
1519045322,4979,5006
1519045921,4986,5013
1519046522,4989,5016
1519047121,5012,5040
1519047722,4987,5014
1519048921,4978,5005
1519049522,4950,4977
1519050121,4977,5005
1519050721,4987,5015
1519051322,4955,4983
1519051921,4983,5011
1519052522,5015,5043
1519053722,4975,5002
1519054922,5004,5031
1519055521,5002,5030
1519056122,4960,4987
1519056722,4964,4991
1519057321,4980,5007
1519057921,4995,5022
1519058521,5014,5041
1519059722,4985,5011
1519060922,4955,4980
1519061522,4990,5015
1519062121,4964,4989
1519063322,4909,4933
1519064521,4869,4893
1519065722,4846,4868
1519066322,4874,4896
1519066922,4858,4880
1519067522,4901,4923
1519068121,4871,4893
1519069321,4898,4920
1519070521,4895,4917
1519071122,4906,4928
1519071721,4857,4879
1519072922,4858,4880
1519074721,4782,4805
1519075321,4828,4851
1519076523,4853,4876
1519077121,4810,4832
1519077721,4839,4861
1519078322,4793,4814
1519078921,4792,4813
1519079522,4831,4853
1519080121,4858,4881
1519080721,4896,4919
1519081321,4880,4903
1519081922,4901,4924
1519082522,4924,4947
1519083722,4927,4950
1519084922,4894,4916
1519085521,4882,4903
1519086122,4897,4918
1519086722,4911,4932
1519087322,4923,4944
1519087922,4899,4920
