DateTime,AddedIPs,RemovedIPs
1518914522,2,0
1518915722,7,8
1518916321,5,0
1518916922,9,1
1518917521,3,4
1518918121,17,0
1518918722,8,1
1518919321,0,1
1518919922,0,2
1518920522,5,0
1518921122,9,12
1518922922,8,8
1518923521,2,0
1518924121,8,0
1518925322,2,15
1518925922,8,4
1518926522,5,0
1518927122,15,2
1518927721,5,0
1518928921,3,2
1518929521,4,2
1518930121,5,0
1518930721,5,15
1518931321,5,3
1518932522,3,1
1518933121,2,0
1518933721,3,2
1518934921,5,0
1518935521,2,1
1518936122,7,0
1518936721,3,0
1518937322,4,4
1518938521,15,6
1518939721,0,2
1518940322,3,0
1518940922,2,8
1518941522,7,0
1518942122,2,1
1518943321,2,3
1518943921,1,3
1518944521,8,5
1518945122,3,3
1518945722,1,0
1518946322,6,0
1518948122,5,1
1518949321,3,3
1518950522,3,4
1518951121,2,0
1518951721,7,2
1518952322,2,1
1518952922,3,0
1518954122,3,7
1518954721,2,4
1518955322,6,0
1518955921,0,1
1518956521,5,0
1518957722,4,2
1518958321,6,2
1518958921,2,0
1518959521,12,0
1518960121,4,3
1518960722,10,2
1518961322,6,0
1518961921,1,4
1518963121,12,5
1518963722,7,2
1518964321,9,7
1518964921,5,3
1518965522,2,0
1518966121,4,0
1518966721,0,22
1518967321,6,2
1518968522,2,5
1518969122,2,0
1518969721,2,6
1518970322,6,0
1518970921,2,0
1518972122,3,4
1518972721,5,0
1518973321,4,0
1518974522,3,28
1518975722,0,4
1518976321,11,6
1518976922,1,3
1518977522,7,0
1518978122,4,0
1518979322,6,7
1518979922,5,11
1518980522,3,0
1518981722,1,10
1518982922,2,4
1518984121,14,12
1518985321,4,13
1518985922,6,0
1518986521,3,8
1518987122,1,1
1518987722,3,0
1518988321,9,1
1518988921,3,0
1518990121,11,5
1518991322,5,0
1518991921,2,5
1518992521,1,3
1518993722,8,0
1518994321,8,8
1518996121,3,1
1518996722,35,0
1518997321,15,5
1518997922,2,1
1518998522,10,0
1518999723,6,7
1519000321,2,0
1519000922,6,2
1519001521,4,0
1519002122,7,3
1519002722,15,0
1519003321,3,1
1519004521,17,7
1519005122,14,0
1519005721,11,3
1519006922,8,1
1519007522,8,3
1519009322,4,9
1519010522,3,6
1519011721,6,5
1519012322,12,3
1519012921,6,0
1519013521,5,8
1519014121,13,0
1519014722,11,0
1519015322,6,0
1519016522,8,0
1519017122,6,11
1519017722,2,0
1519018922,1,6
1519020121,2,2
1519021322,5,6
1519021921,4,4
1519022521,5,3
1519023721,4,7
1519024921,17,15
1519026122,4,4
1519026722,5,1
1519027322,7,0
1519028522,5,17
1519029121,3,0
1519029722,2,7
1519030321,2,0
1519030922,6,4
1519031522,5,1
1519032121,6,0
1519032722,3,2
1519033322,7,18
1519034521,3,7
1519035121,0,3
1519035721,4,1
1519036922,1,0
1519037521,2,5
1519038122,4,7
1519038722,1,0
1519039321,2,0
1519039921,7,0
1519040521,7,0
1519041121,5,1
1519041721,5,2
1519042321,3,27
1519042922,4,5
1519043521,12,2
1519044121,8,1
1519045322,8,4
1519045921,3,3
1519046522,1,5
1519047121,2,0
1519047722,2,0
1519048921,2,3
1519049522,4,1
1519050121,7,5
1519050721,15,12
1519051322,3,2
1519051921,8,0
1519052522,8,1
1519053722,3,9
1519054922,6,0
1519055521,5,9
1519056122,1,4
1519056722,6,8
1519057321,3,0
1519057921,3,4
1519058521,1,22
1519059722,5,3
1519060922,3,3
1519061522,10,6
1519062121,0,13
1519063322,0,3
1519064521,2,6
1519065722,1,4
1519066322,11,5
1519066922,1,6
1519067522,7,0
1519068121,1,0
1519069321,6,3
1519070521,3,6
1519071122,4,0
1519071721,0,3
1519072922,2,2
1519074721,9,4
1519075321,3,4
1519076523,6,4
1519077121,4,0
1519077721,5,2
1519078322,3,14
1519078921,1,4
1519079522,2,0
1519080121,5,1
1519080721,5,0
1519081321,1,0
1519081922,2,0
1519082522,3,0
1519083722,13,3
1519084922,0,2
1519085521,5,4
1519086122,6,8
1519086722,8,6
1519087322,1,2
1519087922,2,4
1519088521,5,0
1519089122,4,0
1519089721,6,9
1519090921,3,0
1519092123,4,7
1519093321,6,40
1519093922,1,1
1519094522,3,1
1519095722,2,0
1519096322,1,16
1519096921,5,0
1519098122,6,13
1519098722,1,0
1519099322,8,9
1519099922,9,4
1519100522,7,0
1519101722,2,2
1519102322,6,1
1519102922,8,3
1519103522,33,0
1519104121,5,3
1519105321,0,2
1519105921,4,1
1519106522,2,0
1519107721,3,7
1519108922,6,0
1519109522,5,0
1519110121,6,3
1519110721,9,0
1519111321,1,0
1519112522,2,24
1519113121,6,17
1519113721,6,0
1519114922,8,1
1519115521,8,0
1519116121,0,4
1519116722,4,0
1519117321,3,0
1519117922,4,3
1519118521,3,0
1519119721,6,12
1519120922,8,0
1519121522,2,1
1519122122,1,0
1519123322,5,0
1519123921,3,20
1519124521,2,4
1519125721,0,7
1519126321,2,0
1519126921,4,2
1519128121,6,1
1519129322,3,6
1519129921,0,15
1519130522,4,0
1519131721,2,0
1519132922,4,10
1519133521,3,1
1519134122,0,7
1519135321,3,0
1519135922,3,2
1519136522,6,0
1519137721,4,2
1519138922,3,2
1519140121,1,13
1519140721,2,17
1519141322,5,0
1519142522,5,4
1519143121,9,3
1519143721,5,0
1519144921,6,29
1519145522,1,0
1519146121,4,0
1519146721,3,8
1519147322,4,0
1519147922,4,1
1519149722,6,6
1519150322,1,0
1519150922,3,0
1519151521,3,9
1519152121,3,0
1519152722,5,0
1519153322,5,0
1519153922,3,26
1519154522,4,0
1519155121,3,1
1519155722,3,2
1519156322,2,0
1519156921,2,0
1519158122,13,32
1519158721,3,4
1519159322,42,1
1519160522,78,12
1519161121,5,2
1519161722,2,1
1519162321,8,2
1519162922,0,8
1519163521,9,3
1519164122,6,0
1519165921,10,6
1519166522,5,22
1519167721,7,4
1519168922,6,1
1519169521,8,0
1519170721,1,5
1519171322,3,0
1519171922,3,14
1519172521,4,0
1519173122,14,3
1519173722,7,0
1519174922,7,12
1519175521,4,0
1519176121,3,0
1519177322,4,3
1519178522,10,0
1519179121,7,0
1519179722,6,0
1519180321,16,3
1519180922,2,1
1519181523,14,0
1519182121,1,0
1519183323,1,1
1519183922,2,6
1519184522,10,3
1519185122,1,0
1519185721,3,13
1519186322,3,2
1519186922,6,3
1519187521,7,6
1519188122,7,0
1519188722,34,0
1519189322,1,31
1519189922,4,0
1519190521,5,0
1519191721,1,3
1519192321,21,0
1519193522,3,8
1519194122,5,0
1519194721,1,3
1519195322,4,0
1519195922,3,0
1519196522,5,0
1519197122,7,0
1519197721,35,15
1519198922,12,11
1519199522,7,0
1519200121,3,2
1519201322,5,0
1519201922,2,4
1519202521,3,0
1519203122,3,0
1519203721,1,4
1519204321,7,2
1519204921,16,5
1519205521,1,0
1519206121,9,0
1519207322,6,4
1519207921,4,2
1519208521,1,0
1519209122,11,0
1519209722,1,2
1519210322,1,0
1519210922,4,18
1519212721,4,6
1519213322,8,2
1519214522,5,4
1519215122,9,7
1519215722,14,9
1519216321,3,0
1519216922,4,1
1519218122,4,3
1519218721,3,0
1519219322,2,0
1519220521,6,0
1519221721,3,11
1519222321,4,0
1519222922,2,1
1519224121,1,3
1519224722,5,0
1519225322,2,2
1519225922,4,8
1519227121,7,1
1519227721,5,1
1519228322,10,3
1519228922,5,0
1519229521,8,0
1519230122,1,7
1519231322,3,7
1519231922,3,2
1519232521,3,0
1519233122,4,2
1519233722,0,12
1519234322,2,0
1519234921,7,5
1519235522,4,0
1519236722,3,13
1519237322,2,1
1519237921,6,1
1519238521,13,4
1519239122,4,4
1519239721,5,6
1519240322,8,5
1519240921,4,0
1519242122,4,6
1519242722,8,0
1519243321,6,1
1519243921,3,33
1519244522,1,3
1519245122,1,2
1519245721,4,0
1519246922,3,6
1519247522,4,0
1519248121,3,15
1519248721,8,0
1519249322,3,0
1519249921,31,1
