DateTime,AddedIPs,RemovedIPs
1518918722,80,80
1518919321,80,80
1518919922,13,13
1518920522,80,80
1518921122,80,80
1518921722,80,80
1518922922,57,57
1518923521,79,79
1518924121,80,80
1518925322,80,80
1518925922,80,80
1518926522,80,80
1518927122,80,80
1518927721,80,80
1518928921,80,80
1518929521,80,80
1518930121,80,80
1518930721,80,80
1518931321,80,80
1518932522,80,80
1518933121,80,80
1518933721,80,80
1518934921,80,80
1518935521,80,80
1518936122,80,80
1518936721,80,80
1518937322,80,80
1518938521,80,80
1518940322,80,80
1518940922,79,79
1518941522,80,80
1518942122,80,80
1518943321,80,80
1518943921,78,78
1518944521,80,80
1518945122,79,79
1518945722,80,80
1518946322,76,76
1518948122,80,80
1518949321,80,80
1518950522,80,80
1518951121,80,80
1518951721,80,80
1518952322,80,80
1518952922,80,80
1518954122,80,80
1518954721,80,80
1518955322,80,80
1518955921,80,80
1518956521,80,80
1518957722,80,80
1518958321,78,78
1518958921,80,80
1518959521,80,80
1518960121,80,80
1518960722,80,80
1518961322,80,80
1518961921,80,80
1518962521,80,80
1518963121,80,80
1518963722,80,80
1518964321,80,80
1518964921,80,80
1518965522,80,80
1518966121,80,80
1518966721,80,80
1518967321,80,80
1518968522,80,80
1518969122,80,80
1518969721,80,80
1518970322,80,80
1518970921,80,80
1518972122,80,80
1518972721,80,80
1518973321,80,80
1518974522,80,80
1518975722,80,80
1518976321,80,80
1518976922,80,80
1518977522,79,79
1518978122,80,80
1518979322,80,80
1518979922,80,80
1518980522,80,80
1518981722,80,80
1518982922,80,80
1518984121,80,80
1518985321,80,80
1518985922,80,80
1518986521,80,80
1518987122,80,80
1518987722,80,80
1518988321,80,80
1518988921,80,80
1518990121,80,80
1518990722,80,80
1518991322,80,80
1518991921,80,80
1518992521,80,80
1518993722,80,80
1518994321,80,80
1518996121,80,80
1518996722,80,80
1518997321,80,80
1518997922,80,80
1518998522,80,80
1518999723,80,80
1519000321,15,15
1519000922,80,80
1519001521,80,80
1519002122,80,80
1519002722,80,80
1519003321,80,80
1519004521,80,80
1519005122,80,80
1519005721,80,80
1519006922,80,80
1519007522,80,80
1519008122,80,80
1519009322,80,80
1519010522,80,80
1519011721,80,80
1519012322,80,80
1519012921,80,80
1519013521,80,80
1519014121,80,80
1519014722,80,80
1519015322,80,80
1519016522,80,80
1519017122,80,80
1519017722,80,80
1519018922,80,80
1519020121,80,80
1519021322,80,80
1519021921,80,80
1519022521,72,72
1519023721,80,80
1519024921,80,80
1519026122,79,79
1519026722,80,80
1519027322,80,80
1519028522,80,80
1519029121,80,80
1519029722,80,80
1519030321,80,80
1519030922,80,80
1519031522,80,80
1519032121,80,80
1519032722,80,80
1519033322,80,80
1519034521,80,80
1519035121,80,80
1519035721,80,80
1519036922,80,80
1519037521,80,80
1519038122,80,80
1519038722,80,80
1519039321,80,80
1519039921,80,80
1519040521,80,80
1519041121,80,80
1519041721,80,80
1519042321,80,80
1519042922,80,80
1519043521,80,80
1519044121,80,80
1519045322,80,80
1519045921,80,80
1519046522,80,80
1519047121,80,80
1519047722,80,80
1519048921,80,80
1519049522,80,80
1519050121,80,80
1519050721,80,80
1519051322,80,80
1519051921,80,80
1519052522,80,80
1519053722,80,80
1519054922,80,80
1519055521,80,80
1519056122,80,80
1519056722,80,80
1519057321,80,80
1519057921,79,79
1519058521,80,80
1519059722,80,80
1519060922,80,80
1519061522,80,80
1519062121,80,80
1519063322,80,80
1519064521,80,80
1519065722,80,80
1519066322,77,77
1519066922,80,80
1519067522,80,80
1519068121,79,79
1519069321,80,80
1519070521,80,80
1519071122,80,80
1519071721,80,80
1519072922,80,80
1519074721,80,80
1519075321,80,80
1519076523,80,80
1519077121,80,80
1519077721,80,80
1519078322,80,80
1519078921,80,80
1519079522,80,80
1519080121,80,80
1519080721,80,80
1519081321,80,80
1519081922,80,80
1519082522,79,79
1519083722,80,80
1519084922,80,80
1519085521,80,80
1519086122,80,80
1519086722,80,80
1519087322,80,80
1519087922,80,80
1519088521,80,80
1519089122,80,80
1519089721,80,80
1519090921,80,80
1519092123,80,80
1519093321,80,80
1519093922,80,80
1519094522,80,80
1519095722,76,76
1519096322,80,80
1519096921,80,80
1519098122,79,79
1519098722,80,80
1519099322,80,80
1519099922,80,80
1519100522,80,80
1519101722,80,80
1519102322,80,80
1519102922,80,80
1519103522,80,80
1519104121,80,80
1519105321,41,41
1519105921,80,80
1519106522,80,80
1519107721,80,80
1519108922,72,72
1519109522,80,80
1519110121,80,80
1519110721,80,80
1519111321,80,80
1519112522,80,80
1519113121,80,80
1519113721,80,80
1519114922,80,80
1519115521,80,80
1519116121,80,80
1519116722,80,80
1519117321,80,80
1519117922,80,80
1519118521,80,80
1519119721,80,80
1519120922,80,80
1519121522,73,73
1519122122,80,80
1519123322,80,80
1519123921,79,79
1519124521,80,80
1519125721,80,80
1519126321,80,80
1519126921,80,80
1519128121,80,80
1519129322,80,80
1519129921,79,79
1519130522,78,78
1519131721,78,78
1519132922,80,80
1519133521,80,80
1519134122,80,80
1519135321,80,80
1519135922,80,80
1519136522,80,80
1519137721,80,80
1519138922,80,80
1519140121,80,80
1519140721,80,80
1519141322,80,80
1519142522,80,80
1519143121,80,80
1519143721,80,80
1519144921,80,80
1519145522,80,80
1519146121,80,80
1519146721,80,80
1519147322,80,80
1519147922,80,80
1519149722,80,80
1519150322,80,80
1519150922,80,80
1519151521,80,80
1519152121,80,80
1519152722,80,80
1519153322,80,80
1519153922,80,80
1519154522,80,80
1519155121,80,80
1519155722,80,80
1519156322,80,80
1519156921,80,80
1519158122,80,80
1519158721,80,80
1519159322,80,80
1519160522,80,80
1519161121,80,80
1519161722,80,80
1519162321,80,80
1519162922,80,80
1519163521,80,80
1519164122,79,79
1519165921,80,80
1519166522,80,80
1519167721,80,80
1519168922,80,80
1519169521,80,80
1519170721,80,80
1519171322,80,80
1519171922,80,80
1519172521,80,80
1519173122,80,80
1519173722,80,80
1519174922,80,80
1519175521,80,80
1519176121,80,80
1519177322,80,80
1519178522,80,80
1519179121,80,80
1519179722,80,80
1519180321,80,80
1519180922,80,80
1519181523,78,78
1519182121,80,80
1519183323,80,80
1519183922,80,80
1519184522,80,80
1519185122,80,80
1519185721,80,80
1519186322,80,80
1519186922,80,80
1519187521,80,80
1519188122,80,80
1519188722,79,79
1519189322,63,63
1519189922,80,80
1519190521,80,80
1519191721,80,80
1519192321,80,80
1519193522,80,80
1519194122,80,80
1519194721,69,69
1519195322,80,80
1519195922,80,80
1519196522,80,80
1519197122,80,80
1519197721,80,80
1519198922,80,80
1519199522,80,80
1519200121,80,80
1519201322,80,80
1519201922,80,80
1519202521,80,80
1519203122,80,80
1519203721,80,80
1519204321,80,80
1519204921,80,80
1519205521,80,80
1519206121,80,80
1519207322,80,80
1519207921,80,80
1519208521,80,80
1519209122,80,80
1519209722,80,80
1519210322,80,80
1519210922,80,80
1519212721,80,80
1519213322,80,80
1519214522,79,79
1519215122,80,80
1519215722,80,80
1519216321,80,80
1519216922,80,80
1519218122,80,80
1519218721,80,80
1519219322,80,80
1519220521,80,80
1519221721,80,80
1519222321,80,80
1519222922,80,80
1519224121,80,80
1519224722,80,80
1519225322,80,80
1519225922,80,80
1519227121,80,80
1519227721,80,80
1519228322,80,80
1519228922,80,80
1519229521,80,80
1519230122,80,80
1519231322,80,80
1519231922,80,80
1519232521,80,80
1519233122,78,78
1519233722,80,80
1519234322,80,80
1519234921,80,80
1519235522,80,80
1519236722,80,80
1519237322,80,80
1519237921,80,80
1519238521,80,80
1519239122,80,80
1519239721,80,80
1519240322,80,80
1519240921,80,80
1519242122,80,80
1519242722,80,80
1519243321,80,80
1519243921,80,80
1519244522,80,80
1519245122,80,80
1519245721,80,80
1519246922,80,80
1519247522,80,80
1519248121,80,80
1519248721,80,80
1519249322,79,79
1519249921,80,80
1519250522,80,80
1519251722,80,80
1519252322,80,80
1519252922,80,80
1519253522,80,80
1519254122,80,80
1519254722,80,80
1519255321,80,80
1519255921,80,80
1519256521,80,80
1519257121,80,80
1519257722,79,79
1519258322,80,80
1519258921,80,80
1519259522,80,80
1519260722,80,80
1519261322,80,80
1519261923,80,80
1519262522,80,80
1519263121,79,79
1519264322,80,80
1519264922,80,80
1519266123,79,79
1519266721,80,80
1519267322,80,80
1519267922,80,80
1519268521,80,80
1519269722,80,80
1519270321,80,80
1519270922,79,79
1519272122,80,80
1519272722,80,80
1519273322,80,80
1519274521,80,80
1519275722,80,80
1519276322,80,80
1519276922,80,80
1519278122,80,80
1519279321,80,80
1519279922,80,80
1519280522,80,80
1519281722,80,80
1519282921,80,80
1519283522,80,80
1519284122,80,80
1519284722,80,80
1519285321,80,80
1519285921,80,80
1519286521,80,80
1519287721,80,80
1519288321,80,80
1519288921,80,80
1519289521,80,80
1519290122,80,80
1519290722,80,80
1519291321,80,80
1519292522,80,80
1519293722,80,80
1519294321,80,80
1519294922,80,80
1519295522,80,80
1519296122,80,80
1519297322,80,80
