DateTime,AddedIPs,RemovedIPs
1518766321,1,0
1518767521,0,3
1518769321,3,2
1518769921,7,0
1518770521,1,0
1518771122,2,7
1518771721,0,1
1518772322,3,0
1518772921,0,3
1518773521,0,4
1518774722,0,1
1518775321,0,1
1518776521,1,5
1518777721,1,10
1518778921,7,0
1518780722,0,2
1518781922,1,2
1518783121,0,1
1518783722,0,4
1518784322,2,0
1518784921,1,4
1518786121,4,0
1518787322,2,0
1518787921,1,0
1518788522,0,1
1518790322,6,0
1518792121,0,1
1518793322,1,0
1518793921,1,0
1518796922,0,1
1518797522,2,0
1518798122,1,0
1518798722,0,2
1518799922,1,0
1518801721,0,1
1518804122,3,4
1518805922,0,4
1518806521,1,0
1518807122,0,1
1518807722,0,2
1518808921,3,1
1518811321,1,0
1518811922,0,1
1518812522,8,0
1518813121,1,2
1518815522,4,0
1518816122,1,3
1518817322,1,1
1518817922,0,2
1518819722,0,1
1518820321,8,0
1518820921,2,0
1518822121,2,0
1518823321,1,4
1518823921,0,2
1518824521,0,4
1518826322,1,0
1518826922,2,0
1518829321,1,0
1518829921,0,12
1518830522,1,0
1518831121,1,0
1518833522,11,1
1518834121,2,0
1518835922,1,1
1518836521,1,0
1518838922,2,2
1518839522,7,1
1518840121,1,0
1518841321,9,1
1518842522,1,0
1518843722,1,0
1518846121,0,1
1518846722,3,0
1518848521,3,0
1518849722,1,0
1518850321,0,2
1518850922,0,20
1518853922,0,4
1518854522,0,3
1518855122,20,0
1518855722,2,4
1518856321,1,1
1518856921,0,2
1518858121,0,1
1518858722,0,4
1518859321,0,2
1518859922,1,0
1518860521,1,0
1518861721,1,0
1518862921,6,1
1518864122,1,0
1518864721,1,0
1518866522,0,1
1518868921,0,1
1518869522,1,0
1518870121,1,3
1518870722,9,1
1518872522,4,1
1518873121,0,3
1518873722,2,3
1518874321,2,0
1518874922,1,0
1518876121,1,0
1518876722,13,3
1518878521,1,0
1518879122,0,1
1518879721,0,1
1518882122,1,1
1518883321,0,1
1518884521,0,2
1518885721,11,3
1518886921,2,0
1518887521,1,1
1518889322,1,3
1518889921,1,0
1518891721,1,0
1518892321,1,0
1518892922,3,0
1518894121,0,3
1518894722,1,0
1518895321,1,0
1518897122,0,1
1518897721,1,0
1518898922,2,7
1518899522,0,1
1518900121,1,1
1518900721,1,0
1518901921,10,6
1518903721,5,1
1518904321,2,0
1518904921,1,1
1518906121,0,2
1518907322,0,10
1518907922,0,3
1518908521,5,0
1518909121,0,3
1518909721,1,0
1518913323,2,0
1518913922,1,0
1518915722,3,0
1518916321,1,2
1518916922,1,0
1518917521,0,3
1518918722,0,1
1518919321,0,11
1518919922,13,0
1518920522,0,2
1518921122,1,0
1518921721,1,0
1518922922,2,0
1518925321,1,3
