DateTime,Entries,UniqueIPs
1518714121,5463,5613
1518715322,5450,5600
1518717121,5451,5601
1518718921,5452,5602
1518720121,5450,5600
1518721321,5444,5594
1518721922,5445,5595
1518723721,5441,5591
1518724322,5440,5590
1518724922,5433,5583
1518726122,5430,5580
1518727321,5428,5578
1518727922,5429,5579
1518728521,5427,5577
1518731521,5425,5575
1518732122,5422,5572
1518733321,5423,5573
1518734521,5416,5566
1518735121,5417,5567
1518736322,5416,5566
1518736922,5412,5562
1518738121,5411,5561
1518739321,5410,5560
1518739923,5409,5559
1518742923,5408,5558
1518743522,5405,5555
1518744122,5409,5560
1518745323,5408,5559
1518747121,5408,5559
1518747721,5408,5559
1518750722,5403,5553
1518751322,5402,5552
1518753121,5401,5551
1518753721,5400,5550
1518754321,5401,5551
1518754921,5386,5536
1518756121,5385,5535
1518757321,5382,5532
1518757921,5369,5519
1518759722,5344,5493
1518760922,5342,5491
1518762721,5341,5490
1518763921,5336,5485
1518764522,5363,5512
1518765122,5366,5515
1518766321,5367,5516
1518766921,5360,5509
1518767521,5356,5505
1518769321,5356,5505
1518769921,5362,5511
1518770521,5363,5512
1518771122,5365,5514
1518772322,5368,5517
1518773521,5366,5515
1518774121,5356,5505
1518775321,5353,5502
1518776521,5351,5500
1518777721,5351,5497
1518778921,5343,5489
1518780122,5340,5486
1518781322,5337,5482
1518781922,5338,5483
1518783121,5332,5477
1518783722,5331,5476
1518784322,5333,5478
1518784921,5331,5476
1518786121,5332,5477
1518787322,5333,5478
1518787921,5330,5475
1518789722,5324,5469
1518790322,5327,5472
1518790921,5325,5470
1518792121,5315,5460
1518792721,5315,5459
1518793322,5316,5460
1518793921,5317,5461
1518795121,5316,5460
1518796922,5315,5459
1518797522,5317,5461
1518798122,5316,5460
1518798722,5314,5458
1518801721,5313,5457
1518802921,5311,5455
1518804122,5314,5458
1518805322,5311,5454
1518806521,5299,5442
1518808921,5302,5445
1518809521,5301,5444
1518811321,5302,5445
1518812522,5310,5453
1518813121,5310,5453
1518814321,5309,5452
1518815522,5313,5456
1518817322,5300,5436
1518818522,5292,5428
1518820321,5282,5417
1518820921,5284,5419
1518822121,5285,5420
1518823321,5285,5420
1518823921,5284,5418
1518825122,5284,5415
1518825722,5283,5414
1518826322,5284,5415
1518826922,5281,5412
1518827522,5280,5411
1518829921,5277,5408
1518830522,5278,5409
1518831121,5271,5402
1518831721,5267,5398
1518832322,5263,5394
1518832922,5257,5386
1518833522,5267,5396
1518834121,5264,5392
1518835322,5259,5387
1518835922,5260,5388
1518836521,5261,5389
1518837122,5261,5388
1518837721,5260,5384
1518838321,5256,5378
1518838922,5252,5374
1518839522,5252,5375
1518841321,5257,5380
1518843722,5248,5368
1518844321,5245,5364
1518846121,5244,5362
1518846722,5247,5365
1518849722,5248,5366
1518851522,5243,5361
1518852122,5240,5357
1518854522,5238,5355
1518855122,5257,5375
1518855722,5256,5374
1518856321,5256,5374
1518859321,5250,5365
1518859922,5249,5364
1518860521,5249,5363
1518861121,5249,5362
1518862921,5254,5365
1518863522,5250,5361
1518864122,5251,5362
1518864721,5252,5363
1518866522,5251,5362
1518867121,5250,5361
1518868921,5248,5359
1518870121,5248,5359
1518870722,5256,5368
1518871321,5255,5367
1518872522,5257,5369
1518873121,5247,5359
1518873722,5241,5352
1518874321,5242,5353
1518874922,5243,5354
1518876121,5243,5354
1518876722,5255,5366
1518878521,5250,5361
1518879122,5247,5358
1518879721,5246,5357
1518882122,5245,5356
1518884521,5244,5355
1518885721,5253,5364
