DateTime,AddedIPs,RemovedIPs
1518889322,4,4
1518889921,3,3
1518890521,3,3
1518891721,3,3
1518892321,2,2
1518892922,4,4
1518894121,2,2
1518894722,1,1
1518895321,3,3
1518895921,1,1
1518897122,1,1
1518897721,4,4
1518898922,6,6
1518899522,2,2
1518900121,4,4
1518900721,5,5
1518901321,2,2
1518901921,10,10
1518902521,1,1
1518903721,6,6
1518904321,7,7
1518904921,7,7
1518906121,3,3
1518907322,2,2
1518907922,1,1
1518908521,6,6
1518909121,2,2
1518909721,4,4
1518911522,5,5
1518912122,3,3
1518913323,6,6
1518913922,2,2
1518914522,1,1
1518915722,6,6
1518916321,2,2
1518916922,2,2
1518917521,4,4
1518918121,3,3
1518918722,2,2
1518919321,3,3
1518919922,18,18
1518920522,1,1
1518921122,6,6
1518921721,4,4
1518922922,9,9
1518923521,6,6
1518924121,1,1
1518925321,2,2
1518926521,5,5
1518927122,7,7
1518927721,5,5
1518928921,7,7
1518929521,2,2
1518930121,2,2
1518930721,1,1
1518931321,1,1
1518932522,2,2
1518933721,6,6
1518934921,8,8
1518935521,2,2
1518936721,2,2
1518937322,4,4
1518938521,3,3
1518939721,5,5
1518940922,2,2
1518941522,5,5
1518942122,4,4
1518943321,6,6
1518943921,2,2
1518944521,2,2
1518945121,1,1
1518945722,4,4
1518946322,3,3
1518948122,10,10
1518949321,2,2
1518949921,1,1
1518950522,4,4
1518951121,5,5
1518951721,2,2
1518952922,2,2
1518954122,3,3
1518954721,1,1
1518955322,2,2
1518956521,4,4
1518957722,2,2
1518958921,3,3
1518960121,3,3
1518960722,3,3
1518961322,1,1
1518961921,3,3
1518962521,5,5
1518963121,4,4
1518963722,3,3
1518964321,2,2
1518964921,5,5
1518965522,3,3
1518966121,2,2
1518966721,1,1
1518967321,2,2
1518968522,5,5
1518969122,3,3
1518969721,1,1
1518970921,6,6
1518972122,7,7
1518972721,2,2
1518973321,8,8
1518974522,5,5
1518975122,3,3
1518975722,4,4
1518976922,5,5
1518978122,8,8
1518979322,6,6
1518979922,1,1
1518980522,5,5
1518981121,2,2
1518981722,8,8
1518982322,2,2
1518982921,12,12
1518984121,2,2
1518985321,5,5
1518985922,9,9
1518986521,2,2
1518987122,2,2
1518987722,1,1
1518988921,9,9
1518990121,2,2
1518991322,4,4
1518991921,5,5
1518992521,3,3
1518993721,8,8
1518994321,8,8
1518996121,5,5
1518996722,4,4
1518997321,11,11
1518997922,2,2
1518998522,7,7
1518999722,8,8
1519000321,2,2
1519000922,5,5
1519002122,6,6
1519002722,6,6
1519003321,6,6
1519003921,4,4
1519004521,5,5
1519005122,2,2
1519005721,3,3
1519006321,2,2
1519006922,6,6
1519007522,7,7
1519008122,5,5
1519008721,1,1
1519009322,17,17
1519010521,1,1
1519011721,4,4
1519012322,3,3
1519012921,2,2
1519014121,3,3
1519014722,2,2
1519015322,12,12
1519016522,17,17
1519017122,4,4
1519017722,1,1
1519018322,1,1
1519018922,3,3
1519020121,5,5
1519021322,10,10
1519021921,5,5
1519022521,1,1
1519023721,10,10
1519024921,22,22
1519026122,6,6
1519026722,3,3
1519027322,4,4
1519027921,5,5
1519028522,5,5
1519029121,5,5
1519029722,4,4
1519030321,4,4
1519030922,1,1
1519031522,4,4
1519032121,3,3
1519032722,2,2
1519033322,5,5
1519034521,1,1
1519035121,1,1
1519035721,2,2
1519036921,8,8
1519037521,2,2
1519038122,5,5
1519038722,1,1
1519039321,6,6
1519039921,2,2
1519040521,1,1
1519041121,3,3
1519041721,8,8
1519042922,7,7
1519043521,1,1
1519044121,1,1
1519044721,1,1
1519045921,9,9
1519046522,2,2
1519047121,2,2
1519047722,12,12
1519048921,1,1
1519049521,5,5
1519050721,1,1
1519051322,5,5
1519051921,6,6
1519052522,5,5
1519053722,12,12
1519054922,2,2
1519055521,2,2
1519056122,1,1
1519056722,1,1
1519057321,2,2
1519057921,3,3
1519058521,2,2
1519059722,3,3
1519060322,2,2
1519060922,1,1
1519061522,1,1
1519062121,6,6
1519062721,2,2
1519063321,2,2
1519063922,8,8
1519064521,8,8
1519065722,1,1
1519066922,6,6
1519068121,3,3
1519070521,7,7
1519071122,5,5
1519071721,1,1
1519072922,6,6
1519074721,1,1
1519075321,1,1
1519076523,9,9
1519077121,2,2
1519077721,2,2
1519078322,2,2
1519078921,3,3
1519080121,4,4
1519080721,2,2
1519081321,2,2
1519082521,1,1
1519083722,6,6
1519084322,1,1
1519084922,1,1
1519085521,2,2
1519086122,4,4
1519086722,16,16
1519087322,4,4
1519087921,5,5
1519088521,5,5
1519089721,6,6
1519090921,5,5
1519092122,20,20
1519092721,7,7
1519093321,4,4
1519093922,2,2
1519094522,2,2
1519095122,4,4
1519096321,3,3
1519096921,27,27
1519098122,13,13
1519099322,8,8
1519099922,4,4
1519100522,3,3
1519101121,6,6
1519101722,4,4
1519102322,2,2
1519102921,3,3
1519104121,11,11
1519104722,6,6
1519105321,12,12
1519106522,3,3
1519107721,2,2
1519108922,5,5
1519109521,13,13
1519110121,5,5
